Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
BB Length,,m,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.073,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.073,0.073,0.068,0.068,0.068,0.073,0.073,0.068,0.073,0.068,0.068,0.073,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.073,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.073,0.073,0.073,0.068,0.068,0.068,0.073,0.073,0.073,0.073,0.073,0.068,0.073,0.068,0.068,0.068
Dropout Offset,,N/A,0.130000,0.123000,0.126000,0.126000,0.130000,0.130000,0.130000,0.130000,0.130000,0.115000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.135000,0.135000,0.142000,0.142000,0.130000,0.142000,0.130000,0.142000,0.142000,0.130000,0.130000,0.130000,0.142000,0.142000,0.142000,0.130000,0.130000,0.130000,0.135000,0.148000,0.142000,0.142000,0.130000,0.130000,0.142000,0.130000,0.142000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.148000,0.142000,0.130000,0.115000,0.130000,0.130000,0.130000,0.115000,0.130000,0.135000,0.135000,0.135000,0.130000,0.142000,0.135000,0.142000,0.115000,0.130000,0.130000,0.130000,0.142000,0.135000,0.142000,0.130000,0.142000,0.142000,0.142000,0.130000,0.130000,0.130000,0.142000,0.142000,0.142000,0.142000,0.142000,0.135000,0.142000,0.130000,0.130000,0.130000
SSB OD,,N/A,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.000000,0.016000,0.000000,0.016000,0.000000,0.014000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.016000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.000000,0.000000,0.016000,0.000000,0.016000,0.016000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.000000,0.000000,0.016000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000
CSB OD,,N/A,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.016000,0.018000,0.018000,0.018000,0.018000,0.018000,0.000000,0.018000,0.018000,0.000000,0.018000,0.000000,0.018000,0.000000,0.000000,0.018000,0.000000,0.018000,0.018000,0.018000,0.000000,0.018000,0.000000,0.000000,0.000000,0.018000,0.018000,0.018000,0.000000,0.000000,0.018000,0.000000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.000000,0.000000,0.018000,0.018000,0.018000,0.018000,0.018000,0.016000,0.018000,0.018000,0.000000,0.000000,0.018000,0.000000,0.000000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.000000,0.018000,0.000000,0.000000,0.018000,0.018000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.018000,0.018000,0.018000
Material,,N/A,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.350000,0.380000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.380000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.300000,0.360000,0.360000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.380000,0.350000,0.350000,0.350000,0.380000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.380000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.375000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000
SS Z,,N/A,0.009000,0.009250,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.007750,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.016000,0.016000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009250,0.009000,0.009000,0.009000,0.007750,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009250,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.010000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.016000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.003839,0.002193,0.000595,0.000800,0.001108,0.001159,0.001654,0.000787,0.001311,0.008396,0.004650,0.007034,0.001970,0.002221,0.002698,0.000926,0.004930,0.002039,0.003462,0.001465,0.002840,0.006117,0.009606,0.002905,0.006902,0.005025,0.000527,0.002929,0.000528,0.000563,0.000554,0.003079,0.001621,0.002750,0.000785,0.000649,0.004047,0.002173,0.000709,0.002164,0.005963,0.000912,0.001170,0.003933,0.002112,0.000743,0.000870,0.001172,0.001434,0.000727,0.007291,0.001209,0.000781,0.002111,0.000848,0.003542,0.002581,0.009047,0.000921,0.004616,0.001374,0.004360,0.007474,0.002069,0.003999,0.001974,0.007601,0.001090,0.001312,0.000765,0.002418,0.008981,0.003375,0.002448,0.007770,0.005570,0.001302,0.002269,0.002732,0.002837,0.000982,0.002126,0.004199,0.005816,0.000965,0.003758,0.001756,0.001409,0.000839,0.001277,0.000934,0.003323,0.005690,0.000658
CS Thickness,,N/A,0.000614,0.004867,0.000531,0.001845,0.001336,0.001400,0.000829,0.002817,0.001252,0.003101,0.003268,0.003226,0.002002,0.000616,0.001044,0.002395,0.000673,0.000613,0.003467,0.005949,0.007447,0.002634,0.000565,0.000513,0.006538,0.001660,0.007960,0.000536,0.003069,0.003470,0.004259,0.001931,0.002588,0.002086,0.003589,0.000682,0.001967,0.001267,0.003038,0.005607,0.003110,0.001923,0.009308,0.003458,0.004640,0.001300,0.001835,0.000999,0.003783,0.000558,0.003967,0.000645,0.003545,0.005312,0.001040,0.000733,0.000672,0.000816,0.001933,0.001099,0.001084,0.007201,0.000748,0.001558,0.006415,0.006079,0.003850,0.001475,0.001414,0.000601,0.001877,0.001794,0.009166,0.002007,0.008372,0.000536,0.001994,0.008317,0.002585,0.008338,0.007045,0.001162,0.008098,0.004411,0.001530,0.001059,0.003386,0.004643,0.000977,0.000558,0.002607,0.001188,0.002241,0.001932
TT Thickness,,N/A,0.000901,0.000731,0.001732,0.000840,0.000762,0.003251,0.000859,0.005620,0.000841,0.006557,0.007770,0.001329,0.004272,0.006050,0.004562,0.000695,0.005799,0.001284,0.003467,0.002168,0.000500,0.003831,0.001282,0.000950,0.009620,0.001675,0.004984,0.003486,0.002257,0.001996,0.000845,0.003386,0.000766,0.000630,0.001312,0.000552,0.005624,0.001391,0.007480,0.002218,0.001880,0.008883,0.003256,0.002243,0.000853,0.001526,0.003650,0.004118,0.001259,0.002878,0.002316,0.006963,0.004237,0.001727,0.005657,0.003476,0.002140,0.003142,0.001861,0.001269,0.008987,0.001335,0.008452,0.002452,0.004100,0.002875,0.004981,0.006149,0.001503,0.001412,0.009411,0.000900,0.000672,0.001723,0.001135,0.002893,0.000570,0.001388,0.002226,0.001909,0.009522,0.001080,0.008892,0.001333,0.006586,0.001350,0.000913,0.000635,0.001472,0.000970,0.001767,0.001573,0.000848,0.001182
BB Thickness,,m,0.005327,0.004311,0.00061949,0.005989,0.001769,0.009278,0.002657,0.008124,0.009553,0.002161,0.001314,0.00064257,0.002065,0.001942,0.002345,0.00063649,0.006841,0.00060384,0.00056931,0.001208,0.008384,0.00557,0.003273,0.00618,0.002366,0.005265,0.00057876,0.00051824,0.00088391,0.005084,0.001347,0.001792,0.00796,0.00064445,0.00056578,0.002699,0.00071603,0.00098064,0.00081082,0.003976,0.001049,0.004948,0.002252,0.001067,0.00099874,0.001075,0.0043,0.001221,0.001034,0.00091282,0.006046,0.008286,0.002897,0.00054308,0.001559,0.004944,0.00063742,0.001008,0.003259,0.003307,0.002922,0.001967,0.005644,0.009308,0.00093717,0.001452,0.00069844,0.001142,0.00086599,0.001705,0.002308,0.003669,0.004265,0.001388,0.001383,0.00064681,0.002613,0.001723,0.003295,0.00074514,0.002176,0.002687,0.004491,0.006095,0.004966,0.000701,0.0007028,0.003767,0.004145,0.00912,0.0015,0.00054647,0.001207,0.00095726
HT Thickness,,m,0.004272,0.005153,0.002183,0.0007046,0.001009,0.00073432,0.005117,0.002642,0.001928,0.001017,0.001559,0.00078057,0.003845,0.00069844,0.002564,0.005339,0.00089956,0.00618,0.006745,0.00091482,0.001361,0.00641,0.002017,0.00096429,0.006221,0.002192,0.001955,0.0009482,0.00074269,0.00083002,0.001985,0.0005777,0.001344,0.002104,0.009234,0.001265,0.006548,0.001541,0.002602,0.00053833,0.001259,0.00090948,0.0005916,0.00069997,0.002957,0.006688,0.006198,0.002959,0.004191,0.004112,0.005378,0.003947,0.00076979,0.00488,0.001996,0.003674,0.00066796,0.00092491,0.009247,0.00051221,0.002039,0.001347,0.008677,0.002607,0.00306,0.00085999,0.00099947,0.00077261,0.001052,0.001758,0.002032,0.005069,0.00195,0.002066,0.001155,0.004841,0.00066943,0.006543,0.001187,0.00067262,0.004052,0.00344,0.00745,0.00445,0.0038,0.00064776,0.00069665,0.007838,0.002054,0.003209,0.0006709,0.003692,0.003696,0.002385
ST Thickness,,m,0.001132,0.00095342,0.006443,0.003734,0.001611,0.002253,0.003645,0.005923,0.005388,0.00076363,0.00085342,0.00083246,0.003361,0.00095237,0.003297,0.003758,0.001117,0.001201,0.005713,0.00066699,0.004732,0.001502,0.00079555,0.001452,0.00065395,0.00090616,0.00071446,0.007747,0.008036,0.00051072,0.001883,0.002898,0.004646,0.003114,0.00735,0.003883,0.00062679,0.002308,0.001127,0.00306,0.001327,0.00098712,0.006907,0.00908,0.003483,0.00099291,0.006126,0.001953,0.00062587,0.00085217,0.00329,0.002318,0.00378,0.001371,0.00082518,0.003174,0.002128,0.002667,0.001159,0.00054627,0.00068679,0.006577,0.005308,0.00054987,0.009578,0.006889,0.008658,0.007014,0.008107,0.008583,0.003542,0.004035,0.009634,0.00064871,0.001135,0.00064681,0.00067336,0.004883,0.002033,0.007304,0.001112,0.00125,0.00068303,0.001473,0.006548,0.004363,0.005082,0.001605,0.003094,0.00062358,0.001338,0.005613,0.004698,0.002276
DT Thickness,,m,0.002167,0.002625,0.008583,0.00651,0.004109,0.00053149,0.001286,0.003709,0.007016,0.001198,0.00063324,0.008799,0.004529,0.00476,0.00061498,0.002168,0.002799,0.00056786,0.001227,0.003859,0.003994,0.004207,0.002404,0.003334,0.00095656,0.002583,0.001268,0.005486,0.00058088,0.007668,0.002257,0.003357,0.008244,0.005963,0.004522,0.001363,0.00068428,0.009676,0.002571,0.004973,0.00064634,0.005514,0.00050811,0.007442,0.00076084,0.008754,0.00061094,0.002857,0.002126,0.006491,0.00086662,0.002359,0.001119,0.00155,0.005998,0.003674,0.006467,0.00096923,0.00054467,0.00171,0.001576,0.001914,0.002233,0.00079033,0.00091683,0.006618,0.00074596,0.007568,0.001393,0.00052052,0.001516,0.009425,0.00056413,0.00087939,0.00072339,0.003177,0.00116,0.003819,0.00365,0.00054727,0.00543,0.00143,0.003538,0.00282,0.002553,0.004312,0.005887,0.00061859,0.004447,0.002789,0.007833,0.00051919,0.005312,0.00094612
DT Length,,N/A,0.652616,0.668926,0.629831,0.629831,0.671860,0.668451,0.668451,0.633187,0.633187,0.637962,0.633187,0.633187,0.654936,0.641692,0.638151,0.695578,0.724185,0.649827,0.663619,0.698147,0.697811,0.680732,0.653410,0.657402,0.659590,0.647806,0.673027,0.658611,0.654764,0.656688,0.654764,0.782144,0.708238,0.706309,0.640651,0.663396,0.636152,0.723762,0.705113,0.641829,0.626250,0.661371,0.662908,0.745269,0.660028,0.745269,0.658082,0.640658,0.649775,0.649775,0.667872,0.672495,0.632702,0.642982,0.736798,0.666549,0.651333,0.634915,0.684140,0.644308,0.663481,0.636612,0.640917,0.719736,0.624939,0.659420,0.686953,0.658841,0.653695,0.650575,0.650200,0.679016,0.679016,0.668328,0.674646,0.737268,0.632446,0.633208,0.754112,0.688590,0.654267,0.647565,0.650056,0.671236,0.700912,0.672647,0.673558,0.681715,0.668631,0.644551,0.704279,0.547935,0.542388,0.659573
Min FS 1,Monitor Only,,2.844e-01,3.004e-01,4.916e-01,4.177e-01,3.461e-01,2.420e-01,2.189e-01,5.216e-01,4.612e-01,3.745e-01,3.998e-01,4.977e-01,5.636e-01,5.470e-01,3.493e-01,7.348e-01,6.359e-01,1.899e-01,7.042e-01,3.548e-01,1.370e+00,3.421e-01,1.077e+00,3.467e-01,5.067e-01,7.273e-01,4.095e-03,3.659e-03,2.187e-01,7.643e-01,3.222e-01,9.299e-01,1.404e+00,1.081e+00,1.247e-02,9.205e-02,1.881e-02,8.447e-01,3.291e-01,1.747e-01,4.864e-01,2.085e+00,1.993e-01,3.049e+00,Simulation Eccentric Stiffness (3) fails.,2.766e+00,4.021e-01,4.216e-01,3.410e-01,9.587e-01,6.322e-01,6.903e-01,6.729e-01,3.310e-01,1.046e+00,4.583e-01,8.306e-01,8.819e-01,3.996e-01,5.394e-01,7.820e-01,9.081e-01,1.033e+00,2.034e+00,1.152e+00,1.106e+00,5.847e-01,3.679e-01,6.654e-01,2.233e-01,9.833e-01,2.329e+00,3.646e-01,3.343e-01,1.811e-01,2.245e+00,7.806e-01,3.658e-01,4.133e-01,3.349e-01,6.154e-02,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,3.373e-01,4.358e-01,1.097e+00,1.193e+00,4.669e-01,1.239e+00,3.726e-01,9.648e-01,9.743e-03,3.759e-02,1.185e-02
Max Stress 1,Monitor Only, N/m^2,1.617e+09,1.531e+09,9.358e+08,1.101e+09,1.329e+09,1.901e+09,2.102e+09,8.818e+08,9.974e+08,1.228e+09,1.151e+09,9.243e+08,8.161e+08,8.409e+08,1.317e+09,1.126e+09,7.234e+08,2.422e+09,1.175e+09,1.296e+09,6.040e+08,1.345e+09,4.272e+08,1.327e+09,9.079e+08,1.138e+09,1.123e+11,1.257e+11,2.104e+09,6.018e+08,1.428e+09,4.947e+08,3.275e+08,4.257e+08,6.634e+10,4.997e+09,4.399e+10,9.795e+08,1.398e+09,2.633e+09,1.701e+09,3.968e+08,2.308e+09,2.713e+08,Simulation Eccentric Stiffness (3) fails.,2.991e+08,2.058e+09,1.962e+09,1.349e+09,8.630e+08,1.309e+09,6.664e+08,1.230e+09,2.500e+09,4.397e+08,1.004e+09,9.962e+08,5.216e+08,2.070e+09,1.534e+09,1.058e+09,5.066e+08,8.011e+08,4.069e+08,7.185e+08,4.160e+08,1.415e+09,1.250e+09,6.913e+08,2.060e+09,4.678e+08,3.552e+08,2.269e+09,1.376e+09,2.540e+09,3.686e+08,5.893e+08,1.257e+09,1.113e+09,2.471e+09,7.475e+09,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,1.364e+09,1.056e+09,4.191e+08,3.855e+08,9.851e+08,3.714e+08,1.235e+09,4.768e+08,4.721e+10,1.224e+10,3.881e+10
Min FS 3,Monitor Only,,7.632e-01,8.366e-01,4.236e-01,1.231e+00,8.498e-01,6.438e-01,5.757e-01,1.546e+00,1.367e+00,1.097e+00,9.759e-01,9.160e-01,1.804e+00,1.535e+00,1.015e+00,1.769e+00,1.552e+00,4.305e-01,1.621e+00,8.897e-01,3.743e+00,1.279e+00,1.078e+00,9.427e-01,1.460e+00,2.040e+00,1.008e-01,8.267e-02,5.442e-01,2.080e+00,8.763e-01,7.562e-01,1.376e+00,7.359e-01,2.315e-01,4.579e-01,2.235e-01,1.436e+00,9.014e-01,1.000e+00,1.450e+00,4.868e+00,5.791e-01,2.844e+00,Simulation Eccentric Stiffness (3) fails.,2.463e+00,1.273e+00,1.820e+00,9.525e-01,2.671e+00,1.965e+00,1.987e+00,2.207e+00,1.360e+00,8.319e-01,1.372e+00,1.118e+00,6.003e-01,8.656e-01,1.533e+00,2.210e+00,8.750e-01,3.525e+00,1.721e+00,1.040e+00,1.170e+00,1.192e+00,9.987e-01,7.703e-01,6.287e-01,1.173e+00,6.593e+00,8.766e-01,8.117e-01,4.369e-01,1.391e+00,7.176e-01,1.104e+00,1.154e+00,9.859e-01,7.820e-01,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,8.991e-01,1.232e+00,6.157e-01,6.699e-01,4.044e-01,1.102e+00,1.014e+00,1.189e+00,9.139e-02,4.640e-01,1.952e-01
