Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS OD,,N/A,0.023350,0.017750,0.018500,0.018500,0.023500,0.018100,0.018100,0.023350,0.023350,0.012875,0.023350,0.023350,0.023350,0.023350,0.023350,0.022000,0.023350,0.025350,0.023350,0.023350,0.021350,0.023350,0.021350,0.017250,0.023350,0.029550,0.023350,0.023350,0.023350,0.023350,0.023350,0.021350,0.019500,0.019500,0.023350,0.023350,0.023350,0.021350,0.021000,0.023350,0.021350,0.023350,0.023350,0.025000,0.023350,0.025000,0.023350,0.025000,0.023350,0.023350,0.026000,0.026000,0.026000,0.026500,0.021350,0.021350,0.023350,0.016775,0.026000,0.023350,0.023350,0.012875,0.023350,0.027350,0.020000,0.023350,0.023350,0.021350,0.023350,0.023350,0.016775,0.026000,0.026000,0.026000,0.023350,0.027350,0.021350,0.023350,0.021350,0.021350,0.021350,0.023350,0.023350,0.023350,0.021350,0.021350,0.021350,0.021350,0.021350,0.023000,0.019500,0.023350,0.023350,0.023350
SS OD,,N/A,0.013000,0.010750,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.010550,0.013000,0.013000,0.013000,0.013000,0.013000,0.017000,0.013000,0.013000,0.016000,0.013000,0.017500,0.013000,0.015000,0.011750,0.013000,0.019100,0.013000,0.013000,0.013000,0.016000,0.013000,0.015000,0.012000,0.012000,0.013000,0.013000,0.013000,0.015000,0.020000,0.013000,0.015000,0.013000,0.013000,0.021500,0.013000,0.021500,0.013000,0.015500,0.013000,0.013000,0.015500,0.016500,0.016500,0.016500,0.015000,0.015000,0.013000,0.008700,0.014000,0.013000,0.013000,0.010550,0.018000,0.021500,0.016000,0.013000,0.013000,0.020000,0.013000,0.013000,0.008700,0.013000,0.013000,0.013000,0.013000,0.021500,0.015000,0.013000,0.015000,0.015000,0.010500,0.013000,0.013000,0.013000,0.015000,0.015000,0.015000,0.015000,0.015000,0.013000,0.012000,0.013000,0.013000,0.013000
ST OD,,N/A,0.028600,0.028600,0.028600,0.028600,0.028000,0.028500,0.028500,0.031800,0.031800,0.028600,0.031800,0.031800,0.031800,0.031800,0.031800,0.032700,0.031800,0.033600,0.031800,0.031800,0.032700,0.031800,0.028600,0.028600,0.034900,0.031800,0.029000,0.029000,0.034900,0.028600,0.034900,0.032700,0.035000,0.035000,0.031800,0.031800,0.031800,0.032700,0.038800,0.031800,0.032700,0.035000,0.031800,0.035000,0.028600,0.035000,0.031800,0.031800,0.050000,0.050000,0.033000,0.033000,0.033000,0.031800,0.032700,0.032700,0.031800,0.028600,0.033000,0.031800,0.031800,0.028600,0.031800,0.035000,0.032700,0.030000,0.031800,0.045700,0.030000,0.031800,0.028600,0.033000,0.033000,0.035000,0.028600,0.035000,0.031600,0.031800,0.035000,0.032700,0.028800,0.027200,0.025700,0.031700,0.032700,0.032700,0.029000,0.029000,0.029000,0.031800,0.035000,0.031800,0.031800,0.029000
CS F,,m,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.01,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.018,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.039500,0.033200,0.038800,0.038800,0.041600,0.035000,0.035000,0.050300,0.050300,0.032500,0.050300,0.050300,0.042500,0.050500,0.049400,0.046800,0.050500,0.050000,0.052900,0.048800,0.056400,0.046300,0.045000,0.038000,0.055500,0.055000,0.045000,0.045000,0.053600,0.054000,0.053600,0.043000,0.043100,0.043100,0.049200,0.047500,0.055300,0.041000,0.044400,0.046900,0.042900,0.067500,0.048000,0.090000,0.046200,0.090000,0.069300,0.050100,0.050000,0.050000,0.075000,0.075000,0.010000,0.047400,0.038500,0.046500,0.048800,0.034600,0.060900,0.057000,0.056700,0.032400,0.020600,0.030000,0.044100,0.040000,0.047800,0.042600,0.040000,0.063200,0.033400,0.080000,0.080000,0.068100,0.043000,0.030000,0.040000,0.050100,0.059000,0.035000,0.049500,0.043000,0.047100,0.038700,0.053000,0.047600,0.045000,0.045000,0.045000,0.048600,0.044000,0.039600,0.010800,0.039500
ST UX,,N/A,0.033800,0.024000,0.047600,0.047600,0.035600,0.029200,0.029200,0.047600,0.047600,0.022700,0.047600,0.046800,0.023500,0.047200,0.045100,0.118800,0.045400,0.042300,0.032000,0.011800,0.099800,0.047700,0.065700,0.012000,0.038100,0.038000,0.012000,0.013000,0.043900,0.046400,0.043900,0.052700,0.063400,0.063400,0.071400,0.032700,0.073500,0.050200,0.031700,0.028900,0.050400,0.148500,0.139200,0.087500,0.048400,0.087500,0.042700,0.029300,0.114000,0.114000,0.012000,0.017000,0.020000,0.038000,0.054500,0.054800,0.047000,0.023600,0.053000,0.068500,0.046200,0.023100,0.037900,0.148400,0.029900,0.055000,0.049200,0.058000,0.055000,0.037700,0.023900,0.058000,0.058000,0.148500,0.047000,0.148400,0.053700,0.047600,0.047000,0.049000,0.076500,0.132200,0.047800,0.015700,0.079700,0.077300,0.072800,0.072800,0.072800,0.038900,0.090000,0.060800,0.020800,0.014300
HT UX,,N/A,0.035000,0.026100,0.030600,0.030600,0.029200,0.025000,0.025000,0.031600,0.031600,0.027500,0.031600,0.033500,0.027000,0.031900,0.033700,0.027100,0.040700,0.030000,0.031300,0.032000,0.032400,0.032200,0.026900,0.025000,0.041000,0.035000,0.049000,0.051000,0.034200,0.034500,0.034200,0.032200,0.029300,0.029300,0.033300,0.030800,0.038100,0.028000,0.025300,0.029500,0.027600,0.031100,0.028900,0.028300,0.030500,0.028300,0.031600,0.024700,0.025000,0.025000,0.030000,0.030000,0.025000,0.034700,0.022400,0.020100,0.033300,0.025000,0.025000,0.029800,0.041200,0.027200,0.007900,0.025000,0.028400,0.021000,0.018900,0.030100,0.021000,0.039400,0.025600,0.025000,0.025000,0.031100,0.038400,0.025000,0.023000,0.037000,0.028200,0.020800,0.034800,0.028100,0.028100,0.042100,0.025400,0.030200,0.031400,0.031400,0.031400,0.024700,0.024000,0.057200,0.047200,0.023300
HT Angle,,deg,73.5,70.5,72,72,74.5,74.5,74.5,73,73,68,73,73,76,73.5,69.5,68,62,72.5,72,73.5,69,72,71,73,72.3,73.5,73,73,73,72,73,62.98798,64.99969,64.3033,71,73,71,64.783,68.5,73,65,71.9,72,63.5,72,63.5,73.5,73,73.5,73.5,73,73,73,70.5,65,69,72,73,71,73,72,69,72,65.5,70,71,73,62,69,73,71.5,72,72,71.9,71,65.5,65,70,65,68.5,72.5,71.5,71,73,72,72,72,72,70.44208,72.5,65.7721,72,72,73.5
HT Length,,m,0.1804,0.136,0.12,0.12,0.2014,0.2014,0.2014,0.133,0.133,0.1347,0.133,0.1175,0.057,0.1501,0.1071,0.105,0.1763,0.136,0.1596,0.1785,0.16,0.1629,0.13,0.1499,0.1462,0.1572,0.1929,0.1741,0.155,0.1803,0.155,0.1251,0.1098,0.11,0.1853,0.146,0.1471,0.1088,0.088,0.1606,0.1201,0.1832,0.1952,0.1599,0.1502,0.1599,0.1698,0.135,0.1512,0.1512,0.1637,0.1734,0.1491,0.1555,0.1393,0.0724,0.1008,0.1343,0.1598,0.14,0.139,0.1303,0.095,0.1452,0.1,0.112,0.1346,0.1101,0.112,0.1606,0.134,0.1705,0.1705,0.1744,0.1726,0.1234,0.095,0.1126,0.1128,0.1051,0.1635,0.1296,0.1473,0.1938,0.1201,0.1201,0.1205,0.1205,0.1205,0.145,0.095,0.25,0.2804,0.1457
ST Length,,N/A,0.623800,0.579000,0.532600,0.532600,0.645600,0.639200,0.639200,0.547600,0.547600,0.577700,0.547600,0.566800,0.483500,0.582200,0.508800,0.444500,0.745400,0.522300,0.520000,0.631800,0.599800,0.597700,0.457200,0.583500,0.526000,0.540000,0.605000,0.565000,0.510000,0.570000,0.510000,0.450000,0.420000,0.420000,0.533000,0.552700,0.533000,0.490000,0.411700,0.508900,0.445000,0.631000,0.643000,0.460000,0.560000,0.460000,0.533000,0.491600,0.596000,0.596000,0.536000,0.520000,0.530000,0.543000,0.350000,0.320000,0.537000,0.558600,0.570000,0.538300,0.597200,0.558100,0.538100,0.465000,0.249900,0.442000,0.515200,0.415000,0.442000,0.517700,0.558900,0.560000,0.560000,0.631000,0.567000,0.500000,0.310000,0.527600,0.485000,0.415000,0.616500,0.618700,0.602800,0.625700,0.570000,0.570000,0.567000,0.567000,0.567000,0.520000,0.380000,0.550000,0.550000,0.584300
