Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated
CS Length,,m,0.367,0.4,0.405,0.405,0.41,0.405,0.445,0.455,0.395,0.395,0.4,0.43,0.41194,0.405,0.405,0.435,0.435,0.405,0.405,0.43,0.4,0.405,0.405,0.425,0.435,0.41,0.423,0.385,0.43,0.425,0.425,0.425,0.395,0.4,0.425,0.40884,0.40781,0.64,0.38324,0.38324,0.39347,0.405,0.38613,0.405,0.43,0.415,0.405,0.43,0.427,0.425,0.425,0.498,0.433,0.38528,0.415,0.405,0.435,0.405,0.41,0.415,0.399,0.395,0.395,0.395,0.422,0.422,0.395,0.42,0.405,0.39,0.388,0.39347,0.405,0.405,0.405,0.405,0.361,0.361,0.44,0.40877,0.405,0.405,0.405,0.405,0.405,0.399,0.399,0.399,0.498,0.325,0.399,0.395,0.405,0.425,0.47,0.435,0.416,0.416,0.43,0.43,0.43,0.43,0.416,0.44,0.39,0.43,0.45,0.42,0.405,0.45,0.405,0.435,0.416,0.425,0.405,0.4,0.4,0.425,0.44,0.43,0.43,0.4003,0.415,0.39654,0.405,0.39327,0.4,0.43,0.405,0.39553,0.415,0.41,0.43,0.43,0.41,0.27403,0.39858,0.845,0.405,0.575,0.415,0.39347,0.38631,0.427,0.43,0.432,0.405,0.442,0.405,0.405,0.405,0.405,0.425,0.425,0.405,0.415,0.395,0.41,0.405,0.405,0.405,0.44,0.405,0.405,0.408,0.405,0.405,0.405,0.415,0.423,0.405,0.405,0.405,0.40516,0.38,0.405,0.32,0.405,0.3948,0.445,0.39194,0.4005,0.405,0.40376,0.535,0.405,0.405,0.39613,0.475,0.485,0.45506,0.425,0.457,0.457,0.39654,0.41396,0.485,0.415,0.40146,0.465,0.41
BB Drop,,m,0.04,0.045,0.07,0.077,0.07,0.07,0.07,0.067,0.07,0.06,0.068,0.0645,0.055,0.07,0.06,0.07,0.07,0.07,0.067,0.0645,0.06,0.06,0.06,0.047,0.07,0.07,0.075,0.058,0.077,0.06,0.06,0.04,0.052,0.055,0.07,0.07,0.07,0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.03,0.04,0.07,0.0317,0.06,0.06,0.07,0.02,0.07,0.07,0.07,0.048,0.04,0.04,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.06,0.055,0.07,0.07,0.07,0.07,0.07,0.014,0.014,0.075,0.0758,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.04,-0.04,0.06,-0.04,0.053,0.07,0.07,0.07,0.07,0.07,0.065,0.0795,0.0795,0.07,0.0665,0.058,0.05,0.07,0.065,0.07,0.07,0.07,0.055,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.05,0.022,0.07,0.07,0.07,0.065,0.066,0.07,0.07,0.07,0.07,0.0635,0.0635,0.07,0.003,0.07,0,0.07,-0.022,0.127,0.07,0.07,0.07,0.072,0.07,0.065,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.067,0.06,0.067,0.07,0.07,0.07,0.07,0.055,0.07,0.07,0.058,0.07,0.07,0.07,0.07,0.065,0.07,0.07,0.07,0.07,0.07,0.07,-0.057,0.068,0.034,0.05,0.033,0.055,0.07,0.07,0.07,0.07,0.07,0.07,0.055,0.05,0.09,0.07,0.078,0.078,0.07,0.07,0.05,0.063,0.065,0.075,0.06
Stack,,m,0.5656,0.5656,0.519,0.519,0.587,0.5656,0.5416,0.5656,0.5656,0.5656,0.5656,0.606,0.5656,0.5656,0.5656,0.5226,0.5226,0.5656,0.5656,0.606,0.5656,0.5656,0.5656,0.47,0.5226,0.551,0.56,0.4745,0.5656,0.5656,0.5656,0.6152,0.5656,0.5656,0.5656,0.52,0.532,0.64,0.5,0.51,0.515,0.5656,0.525,0.545,0.5656,0.4873,0.51,0.5656,0.599,0.5287,0.546,0.5656,0.5,0.525,0.522,0.5656,0.5656,0.5656,0.5773,0.522,0.526,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.53,0.5656,0.5656,0.5656,0.5,0.5656,0.5656,0.7119,0.4467,0.503,0.5656,0.525,0.5217,0.504,0.497,0.497,0.497,0.5656,0.5656,0.366,0.5656,0.398,0.5091,0.5648,0.66,0.5041,0.5041,0.5656,0.5741,0.61,0.61,0.5041,0.6269,0.5656,0.586,0.533,0.5656,0.5656,0.5656,0.5656,0.604,0.5041,0.6071,0.545,0.5656,0.5656,0.5656,0.5656,0.6071,0.6071,0.5854,0.5395,0.51,0.5656,0.525,0.55,0.649,0.535,0.518,0.573,0.56,0.649,0.649,0.494,0.39,0.52,0.335,0.5771,0.5656,0.6,0.525,0.535,0.5656,0.5656,0.6219,0.5596,0.5656,0.5656,0.5656,0.5656,0.528,0.5656,0.5656,0.584,0.5656,0.5656,0.5909,0.5086,0.555,0.5656,0.5656,0,0,0.5656,0,0,0.5086,0.5695,0.55,0.5086,0.5086,0.5086,0.5086,0.5086,0.5656,0.5656,0.5106,0.428,0.5656,0.428,0.5656,0.5559,0.525,0.5656,0.5656,0.5656,0.515,0.5656,0.5656,0.5656,0.5656,0.565,0.565,0.521,0.54,0.5656,0.5656,0.535,0.5656,0.5656
SS E,,m,0.045,0.08,0.045,0.045,0.02,0.045,0.03,0.035,0.08,0.22,0.035,0.04,0.1,0.06,0.045,0.07,0.07,0.06,0.045,0.04,0.06,0.045,0.045,0.045,0.07,0.15,0.04,0.03,0.055,0.08,0.08,0.065,0.05,0.17,0.045,0.24,0.35,0.045,0.18,0.18,0.045,0.045,0.2,0.045,0.045,0.045,0.045,0.045,0.06,0.045,0.045,0.239,0.045,0.34,0.045,0.045,0.045,0.15,0.22,0.045,0.035,0.09,0.09,0.09,0.045,0.045,0.09,0.1,0.045,0.045,0.16,0.175,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.108,0.045,0.045,0.045,0.045,0.239,0.045,0.045,0.09,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.06,0.06,0.045,0.03,0.045,0.045,0.055,0.055,0.19,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.055,0.045,0.045,0.1,0.055,0.12,0.045,0.15,0.045,0.045,0.12,0.045,0.065,0.045,0.045,0.045,0.085,0.075,0.065,0.025,0.045,0.045,0.045,0.07,0.09,0.045,0.045,0.045,0.13,0.09,0.045,0.045,0.045,0.045,0.045,0.045,0.055,0.055,0.02,0.07,0.05,0.065,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.06,0.06,0.06,0.06,0.06,0.045,0.045,0.02,0.04,0.025,0.04,0.023,0.12,0.165,0.011,0.045,0.12,0.14,0.023,0.025,0.045,0.045,0.045,0.045,0.045,0.045,0.025,0.045,0.045,0.045,0.045
ST Angle,,deg,72.99998,74,76,74.5,73,74,74.00527,73.5,74,75,73,73,73.50026,74.5,74,74,74,74,73,73,74,74,73.5,75,74,73.5,74,74.5,74,74.50812,74,73.00099,74,76,74,74,74,60,74,74,74,74,76.5,74,74,74,74,74,71.9,74.5,74,75,73,74,74,74,73,74,74,74,74,74,74,74,74,74,74,72.5,74,74.5,75,74,75,74,74,75,74,74,72,74,74,74,74,73.5,74,74,74,74,75,70,70,74,70,74,73,73,74,74,74,74.90154,73,73,74,74,76,69,71.5,74,78,74,74,72.5,74,73,74.5,74,74,74,72.5,73,73,74.23376,72.5,74,74,74,74,73.75,74,75,72,73.5,73.75,73.75,73.5,75,75,74,74,71,77,74,74,73.5,74,73,73.8,73.3,73,73,73,74,73,73,73.2,73,75,73,72,74,70,73.5,73,73,73,73,73,72,74,74.667,72,72,72,72,71.99727,74,75.5,74,76,66,74,73,74,76,67,74,73.5,74,72.5,66,75.92208,73,72,72,74,74,66,75.38463,74,72,73.5
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0445,0.055,0.055,0.04,0.04,0.055,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.055,0.04,0.04,0.04,0.04,0.04,0.038,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.042,0.04,0.05,0.06,0.04,0.04,0.042,0.046,0.038,0.04,0.04,0.04,0.04,0.04,0.046,0.04,0.04,0.04,0.041,0.046,0.046,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.042,0.04,0.042,0.04,0.05,0.04,0.0364,0.04,0.04,0.04,0.04,0.04,0.04,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0348,0.04
TT OD,,m,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0343,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0343,0.0343,0.0286,0.0286,0.02395,0.0286,0.0254,0.0286,0.0315,0.0315,0.0349,0.0286,0.0286,0.0286,0.02805,0.03055,0.0286,0.02305,0.0286,0.0243,0.0343,0.0286,0.03055,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0337,0.0286,0.0286,0.0286,0.0286,0.0337,0.039,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03975,0.0286,0.0286,0.0286,0.0268,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0322,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03,0.03175,0.0286,0.02755,0.02755,0.0286,0.0286,0.0286,0.0286,0.02755,0.0273,0.0286,0.03225,0.0304,0.0286,0.03055,0.0286,0.0286,0.0286,0.02755,0.03255,0.0286,0.0286,0.0286,0.0286,0.0292,0.03405,0.03405,0.0257,0.0286,0.0286,0.0286,0.0286,0.0286,0.03405,0.0286,0.0286,0.0286,0.0375,0.03405,0.03405,0.0286,0.0286,0.0286,0.0286,0.0286,0.027,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0302,0.03055,0.0286,0.0286,0.0286,0.0286,0.0254,0.0254,0.0286,0.0286,0.0254,0.02948,0.0254,0.0286,0.0286,0.0439,0.0286,0.0286,0.0286,0.0286,0.0286,0.0254,0.0286,0.0286,0.0254,0.0254,0.0254,0.0254,0.0254,0.0286,0.0286,0.0286,0.0254,0.0286,0.0254,0.0286,0.0286,0.02395,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0251,0.0286,0.0286
HT OD,,m,0.045,0.042,0.045,0.045,0.036,0.045,0.0318,0.0318,0.055,0.05,0.045,0.038,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.044,0.055,0.045,0.045,0.041,0.045,0.045,0.036,0.038,0.05,0.046,0.046,0.0413,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.0413,0.045,0.045,0.05,0.05,0.05,0.045,0.048,0.055,0.055,0.055,0.045,0.045,0.055,0.055,0.045,0.036,0.036,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.038,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.055,0.045,0.04,0.0365,0.045,0.045,0.045,0.045,0.045,0.0413,0.0413,0.045,0.036,0.045,0.045,0.045,0.0365,0.021,0.045,0.045,0.0318,0.045,0.045,0.0286,0.05,0.05,0.0413,0.045,0.0413,0.0413,0.038,0.038,0.0413,0.045,0.045,0.034,0.0413,0.045,0.045,0.045,0.054,0.0413,0.0413,0.0317,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.044,0.036,0.045,0.045,0.021,0.0563,0.0563,0.0563,0.045,0.04,0.04,0.036,0.045,0.0318,0.036,0.045,0.045,0.045,0.0364,0.045,0.045,0.0413,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0413,0.04,0.0334,0.04,0.032,0.05,0.045,0.0334,0.045,0.032,0.045,0.032,0.0334,0.0413,0.033,0.045,0.045,0.045,0.045,0.0334,0.0413,0.045,0.0318,0.045
DT OD,,m,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.044,0.044,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.044,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04795,0.0365,0.0365,0.0365,0.05498,0.0365,0.0365,0.0365,0.0365,0.0365,0.0403,0.0365,0.0365,0.0365,0.0365,0.0365,0.0405,0.0365,0.0365,0.0365,0.047,0.0365,0.0365,0.03625,0.0365,0.0365,0.0365,0.0365,0.03625,0.0465,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.05,0.04188,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03825,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.047,0.0365,0.0365,0.0365,0.0365,0.0365,0.03183,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.035,0.0365,0.04,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03898,0.0365,0.0365,0.0365,0.0365,0.0365,0.04148,0.04148,0.0365,0.0425,0.0365,0.0365,0.0365,0.0365,0.04148,0.0365,0.0365,0.0365,0.05525,0.04148,0.04148,0.0365,0.0365,0.0365,0.0365,0.0365,0.0202,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0385,0.0365,0.0365,0.0365,0.0365,0.04703,0.0365,0.0365,0.0365,0.03322,0.0365,0.0353,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.039,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.035,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365
