Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.390000,0.405000,0.442000,0.400000,0.410000,0.424000,0.410000,0.425000,0.455000,0.410000,0.419090,0.396000,0.432000,0.445000,0.445000,0.390000,0.435000,0.460000,0.460000,0.460000,0.405000,0.430000,0.405000,0.365000,0.440000,0.365000,0.365000,0.460000,0.460000,0.420000,0.420000,0.430000,0.430000,0.420000,0.405000,0.451790,0.388000,0.370000,0.369000,0.420000,0.450000,0.400000,0.419000,0.415000,0.415000,0.445000,0.445000,0.440000,0.530000,0.500000,0.432000,0.490000,0.371000,0.430000,0.377100,0.455000,0.415000,0.415000,0.415000,0.365000,0.365000,0.410000,0.368000,0.415000,0.415000,0.415000,0.410000,0.458810,0.407000,0.380000,0.470000,0.475000,0.431000,0.430000,0.409000,0.415000,0.415000,0.415000,0.410000,0.409000,0.415000,0.410000,0.400000,0.415000,0.392000,0.405000,0.405000,0.400000,0.432000,0.432000,0.432000,0.432000,0.432000,0.430000,0.435000,0.398000,0.400000,0.400000,0.440000,0.425000,0.400000,0.341580,0.385000,0.412000,0.365000,0.435000,0.435000,0.405000,0.435000,0.425000,0.435000,0.424000,0.424000,0.424000,0.424000,0.430000,0.384670,0.420000,0.425000,0.405000,0.365000,0.405000,0.405000,0.430000,0.417000,0.365000,0.393190,0.445000,0.455000,0.440000,0.470000,0.412000,0.412000,0.415400,0.360000,0.425000,0.476200,0.405000,0.417040,0.430000,0.408000,0.408000,0.435000,0.415000,0.415000,0.415000,0.415000,0.415000,0.418300,0.410000,0.436000,0.436000,0.436000,0.480000,0.480000,0.480000,0.410000,0.410000,0.410000,0.425000,0.420000,0.425600,0.445000,0.430000,0.430000,0.405000,0.420000,0.425000,0.430000,0.430000,0.400000,0.450000,0.425000,0.440000,0.420000,0.410000,0.392600,0.450000,0.381000,0.475000,0.440000,0.425000,0.405000,0.430000,0.412000,0.420000,0.435000,0.390300,0.435000,0.408000,0.405000,0.405000,0.405000,0.458000,0.425000,0.410000,0.405000,0.425000,0.405000,0.400000,0.435000
BB Drop,,N/A,0.047500,0.057000,-0.041000,0.067000,0.072000,0.085000,0.069000,0.050000,0.075000,0.070000,0.070000,0.017000,0.056000,0.005000,0.005000,0.017000,0.048000,0.045000,0.045000,0.045000,0.070000,0.070000,0.070000,0.025000,0.045000,0.025000,0.025000,0.045000,0.045000,0.015000,0.065000,0.075000,0.070000,0.097000,0.070000,0.032500,0.020000,0.035000,0.070000,0.069000,0.035000,0.069000,0.040000,0.075000,0.075000,0.068000,0.068000,0.053000,0.060000,0.017500,0.046500,0.078000,0.035000,0.073000,0.029000,0.060000,0.046000,0.058490,0.055155,-0.025000,-0.025000,0.070000,0.070000,0.070000,0.070000,0.068000,0.065000,0.072000,0.068000,0.069000,0.050000,0.050000,0.070000,0.080000,0.070000,0.068000,0.068000,0.068000,0.065000,0.071000,0.068000,0.068000,0.054000,0.060000,0.055000,0.070000,0.070000,0.035000,0.056000,0.011748,0.011748,0.011748,0.011748,0.070000,0.065000,0.065000,0.058000,0.058000,0.070000,0.073000,0.055000,-0.027000,0.045000,0.071000,0.025000,0.080000,0.080000,0.030000,0.080000,0.070000,0.080000,0.065000,0.065000,0.065000,0.065000,0.065000,0.058000,0.065000,0.070000,0.070000,0.025000,0.070000,0.062300,0.053000,0.070000,0.025000,0.070000,0.075000,0.080000,0.060000,0.090000,0.075000,0.070000,0.070000,0.025000,0.074500,0.077500,0.070000,0.070000,0.072000,0.070000,0.070000,0.056006,0.075000,0.075000,0.075000,0.075000,0.065000,0.054000,0.074600,0.063995,0.062691,0.049045,0.080000,0.080000,0.080000,0.070000,0.070000,0.070000,0.078000,0.070000,0.070000,0.075000,0.060000,0.060000,0.070000,0.072000,0.068000,0.070000,0.047500,0.070000,0.065000,0.070000,0.070000,0.060000,0.070000,0.070000,0.065000,0.022900,0.080000,0.060000,0.049215,0.070000,0.070000,0.070000,0.060000,0.080000,0.058354,0.080000,0.070000,0.070000,0.070000,0.070000,0.050000,0.050000,0.070000,0.070000,0.065000,0.070000,0.056000,0.080000
Stack,,m,0.6199,0.5656,0.5656,0.566,0.64,0.6352,0.609,0.632,0.6181,0.632,0.5656,0.542,0.5656,0.5656,0.5656,0.547,0.5781,0.5036,0.5036,0.5036,0.5656,0.662,0.55,0.536,0.613,0.536,0.536,0.5036,0.5036,0.5656,0.5852,0.5656,0.5656,0.5656,0.5656,0.63,0.5133,0.5501,0.5656,0.5656,0.655,0.5656,0.466,0.56,0.56,0.5656,0.584,0.652,0.5656,0.5089,0.625,0.5656,0.5501,0.5656,0.5656,0.5656,0.591,0.6148,0.6044,0.528,0.528,0.546,0.5707,0.61,0.584,0.584,0.5656,0.5656,0.591,0.55,0.5656,0.5656,0.638,0.5656,0.572,0.584,0.584,0.584,0.59,0.572,0.584,0.584,0.654,0.5384,0.5754,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.566,0.5262,0.5262,0.5262,0.5656,0.5882,0.5656,0.45,0.512,0.546,0.5037,0.5656,0.5656,0.565,0.5656,0.63,0.5656,0.5278,0.5278,0.5278,0.5278,0.5971,0.5656,0.5539,0.557,0.555,0.536,0.555,0.5656,0.594,0.5902,0.536,0.5224,0.5656,0.6239,0.5656,0.6248,0.573,0.5568,0.5514,0.5338,0.576,0.5607,0.5666,0.5666,0.595,0.5289,0.5289,0.615,0.5826,0.5826,0.5826,0.5826,0.5656,0.5593,0.598,0.6577,0.6577,0.6577,0.559,0.6293,0.6294,0.5649,0.5649,0.5649,0.6106,0.5656,0.5656,0.6256,0.6624,0.667,0.5656,0.59,0.5656,0.5656,0.66,0.5656,0.61,0.5656,0.687,0.5297,0.5656,0.5656,0.61,0.572,0.6472,0.6157,0.6181,0.4836,0.6019,0.529,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.558,0.5656,0.658,0.6299,0.63,0.5656,0.5656,0.4836,0.64,0.5656
SS E,,N/A,0.040000,0.180000,0.050000,0.045000,0.175000,0.115000,0.120000,0.050000,0.045000,0.055000,0.100000,0.050000,0.050000,0.045000,0.045000,0.050000,0.050000,0.040000,0.040000,0.040000,0.045000,0.045000,0.197000,0.065000,0.050000,0.065000,0.065000,0.040000,0.040000,0.050000,0.050000,0.220000,0.045000,0.150000,0.045000,0.050000,0.050000,0.045000,0.150000,0.200000,0.045000,0.200000,0.100000,0.070500,0.070500,0.045000,0.045000,0.050000,0.030000,0.050000,0.120000,0.050000,0.045000,0.045000,0.055000,0.050000,0.064000,0.064000,0.064000,0.035000,0.035000,0.045000,0.300000,0.045000,0.045000,0.045000,0.045000,0.100000,0.065000,0.200000,0.030000,0.030000,0.050000,0.045000,0.040000,0.045000,0.045000,0.045000,0.040000,0.043000,0.045000,0.045000,0.045000,0.045000,0.083000,0.045000,0.045000,0.130000,0.050000,0.050000,0.050000,0.050000,0.050000,0.045000,0.045000,0.082000,0.082000,0.082000,0.050000,0.100000,0.050000,0.045000,0.262000,0.150000,0.065000,0.030000,0.030000,0.055000,0.030000,0.085000,0.030000,0.045000,0.045000,0.045000,0.045000,0.045000,0.035000,0.045000,0.045000,0.050000,0.065000,0.180000,0.045000,0.085000,0.050000,0.065000,0.045000,0.050000,0.050000,0.105000,0.050000,0.100000,0.035000,0.045000,0.065000,0.045000,0.050000,0.045000,0.045000,0.045000,0.025000,0.025000,0.050000,0.015000,0.015000,0.015000,0.235000,0.045000,0.050000,0.045000,0.065000,0.065000,0.065000,0.050000,0.050000,0.050000,0.045000,0.045000,0.045000,0.075000,0.045000,0.045000,0.050000,0.050000,0.050000,0.160000,0.045000,0.190000,0.045000,0.045000,0.025000,0.050000,0.045000,0.045000,0.030000,0.130000,0.130000,0.050000,0.050000,0.050000,0.050000,0.055000,0.160000,0.045000,0.165000,0.050000,0.030000,0.037000,0.030000,0.045000,0.045000,0.050000,0.045000,0.045000,0.050000,0.080000,0.045000,0.190000,0.150000,0.050000,0.030000
ST Angle,,N/A,1.309000,1.274090,1.265364,1.268854,1.274090,1.291544,1.291544,1.300270,1.274090,1.274090,1.291544,1.274090,1.274090,1.247910,1.247910,1.274090,1.265364,1.169371,1.169371,1.169371,1.291544,1.265364,1.274090,1.291544,1.343904,1.291544,1.291544,1.169371,1.169371,1.274090,1.222115,1.263856,1.267552,1.308997,1.291544,1.343904,1.267598,1.291544,1.291544,1.282817,1.396263,1.282817,1.274105,1.256637,1.256637,1.282817,1.291544,1.326450,1.151917,1.230457,1.270600,1.256637,1.291544,1.267552,1.317724,1.291544,1.268854,1.273781,1.265668,1.300270,1.300270,1.288053,1.291544,1.282817,1.256637,1.256673,1.267458,1.151847,1.274090,1.291544,1.230457,1.169371,1.265364,1.291544,1.298525,1.256673,1.256673,1.256673,1.290638,1.300270,1.256673,1.256673,1.291544,1.291544,1.300270,1.291544,1.291544,1.265364,1.365322,1.262524,1.262524,1.262524,1.262524,1.274090,1.291544,1.291544,1.308997,1.308997,1.274090,1.274090,1.326450,1.291544,1.300342,1.282817,1.291544,1.256637,1.256637,1.326450,1.256637,1.274090,1.256637,1.300270,1.300270,1.291544,1.282817,1.308997,1.308997,1.291544,1.282817,1.282817,1.291544,1.282817,1.282817,1.291544,1.274090,1.291544,1.361357,1.369806,1.378810,1.265364,1.370083,1.282817,1.274090,1.269047,1.308997,1.274090,1.274090,1.291529,1.291529,1.274090,1.282817,1.282817,1.370096,1.274090,1.274090,1.274090,1.274090,1.265364,1.274090,1.282817,1.326981,1.323958,1.292397,1.256637,1.256637,1.256637,1.291544,1.291544,1.291544,1.274090,1.291544,1.291544,1.308997,1.291544,1.291544,1.317724,1.262061,1.274090,1.274090,1.274090,1.282817,1.300270,1.282817,1.274090,1.282817,1.210026,1.235700,1.300270,1.239184,1.261227,1.291544,1.273416,1.317724,1.274090,1.282817,1.291544,1.282817,1.301522,1.282817,1.291544,1.291544,1.282817,1.291544,1.343904,1.274090,1.291544,1.439897,1.300270,1.317724,1.343904,1.282817
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.044,0.04,0.04,0.04,0.04,0.04,0.04,0.0387,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.052,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.036,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0337,0.0337,0.04,0.04,0.04,0.04,0.04015,0.04015,0.04,0.04,0.04,0.0337,0.04,0.04,0.04,0.0383,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04015,0.04015,0.04,0.04015,0.046,0.04015,0.04,0.04,0.04,0.04,0.03815,0.04,0.04,0.04,0.046,0.04,0.046,0.04,0.04,0.05076,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.053,0.04,0.04,0.04,0.051,0.04015,0.045,0.04015,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04015
TT OD,,m,0.0286,0.0237,0.0286,0.0273,0.0359,0.03115,0.03075,0.0286,0.0286,0.0335,0.02855,0.0286,0.0286,0.0601,0.0601,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0302,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03315,0.0286,0.0286,0.0286,0.0286,0.0286,0.0306,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.04125,0.0286,0.0286,0.0286,0.0286,0.0286,0.036,0.0286,0.0316,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0315,0.0315,0.0286,0.03,0.0286,0.0286,0.066,0.035,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0283,0.0283,0.0283,0.0283,0.02705,0.02863,0.0286,0.0286,0.032,0.0286,0.04395,0.0286,0.04295,0.0334,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03545,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0335,0.0335,0.0335,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0283,0.035,0.0286,0.0286,0.0286,0.0286,0.0272,0.0286,0.0286,0.0286,0.0286,0.02725,0.0286,0.0286,0.0286,0.03075,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03145,0.0286,0.0286,0.0286,0.0286,0.036,0.0286,0.0286,0.0286,0.041,0.0286,0.0385,0.0286,0.0286,0.0286,0.0286,0.03145,0.0286,0.0286
HT OD,,m,0.0317,0.03,0.048,0.04,0.06,0.045,0.052,0.05,0.05,0.05,0.0413,0.05,0.0413,0.055,0.055,0.05,0.044,0.033,0.033,0.033,0.045,0.044,0.045,0.0413,0.05,0.0413,0.0413,0.033,0.033,0.05,0.05,0.045,0.044,0.0523,0.045,0.0413,0.05,0.037,0.045,0.0413,0.053,0.0413,0.045,0.056,0.056,0.045,0.045,0.05,0.0318,0.05,0.05,0.038,0.037,0.044,0.045,0.044,0.05,0.05,0.05,0.0413,0.0413,0.045,0.045,0.045,0.056,0.056,0.045,0.05,0.053,0.0413,0.03215,0.03215,0.05,0.056,0.036,0.056,0.056,0.056,0.045,0.0362,0.056,0.056,0.05,0.045,0.056,0.045,0.045,0.05,0.05,0.05,0.05,0.05,0.05,0.045,0.05,0.05,0.05,0.05,0.044,0.044,0.05,0.045,0.056,0.0413,0.0413,0.03215,0.03215,0.05,0.03215,0.05,0.03215,0.045,0.045,0.045,0.045,0.056,0.0318,0.05,0.04,0.043,0.0413,0.045,0.045,0.0413,0.056,0.0413,0.045,0.0413,0.0413,0.05,0.0413,0.05,0.05,0.055,0.0413,0.045,0.036,0.0413,0.0413,0.045,0.0302,0.036,0.05,0.045,0.045,0.045,0.045,0.033,0.05,0.045,0.05,0.05,0.05,0.0413,0.0413,0.0413,0.045,0.045,0.045,0.045,0.031,0.045,0.05,0.05,0.05,0.045,0.045,0.036,0.045,0.045,0.036,0.05,0.056,0.045,0.052,0.05,0.05,0.05,0.05,0.038,0.05,0.052,0.045,0.045,0.045,0.056,0.03215,0.035,0.03215,0.03175,0.045,0.048,0.045,0.0413,0.044,0.045,0.045,0.036,0.045,0.05,0.03215
DT OD,,m,0.0365,0.025,0.0365,0.0385,0.0365,0.03823,0.0365,0.0365,0.04075,0.04825,0.0365,0.0365,0.0365,0.0615,0.0615,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03823,0.0365,0.0365,0.0365,0.0365,0.0365,0.04005,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03105,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0475,0.0365,0.0365,0.0365,0.0365,0.0365,0.048,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.045,0.0365,0.0365,0.048,0.045,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04198,0.04198,0.04198,0.04198,0.0365,0.03515,0.0365,0.0365,0.04,0.0365,0.047,0.0365,0.05,0.03775,0.0365,0.0365,0.0365,0.0365,0.05,0.0365,0.0365,0.04703,0.0365,0.0365,0.0365,0.0365,0.045,0.045,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.035,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0355,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0545,0.0365,0.0365,0.0365,0.0365,0.0345,0.0365,0.0333,0.0365,0.0485,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0545,0.0365,0.0365
