Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.375000,0.360000,0.405000,0.381000,0.381000,0.378460,0.405000,0.350000,0.460100,0.375000,0.417000,0.375000,0.410000,0.435000,0.382000,0.430000,0.412500,0.430000,0.406500,0.397000,0.365000,0.365000,0.430000,0.393700,0.370780,0.440000,0.372000,0.381000,0.318900,0.415000,0.425000,0.405000,0.405000,0.369000,0.405000,0.390280,0.374000,0.366390,0.380000,0.420000,0.400000,0.420000,0.415000,0.420000,0.405000,0.400000,0.405000,0.410000,0.414290,0.460000,0.400000,0.445000,0.380000,0.405000,0.400000,0.430000,0.379000,0.480000,0.400000,0.410000,0.369830,0.379000,0.380000,0.450000,0.403490,0.383000,0.384000,0.405000,0.343000,0.425000,0.370000,0.379000,0.405000,0.410000,0.400500,0.475000,0.450000,0.400500,1.500000,0.410000,0.410000,0.378150,0.425000,0.380000,0.367500,0.454000,0.435000,0.375000,0.385000,0.445000,0.405000,0.425000,0.470000,0.388300,0.405000,0.403000,0.405000,0.390000,0.390000,0.425000,0.365000,0.365000,0.408000,0.460000,0.460000,0.510000,0.405000,0.375000,0.369770,0.405000,0.420000,0.345000,0.390300,0.405000,0.405000,0.425000,0.419000,0.430000,0.400000,0.420000,0.375000,0.420000,0.405000,0.445000,0.465000,0.405000,0.440000,0.362580,0.905000,0.381000,0.390000,0.425000,0.405000,0.505000,0.385000,0.440000,0.365000,0.412000,0.381000,0.412000,0.423000,0.410000,0.405000,0.365000,0.380000,0.442000,0.455000,0.498100,0.320000,0.400000,0.400000,0.387000,0.405000,0.381000,0.381000,0.405000,0.405000,0.405000,0.389270,0.425000,0.405000,0.405000,0.405000,0.412000,0.327660,0.404700,0.342900,0.430000,0.445000,0.455000,0.342900,0.381000,0.381000,0.405000,0.405000,0.381000,0.381000,0.381000,0.381000,0.375000,0.367780,0.398270,0.398270,0.405000,0.350000,0.350000,0.301480,0.550000,0.413250,0.390000,0.408000,0.420000,0.400000,0.420000,0.400000,0.400000,0.320000,0.370000,0.390000,0.390000,0.400000
BB Drop,,N/A,0.000000,0.055000,0.075000,-0.007000,-0.007000,0.000000,0.070000,-0.010000,0.020000,0.000000,0.035000,0.000000,0.070000,0.067000,0.052500,0.041722,0.100000,0.075000,0.015000,0.050000,0.053000,0.000000,0.067000,0.070000,0.025000,0.067000,0.030000,0.000000,0.048007,0.068000,0.069000,0.070000,0.070000,0.000004,0.070000,0.050000,0.000000,0.000000,0.065000,0.058000,0.025000,0.055000,0.070000,0.060000,0.070000,0.028000,0.070000,0.070000,0.037000,0.075000,0.070000,0.020000,0.020000,0.070000,0.075000,0.059000,-0.003000,0.000000,0.070000,0.015000,0.030000,-0.003000,0.050000,0.075000,0.030000,0.060000,0.060000,0.067000,0.030000,0.072000,0.070000,-0.003000,0.060000,0.070000,0.070000,0.090000,-0.040000,0.070000,0.050000,0.068000,0.070000,0.035000,0.055000,0.050000,0.020000,0.063000,0.069000,0.030000,0.050000,0.070000,0.070000,0.055000,0.060000,0.070700,0.070000,0.070000,0.070000,0.047000,0.047000,0.068000,0.035000,0.040000,0.069000,0.048100,0.048100,0.043000,0.070000,0.068000,0.040000,0.070000,0.065000,0.000000,0.057112,0.070000,0.070000,0.035500,0.040000,0.050000,0.070000,0.071000,0.040000,0.051300,0.037000,0.016000,0.030000,-0.030000,0.068000,0.070000,-0.007000,0.000000,0.060000,0.066000,0.070000,-0.007000,0.045000,0.060000,0.000000,0.070000,0.000000,0.070000,0.074000,0.017500,0.070000,0.000000,0.000000,0.040000,0.045000,0.070000,-0.020000,0.035000,0.000000,0.054000,0.070000,0.000000,0.000000,0.070000,0.070000,0.070000,0.070000,0.040000,0.070000,0.070000,0.070000,0.070000,-0.048400,0.070000,-0.045300,0.060000,0.085000,0.090000,-0.045300,0.000000,0.000000,0.070000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,0.070000,0.070000,0.068042,0.000000,0.000000,0.043000,0.029500,0.070000,0.045000,0.070000,0.010000,0.030000,0.010000,0.030000,0.030000,-0.025000,-0.010000,0.034000,0.005000,0.000000
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,N/A,0.060000,0.070000,0.060000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.060000,0.053000,0.060000,0.060000,0.045000,0.070000,0.070000,0.070000,0.045000,0.045000,0.045000,0.045000,0.060000,0.045000,0.065000,0.200000,0.045000,0.050000,0.060000,0.045000,0.045000,0.045000,0.045000,0.045000,0.055000,0.045000,0.200000,0.055000,0.045000,0.050000,0.045000,0.034000,0.060000,0.150000,0.060000,0.045000,0.034000,0.045000,0.155000,0.045000,0.045000,0.160000,0.045000,0.045000,0.055000,0.055000,0.045000,0.045000,0.045000,0.065000,0.030000,0.045000,0.045000,0.270000,0.055000,0.170000,0.195000,0.075000,0.045000,0.045000,0.050000,0.050000,0.045000,0.045000,0.045000,0.045000,0.025000,0.040000,0.045000,0.045000,0.045000,0.045000,0.040000,0.050000,0.070000,0.070000,0.055000,0.055000,0.045000,0.045000,0.045000,0.045000,0.050000,0.125000,0.045000,0.045000,0.045000,0.045000,0.080000,0.080000,0.045000,0.140000,0.150000,0.045000,0.051970,0.051970,0.045000,0.045000,0.028000,0.155000,0.250000,0.050000,0.045000,0.037000,0.045000,0.045000,0.045000,0.045000,0.100000,0.045000,0.050000,0.045000,0.065000,0.045000,0.095000,0.045000,0.045000,0.045000,0.045000,0.045000,0.060000,0.090000,0.045000,0.045000,0.045000,0.060000,0.045000,0.055000,0.055000,0.060000,0.430000,0.045000,0.045000,0.045000,0.055000,0.060000,0.045000,0.060000,0.045000,0.035000,0.200000,0.045000,0.050000,0.045000,0.060000,0.060000,0.045000,0.045000,0.045000,0.045000,0.045000,0.205000,0.045000,0.045000,0.030000,0.030000,0.030000,0.030000,0.045000,0.040000,0.060000,0.020000,0.060000,0.060000,0.045000,0.045000,0.060000,0.050000,0.060000,0.060000,0.060000,0.325000,0.100000,0.100000,0.150000,0.045000,0.045000,0.045000,0.045000,0.170000,0.025000,0.045000,0.045000,0.045000,0.045000,0.060000,0.060000,0.031000,0.040000,0.045000,0.045000,0.039000
ST Angle,,N/A,1.239180,1.343904,1.274090,1.221730,1.221730,1.274090,1.291544,1.221730,1.300270,1.239184,1.256637,1.239184,1.291544,1.274090,1.352630,1.274099,1.352630,1.291544,1.308997,1.326450,1.343904,1.230457,1.282817,1.308997,1.326450,1.265364,1.308997,1.239184,1.274113,1.282817,1.282817,1.291544,1.274090,1.291555,1.300270,1.343904,1.291544,1.291544,1.361357,1.282817,1.274090,1.282817,1.282817,1.282817,1.291544,1.274090,1.291544,1.282817,1.308997,1.274090,1.326450,1.291544,1.291544,1.221730,1.282817,1.291544,1.213004,1.570796,1.300270,1.239184,1.326450,1.213004,1.291544,1.274090,1.308997,1.300270,1.361357,1.282817,1.326450,1.291544,1.492257,1.213004,1.308997,1.291544,1.282817,1.221730,1.326450,1.282817,0.872665,1.291544,1.286308,1.343904,1.265364,1.317724,1.308997,1.282817,1.282817,1.308997,1.317724,1.282817,1.308997,1.265364,1.178097,1.371742,1.274090,1.282817,1.291544,1.308997,1.308997,1.274090,1.343904,1.343904,1.282817,1.256637,1.256637,1.143191,1.291544,1.274090,1.326450,1.291544,1.256637,1.291544,1.298305,1.291544,1.291544,1.256637,1.274090,1.274090,1.291544,1.256637,1.326450,1.282817,1.317724,1.244420,1.291544,1.291544,1.274090,1.483530,0.776672,1.239184,1.326450,1.282817,1.282817,1.073377,1.326450,1.274090,1.256637,1.274090,1.221730,1.274090,1.274090,1.247910,1.291544,1.256637,1.282817,1.288053,1.282817,1.047198,1.291544,1.317724,1.195551,1.335177,1.317724,1.239184,1.239184,1.291544,1.291544,1.291544,1.352630,1.274090,1.282817,1.291544,1.291544,1.274090,1.247910,1.282817,1.239184,1.274090,1.291544,1.308997,1.239184,1.221730,1.239184,1.291544,1.291544,1.221730,1.221730,1.221730,1.221730,1.221730,1.300270,1.300270,1.300270,1.295366,1.300270,1.300270,1.291544,1.134464,1.239184,1.291544,1.291544,1.247910,1.247910,1.247910,1.247910,1.247910,1.291544,1.291544,1.239184,1.239184,1.291544
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0508,0.04,0.04,0.04,0.04,0.0508,0.04,0.03815,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.06,0.04,0.041,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.041,0.041,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.055,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.0399,0.0399,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.0302,0.02795,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0426,0.0302,0.0286,0.0302,0.0372,0.0254,0.031,0.0286,0.031,0.02705,0.0286,0.0292,0.0292,0.0302,0.0286,0.0286,0.0327,0.0286,0.0302,0.0302,0.0286,0.0286,0.0286,0.0286,0.034,0.0286,0.0286,0.0342,0.0286,0.0286,0.0317,0.0292,0.0277,0.0302,0.027,0.0302,0.0286,0.0277,0.0261,0.0411,0.0286,0.0286,0.0227,0.0286,0.0277,0.0247,0.04,0.0267,0.0286,0.0427,0.0312,0.0312,0.0302,0.0286,0.0277,0.0286,0.0335,0.0297,0.0286,0.0286,0.0286,0.027,0.0286,0.0286,0.03835,0.0254,0.0286,0.0286,0.0286,0.0286,0.0307,0.0286,0.0286,0.0286,0.0286,0.037,0.0327,0.03175,0.03655,0.0286,0.0267,0.0286,0.0286,0.0286,0.0254,0.0286,0.0286,0.0302,0.02855,0.0286,0.0286,0.0286,0.027,0.027,0.0286,0.027,0.027,0.0286,0.0286,0.0267,0.037,0.0586,0.027,0.0286,0.036,0.03,0.0286,0.0286,0.0282,0.03485,0.0286,0.027,0.0286,0.0485,0.0286,0.0286,0.027,0.0286,0.0286,0.0286,0.0286,0.0302,0.0286,0.02855,0.0277,0.0286,0.0302,0.0286,0.0286,0.0354,0.0302,0.0354,0.0295,0.0286,0.0262,0.0286,0.0302,0.0286,0.0359,0.0431,0.0277,0.0302,0.0327,0.0286,0.0286,0.0302,0.0302,0.0286,0.0286,0.02545,0.0286,0.0286,0.0332,0.0286,0.0286,0.0254,0.0302,0.0286,0.0302,0.0286,0.027,0.0286,0.0302,0.0302,0.0302,0.0286,0.0286,0.0302,0.0352,0.0302,0.0302,0.0302,0.0347,0.0306,0.0306,0.0331,0.0286,0.0286,0.0286,0.0286,0.0317,0.0252,0.027,0.0385,0.0385,0.0385,0.0385,0.0385,0.0277,0.0282,0.0286,0.0286,0.0287
HT OD,,m,0.045,0.0385,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.036,0.045,0.039,0.0317,0.04,0.044,0.04,0.03182,0.045,0.042,0.04,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.05,0.045,0.045,0.04,0.045,0.03,0.045,0.045,0.045,0.045,0.03,0.037,0.056,0.045,0.045,0.045,0.049,0.04,0.037,0.056,0.036,0.045,0.045,0.037,0.045,0.05,0.045,0.045,0.045,0.045,0.043,0.045,0.045,0.045,0.032,0.035,0.045,0.045,0.0318,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.04,0.045,0.05,0.05,0.05,0.05,0.045,0.031,0.045,0.045,0.045,0.0508,0.045,0.045,0.035,0.036,0.045,0.045,0.045,0.0318,0.0318,0.045,0.03605,0.03605,0.032,0.045,0.045,0.05,0.045,0.036,0.045,0.035,0.03,0.045,0.04,0.045,0.05,0.045,0.032,0.045,0.05,0.045,0.045,0.042,0.045,0.045,0.045,0.045,0.045,0.0381,0.045,0.036,0.045,0.045,0.045,0.045,0.055,0.045,0.055,0.045,0.045,0.035,0.045,0.045,0.045,0.044,0.075,0.038,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.032,0.045,0.045,0.056,0.045,0.045,0.0317,0.044,0.045,0.044,0.036,0.037,0.036,0.044,0.045,0.045,0.045,0.045,0.045,0.053,0.045,0.045,0.045,0.045,0.045,0.045,0.055,0.045,0.045,0.045,0.045,0.036,0.03,0.036,0.06,0.06,0.06,0.04,0.04,0.038,0.04,0.045,0.045,0.04
DT OD,,m,0.045,0.03425,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.053,0.045,0.0365,0.045,0.0365,0.0365,0.0445,0.03805,0.0445,0.0365,0.0365,0.037,0.037,0.045,0.0365,0.0365,0.0365,0.0365,0.0365,0.045,0.0365,0.0365,0.0365,0.0365,0.049,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03955,0.0365,0.03955,0.0365,0.0365,0.0365,0.0645,0.0365,0.0365,0.065,0.045,0.04,0.0365,0.0775,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0384,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0395,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.035,0.035,0.0365,0.0318,0.0318,0.028,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0345,0.03,0.0365,0.0365,0.0365,0.0363,0.0365,0.0365,0.0365,0.0575,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.045,0.0365,0.03175,0.036,0.0365,0.045,0.0365,0.0365,0.0565,0.045,0.0565,0.035,0.0365,0.0365,0.0365,0.045,0.0365,0.041,0.0365,0.032,0.0365,0.03995,0.0365,0.0365,0.045,0.045,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0355,0.0375,0.0355,0.0365,0.0365,0.0365,0.0355,0.045,0.045,0.0365,0.0365,0.045,0.045,0.045,0.045,0.045,0.04405,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03495,0.0455,0.0455,0.0455,0.0455,0.0455,0.032,0.033,0.0365,0.0365,0.034
