Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.418000,0.422000,0.515000,0.370000,0.408000,0.385000,0.555000,0.515000,0.515000,0.405000,0.405000,0.405000,0.415000,0.405000,0.405000,0.420000,0.420000,0.415000,0.415000,0.409000,0.403000,0.405000,0.420000,0.440000,0.406000,0.435000,0.450000,0.395000,0.395000,0.405000,0.415000,0.418000,0.440000,0.440000,0.484000,0.410000,0.415300,0.410000,0.400000,0.415000,0.465000,0.465000,0.415000,0.415000,0.405000,0.475000,0.410000,0.415000,0.435000,0.600000,0.426000,0.500000,0.400000,0.425000,0.425000,0.457000,0.430000,0.397120,0.448000,0.410000,0.389000,0.390000,0.405000,0.420000,0.415000,0.410000,0.400000,0.400000,0.405040,0.420000,0.420000,0.405000,0.425000,0.432600,0.430000,0.381000,0.410000,0.405000,0.435000,0.435000,0.410000,0.410000,0.388000,0.405000,0.395000,0.437000,0.415000,0.440000,0.440000,0.448000,0.448000,0.440000,0.440000,0.381000,0.420000,0.420000,0.420000,0.408000,0.420000,0.390000,0.380000,0.380000,0.435000,0.440000,0.405000,0.420000,0.420000,0.850000,0.414400,0.427000,0.407000,0.405000,0.400000,0.448000,0.415000,0.415000,0.370000,0.430000,0.430000,0.405000,0.448000,0.415000,0.408000,0.425000,0.420000,0.425000,0.425000,0.415000,0.440000,0.440000,0.450000,0.450000,0.445000,0.408280,0.415000,0.405000,0.440000,0.440000,0.410000,0.420000,0.420000,0.405000,0.450000,0.415000,0.360000,0.562000,0.360000,0.360000,0.450000,0.360000,0.450000,0.388000,0.440000,0.425000,0.420000,0.435000,0.415000,0.380720,0.410000,0.410000,0.420000,0.444000,0.440000,0.440000,0.450000,0.450000,0.370000,0.440000,0.440000,0.427000,0.370000,0.405000,0.425000,0.355000,0.420000,0.425000,0.440000,0.440000,0.440000,0.440000,0.440000,0.408000,0.440000,0.408000,0.440000,0.440000,0.460500,0.515000,0.515000,0.410000,0.431100,0.405000,0.432430,0.420030,0.410000,0.432430,0.420000,0.420000,0.405000,0.470000,0.390000
BB Drop,,N/A,0.075000,0.064000,0.050000,0.035000,0.070000,0.065000,0.025000,0.025000,0.025000,0.069000,0.069000,0.069000,0.070000,0.071000,0.069000,0.070000,0.073000,0.066000,0.066000,0.072000,0.070000,0.073000,0.070000,0.070000,0.080000,0.070000,0.060000,0.058000,0.058000,0.073000,0.070000,0.065000,0.040000,0.070000,0.035000,0.066000,0.034500,0.072000,0.070000,0.066000,0.085000,0.085000,0.066000,0.066000,0.070000,0.035000,0.072000,0.070000,0.065000,-0.085000,0.067000,-0.057000,0.057000,0.070000,0.080000,0.030000,0.065000,0.047000,0.065000,0.070000,0.053000,0.070000,0.070000,0.061000,0.072000,0.070000,0.078000,0.070000,0.070000,0.070000,0.070000,0.070000,0.065000,0.059000,0.070000,0.055000,0.052300,0.070000,0.024000,0.024000,0.075000,0.075000,0.060000,0.070000,0.060000,0.054000,0.067007,0.065000,0.065000,0.065000,0.065000,0.065000,0.065000,0.055000,0.066000,0.066000,0.066000,0.070000,0.069000,0.060000,0.047000,0.047014,0.035000,0.065000,0.060000,0.040000,0.040000,0.075000,0.038000,0.074335,0.072000,0.010000,0.069000,0.065000,0.068000,0.070000,0.070000,0.070000,0.070000,0.052000,0.065000,0.072000,0.073000,0.030000,0.069000,0.073000,0.073000,0.074500,0.060000,0.060000,0.065000,0.065000,0.070012,0.070000,0.072000,0.070000,0.065000,0.065000,0.066000,0.072000,0.072000,0.070000,0.060000,0.060000,0.045000,0.005500,0.045000,0.045000,0.070000,0.045000,0.070000,0.060000,0.065000,0.084000,0.065000,0.067000,0.068000,0.062000,0.068000,0.068573,0.070000,0.083000,0.068000,0.068000,0.017000,0.017000,0.060000,0.065000,0.065000,0.081000,0.060000,0.070000,0.060000,0.020000,0.065000,0.060000,0.065000,0.065000,0.070000,0.068000,0.070007,0.070000,0.060000,0.070000,0.072000,0.072000,0.050000,0.050000,0.050000,0.067000,0.040000,0.070000,0.040000,0.040000,0.070000,0.040000,0.040000,0.040000,0.055000,0.080000,0.047500
Stack,,m,0.5528,0.566,0.5656,0.536,0.5902,0.5664,0.5656,0.5656,0.5656,0.564,0.564,0.564,0.58,0.573,0.584,0.55,0.625,0.5621,0.5621,0.6082,0.5289,0.5656,0.55,0.55,0.5656,0.5621,0.5621,0.563,0.563,0.5353,0.6082,0.5656,0.5656,0.5656,0.5656,0.5506,0.576,0.61,0.5656,0.5656,0.6082,0.6082,0.5656,0.5656,0.5656,0.5152,0.63,0.5944,0.5995,0.5656,0.581,0.556,0.5249,0.577,0.5656,0.658,0.528,0.5656,0.6486,0.5656,0.54,0.479,0.53,0.63,0.5866,0.5656,0.5656,0.5345,0.5656,0.56,0.56,0.62,0.6,0.622,0.5656,0.4939,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.6,0.476,0.609,0.5656,0.6486,0.6486,0.6486,0.6486,0.6486,0.6486,0.4939,0.5048,0.5048,0.5048,0.5771,0.545,0.5656,0.5656,0.5656,0.5896,0.6486,0.794,0.5656,0.5656,0.6,0.5547,0.542,0.591,0.51,0.56,0.6486,0.578,0.578,0.5656,0.601,0.61,0.5445,0.6486,0.552,0.5656,0.5656,0.5656,0.56,0.56,0.627,0.5619,0.5619,0.6486,0.6486,0.6444,0.5226,0.552,0.593,0.6486,0.6486,0.5131,0.5131,0.5131,0.593,0.5656,0.5125,0.5152,0.5251,0.5152,0.5152,0.6,0.5152,0.6,0.5656,0.6486,0.5656,0.5656,0.608,0.578,0.5385,0.5642,0.5642,0.5656,0.5656,0.66,0.66,0.48,0.48,0.5656,0.6486,0.6486,0.5589,0.5656,0.5656,0.6245,0.5656,0.5656,0.6075,0.6486,0.6486,0.6101,0.5656,0.5656,0.593,0.6353,0.593,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5967,0.56,0.5941,0.5941,0.585,0.5941,0.5813,0.5813,0.5656,0.5656,0.6199
SS E,,N/A,0.045000,0.045000,0.010000,0.065000,0.029000,0.045000,0.011000,0.011000,0.011000,0.045000,0.045000,0.045000,0.130000,0.100000,0.045000,0.045000,0.075000,0.045000,0.045000,0.055000,0.025000,0.045000,0.045000,0.045000,0.220000,0.050000,0.053000,0.050000,0.050000,0.055000,0.055000,0.045000,0.200000,0.200000,0.022450,0.045000,0.030000,0.060000,0.190000,0.045000,0.070000,0.070000,0.045000,0.045000,0.100000,0.040000,0.060000,0.040000,0.130000,0.200000,0.035000,0.045000,0.045000,0.050500,0.045000,0.045000,0.060000,0.045000,0.045000,0.020000,0.150000,0.120000,0.045000,0.080000,0.045000,0.020000,0.139000,0.160000,0.045000,0.045000,0.045000,0.040000,0.045000,0.022000,0.045000,0.100000,0.045000,0.070000,0.050000,0.050000,0.120000,0.120000,0.030000,0.045000,0.125000,0.075000,0.045000,0.045000,0.045000,0.040000,0.040000,0.040000,0.040000,0.100000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.040000,0.035000,0.018550,0.018550,0.045000,0.067000,0.060000,0.120000,0.045000,0.225000,0.040000,0.045000,0.045000,0.190000,0.045000,0.040000,0.045000,0.040000,0.045000,0.045000,0.055000,0.060000,0.090000,0.105000,0.150000,0.045000,0.045000,0.040000,0.040000,0.068000,0.045000,0.045000,0.045000,0.040000,0.040000,0.045000,0.045000,0.045000,0.045000,0.140000,0.075000,0.030000,0.045000,0.030000,0.030000,0.055000,0.030000,0.055000,0.030000,0.040000,0.055000,0.018550,0.045000,0.045000,0.240000,0.045000,0.045000,0.025000,0.045000,0.120000,0.120000,0.045000,0.045000,0.030000,0.040000,0.040000,0.035000,0.030000,0.045000,0.110000,0.133000,0.035000,0.100000,0.040000,0.040000,0.045000,0.075000,0.095000,0.045000,0.090000,0.045000,0.155000,0.140000,0.010000,0.010000,0.010000,0.045000,0.120000,0.045000,0.080000,0.080000,0.045000,0.080000,0.090000,0.110000,0.022000,0.025000,0.040000
ST Angle,,N/A,1.295870,1.291544,1.204277,1.291544,1.274090,1.329663,1.134464,1.134464,1.134464,1.278454,1.278454,1.278454,1.265364,1.282817,1.277581,1.308997,1.247910,1.265364,1.265364,1.274090,1.300270,1.291544,1.308997,1.308997,1.317724,1.274090,1.282817,1.282817,1.282817,1.291544,1.274090,1.274090,1.291544,1.308997,1.204277,1.291544,1.274090,1.308997,1.326450,1.265364,1.279326,1.274090,1.265364,1.265364,1.274090,1.169371,1.308997,1.265370,1.291544,1.143191,1.274090,1.151917,1.308997,1.291544,1.256637,1.326450,1.282817,1.291544,1.265364,1.300270,1.308997,1.291544,1.291544,1.202532,1.274108,1.300270,1.317724,1.535890,1.291544,1.274090,1.274090,1.291544,1.291544,1.291544,1.291544,1.308997,1.282817,1.274090,1.280199,1.280199,1.274090,1.274090,1.265364,1.274090,1.308997,1.291544,1.282835,1.256637,1.256637,1.256637,1.256637,1.256637,1.256637,1.308997,1.274090,1.274090,1.274090,1.274090,1.274090,1.326450,1.326450,1.326486,1.274090,1.256637,1.343904,1.274090,1.274090,1.134464,1.190272,1.308997,1.282817,1.265364,1.308997,1.256637,1.282817,1.282804,1.378810,1.274090,1.274090,1.282817,1.256637,1.274090,1.291544,1.265364,1.270600,1.265364,1.265364,1.282817,1.282834,1.282834,1.256637,1.256637,1.274118,1.291539,1.274090,1.300270,1.256637,1.256637,1.274090,1.282817,1.282817,1.291544,1.239184,1.256637,1.247910,1.396263,1.247910,1.247910,1.274090,1.247910,1.274090,1.282817,1.256637,1.274090,1.274090,1.265364,1.282817,1.291544,1.285220,1.286638,1.256637,1.300270,1.274090,1.274090,1.247910,1.247910,1.282817,1.256637,1.256637,1.287179,1.282817,1.291544,1.256637,1.217944,1.282802,1.256637,1.256637,1.256637,1.274090,1.274090,1.274090,1.291544,1.308997,1.291544,1.282817,1.282817,1.204277,1.204277,1.204277,1.282817,1.291544,1.291544,1.291544,1.291544,1.277581,1.291544,1.291544,1.291544,1.265364,1.256637,1.308997
BB OD,,m,0.04,0.04,0.0463,0.04,0.04,0.04,0.043,0.043,0.043,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.039,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.0467,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.042,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.044,0.046,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03915,0.04,0.04,0.0508,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0404,0.0404,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0408,0.04,0.0408,0.0408,0.04,0.0408,0.04,0.03915,0.04,0.04,0.0404,0.04,0.04,0.05,0.04,0.04,0.034,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.038,0.04,0.04,0.04,0.038,0.038,0.0463,0.0463,0.0463,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.02795,0.0317,0.03125,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.02765,0.0286,0.0286,0.0286,0.0286,0.0286,0.0275,0.0286,0.0313,0.0313,0.0286,0.0286,0.035,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.036,0.0286,0.0286,0.0385,0.0286,0.0286,0.03015,0.0286,0.0286,0.0343,0.0286,0.0286,0.0309,0.0286,0.0525,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.038,0.0286,0.03005,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03025,0.03025,0.03015,0.03015,0.03025,0.03025,0.038,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03025,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.0286,0.0286,0.0293,0.0286,0.0286,0.0286,0.03015,0.0286,0.027,0.0286,0.0317,0.0286,0.0286,0.0286,0.02805,0.02805,0.03015,0.03015,0.0286,0.0286,0.0286,0.0286,0.03015,0.03015,0.0286,0.0286,0.0286,0.0286,0.0292,0.0317,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.0286,0.0286,0.0286,0.0286,0.03,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.03015,0.031,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.03015,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03065,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03335,0.0286
HT OD,,m,0.045,0.0413,0.0314,0.0413,0.038,0.045,0.034,0.034,0.034,0.045,0.045,0.045,0.05,0.05,0.045,0.032,0.05,0.045,0.045,0.041,0.0302,0.045,0.032,0.032,0.056,0.045,0.058,0.05,0.05,0.041,0.041,0.036,0.045,0.045,0.032,0.045,0.0413,0.046,0.056,0.045,0.045,0.045,0.045,0.045,0.045,0.035,0.046,0.045,0.05,0.041,0.05,0.0413,0.05,0.056,0.045,0.059,0.038,0.045,0.037,0.045,0.045,0.045,0.045,0.045,0.0413,0.045,0.04,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.038,0.038,0.045,0.045,0.0321,0.0413,0.04,0.0461,0.045,0.039,0.039,0.037,0.037,0.039,0.039,0.045,0.045,0.045,0.045,0.032,0.045,0.045,0.045,0.045,0.045,0.039,0.045,0.03225,0.03225,0.05,0.045,0.045,0.048,0.0413,0.045,0.037,0.045,0.045,0.032,0.04,0.05,0.032,0.037,0.038,0.046,0.045,0.05,0.0413,0.0413,0.045,0.036,0.036,0.037,0.037,0.066,0.045,0.038,0.044,0.039,0.039,0.045,0.045,0.045,0.044,0.05,0.05,0.03325,0.0413,0.03325,0.03325,0.038,0.03325,0.038,0.0321,0.039,0.045,0.03225,0.045,0.045,0.052,0.055,0.055,0.0317,0.0365,0.056,0.056,0.045,0.045,0.03165,0.039,0.039,0.036,0.03165,0.045,0.045,0.031,0.0317,0.045,0.039,0.039,0.045,0.045,0.05,0.044,0.045,0.044,0.05,0.05,0.0314,0.0314,0.0314,0.045,0.045,0.045,0.045,0.045,0.0349,0.045,0.045,0.045,0.0296,0.038,0.0317
DT OD,,m,0.0349,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04325,0.03948,0.04198,0.0365,0.0365,0.0365,0.0365,0.04405,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.05,0.035,0.035,0.0365,0.044,0.0365,0.0365,0.0365,0.0365,0.036,0.0365,0.0365,0.0365,0.0365,0.04703,0.04703,0.0365,0.0365,0.04275,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04578,0.0365,0.0365,0.0365,0.0365,0.0365,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.04175,0.0365,0.085,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.05,0.0365,0.03948,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.047,0.047,0.03625,0.03625,0.03625,0.03625,0.05,0.036,0.036,0.036,0.0365,0.036,0.0365,0.0365,0.0365,0.0365,0.03625,0.0365,0.0365,0.0365,0.04703,0.0365,0.0365,0.0405,0.0365,0.0365,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03625,0.0365,0.0365,0.0365,0.0365,0.035,0.035,0.0365,0.0365,0.0365,0.03625,0.03625,0.0365,0.0365,0.0365,0.0365,0.03625,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03623,0.0365,0.03623,0.0365,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04828,0.05328,0.0365,0.03625,0.03625,0.03835,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03625,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03493,0.0365
