Design Study 1
Scenarios/Iterations:, 41
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.01,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.032600,0.049300,0.049300,0.049300,0.050900,0.033100,0.049600,0.045000,0.048400,0.053000,0.050500,0.069200,0.069200,0.049300,0.049300,0.049300,0.052300,0.081100,0.061900,0.035200,0.049300,0.055000,0.055000,0.055000,0.055000,0.049300,0.049300,0.050000,0.058200,0.049300,0.056200,0.056200,0.054600,0.046800,0.052900,0.055000,0.049200,0.055300,0.042900,0.060900,0.057000,0.044100
ST UX,,N/A,0.026200,0.064300,0.064300,0.064300,0.040000,0.050300,0.032300,0.115000,0.031300,0.046900,0.042000,0.047500,0.047500,0.064300,0.064300,0.064300,0.214000,0.032600,0.051700,0.046600,0.035000,0.044500,0.030000,0.030000,0.030000,0.064300,0.064300,0.050000,0.019400,0.064300,0.046700,0.047000,0.055100,0.118800,0.032000,0.038000,0.071400,0.073500,0.050400,0.053000,0.068500,0.029900
HT UX,,N/A,0.013100,0.034200,0.034200,0.034200,0.034200,0.030000,0.030500,0.030000,0.035000,0.032600,0.029100,0.046500,0.046500,0.034200,0.034200,0.034200,0.033000,0.036800,0.037800,0.027500,0.034200,0.030000,0.030000,0.030000,0.030000,0.034200,0.034200,0.050000,0.056000,0.034200,0.031400,0.031400,0.021200,0.027100,0.031300,0.035000,0.033300,0.038100,0.027600,0.025000,0.029800,0.028400
HT Angle,,deg,71.5,74,74,74.5,75,74,75,67.5,74,72.8,74,72,72,73,73,73,72.2,73,74.5,73,73,70.5,72,71,71,73.5,73.5,69.5,72.5,74,73,73,72.5,68,72,73.5,71,71,65,71,73,70
HT Length,,m,0.0891,0.12,0.12,0.1473,0.1197,0.1247,0.1462,0.1231,0.11,0.213,0.2104,0.145,0.145,0.1122,0.1373,0.1373,0.1735,0.1877,0.1784,0.1201,0.1004,0.11,0.17,0.125,0.15,0.1357,0.1357,0.1373,0.1574,0.1661,0.146,0.146,0.1499,0.105,0.1596,0.1572,0.1853,0.1471,0.1201,0.1598,0.14,0.1
ST Length,,N/A,0.120000,0.574300,0.574300,0.624300,0.570000,0.220000,0.542300,0.480000,0.561300,0.555000,0.570000,0.357500,0.357500,0.574300,0.599300,0.599300,0.764000,0.540000,0.580000,0.500000,0.535000,0.480000,0.570000,0.520000,0.554000,0.599300,0.599300,0.460000,0.519400,0.564300,0.580000,0.580000,0.415100,0.444500,0.520000,0.540000,0.533000,0.533000,0.445000,0.570000,0.538300,0.249900
BB Length,,m,0.073,0.068,0.068,0.068,0.068,0.073,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.082,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.073
Dropout Offset,,N/A,0.142000,0.135000,0.135000,0.135000,0.120000,0.110000,0.130000,0.142000,0.130000,0.130000,0.130000,0.135000,0.135000,0.135000,0.135000,0.135000,0.130000,0.130000,0.120000,0.142000,0.135000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.197000,0.135000,0.135000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.142000,0.130000,0.130000,0.135000
SSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.016000,0.016000,0.000000,0.016000,0.016000,0.000000
