Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
CS OD,,N/A,0.018250,0.023350,0.030000,0.027500,0.027500,0.023350,0.023350,0.027500,0.023350,0.020500,0.031000,0.027000,0.023350,0.025500,0.023350,0.025500,0.025500,0.025500,0.025500,0.023350,0.020000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.030000,0.019200,0.023350,0.023350,0.023350,0.023350,0.028500,0.023350,0.022000,0.023350,0.022000,0.022000,0.022000,0.022000,0.022000,0.022000,0.022000,0.022000,0.023350,0.025500,0.025500,0.023350,0.022500,0.023350,0.023350,0.023350,0.025000,0.025000,0.031000,0.026000,0.025000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.020000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.025000,0.023350,0.023350,0.023350,0.035000,0.023350,0.017000,0.017500,0.026000,0.022000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023500,0.023350,0.028500,0.017500,0.022350,0.023350,0.023350,0.023350,0.020500,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.022500,0.027350,0.028350,0.023350,0.028350,0.026425,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.028350,0.028350,0.028350,0.023350,0.023350,0.023350,0.028350,0.023350,0.023350,0.028350,0.028350,0.028350,0.027500,0.027500,0.028350,0.027350,0.023350,0.028500,0.025500,0.023350,0.023350,0.021350,0.020500,0.020500,0.026500,0.023350,0.027000,0.035000,0.026000,0.023350,0.023350,0.022000,0.026000,0.022000,0.023350,0.023350,0.030000,0.023350,0.023350,0.025000,0.025500,0.023350,0.025500,0.033500,0.023350,0.023350,0.021000,0.050000,0.023350,0.020000,0.020000,0.020000,0.028350,0.026425,0.028500,0.024500,0.027350,0.023350,0.023350,0.021000,0.023350,0.026500,0.028500,0.023350,0.032850
SS OD,,N/A,0.011800,0.013000,0.019000,0.019000,0.019000,0.013000,0.014500,0.019000,0.013000,0.012500,0.016500,0.020000,0.014000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.016000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.015000,0.015000,0.015000,0.013000,0.019000,0.013000,0.013000,0.014000,0.013000,0.013000,0.016500,0.013000,0.017000,0.016500,0.017000,0.017000,0.017000,0.017000,0.017000,0.017000,0.012850,0.012850,0.013000,0.013000,0.013000,0.016000,0.014000,0.013000,0.013000,0.013000,0.019000,0.019000,0.016500,0.019000,0.013000,0.013000,0.013000,0.013000,0.014000,0.013000,0.014000,0.015000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.016500,0.016000,0.013000,0.013000,0.016500,0.016500,0.013000,0.015000,0.011500,0.013000,0.015500,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.014000,0.013000,0.013000,0.013500,0.014000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.015500,0.021500,0.018000,0.013000,0.018000,0.019000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.018000,0.018000,0.018000,0.013000,0.013000,0.013000,0.018000,0.013000,0.013000,0.018000,0.018000,0.018000,0.016500,0.016500,0.018000,0.021500,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.014000,0.014000,0.013000,0.013000,0.011500,0.013000,0.014000,0.013000,0.013000,0.016500,0.014000,0.022000,0.013000,0.013000,0.021500,0.013000,0.013000,0.016000,0.013000,0.013000,0.013000,0.013000,0.015000,0.013000,0.012500,0.013000,0.013000,0.016000,0.016000,0.016000,0.018000,0.019000,0.013000,0.014000,0.021500,0.013000,0.013000,0.012500,0.013000,0.013000,0.013000,0.013000,0.025000
ST OD,,N/A,0.028600,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.040000,0.031800,0.035000,0.031800,0.035000,0.031800,0.031800,0.031600,0.031800,0.031800,0.031800,0.030000,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.035000,0.035000,0.031800,0.031800,0.031800,0.031800,0.031800,0.034900,0.034900,0.031800,0.034900,0.031800,0.031800,0.033000,0.031800,0.030000,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.035000,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031200,0.030000,0.031800,0.031800,0.031800,0.031800,0.031800,0.028800,0.031000,0.031800,0.034900,0.034000,0.034000,0.034000,0.031800,0.031800,0.034000,0.034000,0.034000,0.031800,0.031800,0.031700,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.027200,0.031800,0.035000,0.041800,0.031800,0.041800,0.034950,0.031800,0.031800,0.031800,0.031800,0.028000,0.028000,0.031800,0.041800,0.041800,0.041800,0.031800,0.031800,0.031800,0.041800,0.031600,0.031600,0.041800,0.041800,0.041800,0.034000,0.034000,0.041800,0.055000,0.031800,0.040000,0.035000,0.031800,0.031800,0.030000,0.030000,0.030000,0.031800,0.031800,0.031800,0.034000,0.028000,0.031800,0.031800,0.031800,0.028000,0.033000,0.031800,0.031800,0.035000,0.031800,0.031800,0.030000,0.035000,0.031800,0.035000,0.031800,0.033000,0.031800,0.031800,0.031800,0.031800,0.030000,0.030000,0.030000,0.041800,0.034950,0.031800,0.031800,0.035000,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.035000
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.01,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0185,0.015,0.015,0.015,0.015,0.015,0.01,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015
HT LX,,N/A,0.046600,0.047700,0.071900,0.045100,0.045100,0.048800,0.043700,0.043500,0.053700,0.052500,0.040000,0.048900,0.049200,0.047300,0.042100,0.048800,0.048800,0.048800,0.048800,0.050300,0.050000,0.049200,0.053500,0.049200,0.042800,0.049700,0.063500,0.049700,0.043900,0.063500,0.045600,0.050300,0.049200,0.044800,0.044400,0.047100,0.047800,0.049200,0.067100,0.049200,0.063500,0.047300,0.053700,0.047700,0.048800,0.057300,0.055500,0.049800,0.061300,0.062000,0.062000,0.062000,0.064300,0.063400,0.046000,0.040100,0.047600,0.047500,0.049100,0.044500,0.064200,0.052900,0.044900,0.047300,0.050000,0.055000,0.040000,0.060000,0.056200,0.049300,0.060500,0.049800,0.044400,0.049400,0.052500,0.046600,0.046800,0.062200,0.025000,0.059100,0.050000,0.049200,0.049200,0.049200,0.049200,0.049200,0.045800,0.065000,0.044900,0.049100,0.059800,0.057300,0.048500,0.038600,0.049500,0.051800,0.050500,0.053800,0.053800,0.051600,0.048700,0.055700,0.053800,0.050700,0.053800,0.049300,0.046900,0.049900,0.030000,0.030000,0.049400,0.048100,0.048600,0.052000,0.047500,0.049200,0.050900,0.051500,0.051500,0.063800,0.050900,0.063800,0.048900,0.048800,0.030000,0.069200,0.048300,0.069200,0.052300,0.050900,0.049000,0.047000,0.054900,0.045600,0.045600,0.049200,0.069200,0.069200,0.069200,0.049300,0.048100,0.048200,0.069200,0.025000,0.025000,0.069200,0.069200,0.069200,0.045000,0.045000,0.069200,0.030000,0.058700,0.044600,0.049100,0.054800,0.052400,0.052500,0.049900,0.049900,0.049400,0.055000,0.063800,0.062600,0.045200,0.055700,0.055700,0.057700,0.046100,0.046200,0.063800,0.049200,0.040000,0.049200,0.044000,0.010000,0.047900,0.048600,0.048300,0.038100,0.053600,0.048500,0.049900,0.031900,0.049100,0.050000,0.085000,0.085000,0.069200,0.053000,0.059000,0.046300,0.030000,0.052500,0.060600,0.050800,0.048500,0.049400,0.045000,0.043000,0.032600
ST UX,,N/A,0.032900,0.154600,0.052500,0.047900,0.047900,0.049300,0.076200,0.035000,0.055100,0.021200,0.060000,0.039600,0.084200,0.050300,0.022000,0.052500,0.045200,0.052500,0.052500,0.042800,0.050000,0.050000,0.065800,0.049200,0.048700,0.054200,0.048800,0.054200,0.047600,0.048800,0.046200,0.046100,0.049200,0.047100,0.032200,0.033000,0.034100,0.049200,0.052800,0.055000,0.048800,0.046800,0.043400,0.046300,0.021400,0.048100,0.042500,0.048300,0.042600,0.042600,0.042600,0.042600,0.042600,0.027400,0.021700,0.021600,0.049400,0.050500,0.048900,0.169400,0.039000,0.047000,0.050800,0.047400,0.165000,0.165000,0.060000,0.175000,0.046700,0.048000,0.042900,0.047300,0.048000,0.040000,0.061500,0.046800,0.045400,0.054700,0.100000,0.025500,0.040900,0.049200,0.049200,0.049200,0.049200,0.049200,0.021500,0.025000,0.050800,0.049100,0.030300,0.030300,0.047000,0.022000,0.040900,0.051900,0.033700,0.064500,0.064500,0.064500,0.048300,0.045200,0.064500,0.064000,0.064500,0.049300,0.049400,0.057300,0.065000,0.068000,0.152100,0.052000,0.047600,0.047800,0.071400,0.048000,0.040000,0.030000,0.030000,0.049700,0.040000,0.049700,0.055000,0.047200,0.148400,0.047500,0.047000,0.047500,0.057400,0.040000,0.046800,0.047800,0.046900,0.029300,0.029300,0.047400,0.047500,0.047500,0.047500,0.048700,0.048800,0.059700,0.049900,0.025000,0.025000,0.047500,0.047500,0.047500,0.138000,0.138000,0.047500,0.135000,0.039000,0.050000,0.048800,0.039200,0.054600,0.120000,0.040900,0.040900,0.020200,0.045000,0.032800,0.054000,0.032300,0.066300,0.066300,0.060000,0.032400,0.212000,0.043200,0.048800,0.087500,0.047400,0.080000,0.025000,0.050100,0.049000,0.050000,0.047400,0.053200,0.049900,0.051800,0.063900,0.031900,0.050000,0.070000,0.070000,0.047500,0.058400,0.045000,0.034100,0.148400,0.100900,0.048100,0.051800,0.048200,0.020200,0.080000,0.082100,0.026200
HT UX,,N/A,0.035900,0.023600,0.028600,0.032600,0.032600,0.027800,0.031400,0.030500,0.021300,0.034700,0.030000,0.031400,0.028900,0.031100,0.032400,0.034700,0.033500,0.034700,0.034700,0.027500,0.015000,0.027700,0.033000,0.028900,0.030200,0.039400,0.030300,0.039400,0.035200,0.030300,0.035600,0.035700,0.028900,0.033200,0.022200,0.021300,0.020100,0.028900,0.028500,0.036000,0.030300,0.028700,0.045600,0.033100,0.020700,0.031300,0.032400,0.025000,0.042200,0.042200,0.042200,0.042200,0.036400,0.042800,0.034200,0.034300,0.035500,0.030600,0.033500,0.025200,0.035900,0.034100,0.027100,0.032800,0.030000,0.030000,0.030000,0.034000,0.038100,0.031400,0.047300,0.027200,0.032400,0.030300,0.027700,0.033200,0.025400,0.033600,0.020000,0.041500,0.026300,0.028900,0.028900,0.028900,0.028900,0.028900,0.037800,0.035000,0.027100,0.029600,0.039500,0.039500,0.033000,0.033300,0.033800,0.037100,0.034400,0.033600,0.033600,0.033600,0.030800,0.030400,0.033600,0.034300,0.033600,0.028100,0.028200,0.032400,0.015000,0.011000,0.042600,0.031600,0.032400,0.035600,0.028300,0.028500,0.034200,0.032500,0.032500,0.043300,0.034200,0.043300,0.028900,0.033100,0.025000,0.046500,0.031500,0.046500,0.028800,0.034200,0.032000,0.031700,0.027600,0.034900,0.034900,0.032600,0.046500,0.046500,0.046500,0.030300,0.031000,0.022200,0.044300,0.025000,0.025000,0.046500,0.046500,0.046500,0.035000,0.035000,0.046500,0.030000,0.034400,0.029400,0.033600,0.034100,0.037400,0.035000,0.033000,0.033000,0.030000,0.035000,0.036300,0.038500,0.032600,0.028500,0.028500,0.037500,0.032400,0.061000,0.034100,0.028800,0.028300,0.033000,0.028000,0.035000,0.031200,0.028900,0.031400,0.032700,0.028500,0.027500,0.038200,0.041700,0.033300,0.015000,0.030000,0.030000,0.046500,0.027400,0.054900,0.033400,0.025000,0.026200,0.031900,0.038200,0.030700,0.030000,0.040000,0.028700,0.013100
HT Angle,,deg,73.25,68,67,70,70,75.5,70.5,70,73,78,67,75,73,73,73,73,73,73,73,75,69.99999,73,73,73,73,73,73,73,68,73,73,73,73,73,75.5,75.5,75.5,73,66.5,69.5,73,74.5,73,73,73.5,72.5,71.5,73.5,71.5,71.5,71.5,71.5,73,71.5,74,72.5,68,73,73,73,74,71.5,71,74,74.5,74.5,67,74.5,72.5,74,73.86392,74,73.5,72,74,73.5,73.5,70,73,71.5,73,73,73,73,73,73,73,72.00038,71,72,79,79,73.5,71,70,75,72,70,70,70,71.5,75,70,70,70,73,72.5,73.5,71,70,75.5,78.5,72.5,74,71,73,74.5,74.5,74.5,70.137,75,70.137,72,71.5,65,72,73.5,72,74,75,73.5,73,73.5,72.99769,72.99769,72,72,72,72,71,70,65.5,72,71.5,71.5,72,72,72,65.5,67,72,64.5,71,65.5,73,71,69.22221,78,76,76,75,73,73.2,70.5,73.5,71.3,71.3,73.5,73.5,63.5,73,73,64.5,72,68.4,72,73,73,73.00104,63.5,70.5,73.5,73.5,57,73,71.5,70,70,72,74,75,74,67.5,71,70.5,73.5,73,75,75,72,71.5
HT Length,,m,0.1486,0.0876,0.12,0.1207,0.1208,0.1369,0.1325,0.114,0.1034,0.1783,0.115,0.1699,0.145,0.165,0.17,0.1215,0.1323,0.1215,0.1395,0.1002,0.1257,0.145,0.1284,0.145,0.0945,0.1024,0.145,0.1024,0.1657,0.145,0.1064,0.0875,0.145,0.0884,0.0898,0.0704,0.0874,0.145,0.12,0.0652,0.145,0.1,0.0696,0.1058,0.1462,0.1074,0.0801,0.1355,0.0931,0.0936,0.0936,0.0936,0.0772,0.1002,0.0658,0.0674,0.1388,0.1634,0.155,0.0991,0.1312,0.1126,0.1624,0.0999,0.1905,0.1905,0.115,0.1903,0.1921,0.1188,0.146,0.1094,0.0997,0.1102,0.119,0.1824,0.1141,0.133,0.1372,0.1199,0.1239,0.145,0.145,0.145,0.145,0.145,0.1157,0.1,0.1563,0.1197,0.1206,0.1297,0.1749,0.14,0.1152,0.1454,0.1654,0.1343,0.1343,0.1701,0.1402,0.134,0.1343,0.1701,0.1343,0.1632,0.1766,0.1098,0.0766,0.0696,0.179,0.125,0.1467,0.1902,0.1399,0.1427,0.1104,0.137,0.1269,0.125,0.1197,0.125,0.1777,0.1348,0.12,0.145,0.1734,0.145,0.122,0.1197,0.1432,0.1404,0.1899,0.13,0.13,0.1371,0.145,0.145,0.145,0.1157,0.12,0.1101,0.145,0.14,0.14,0.145,0.145,0.145,0.13,0.13,0.145,0.113,0.1062,0.0984,0.1547,0.155,0.16,0.1757,0.1287,0.1287,0.1747,0.214,0.1722,0.125,0.2021,0.1486,0.1654,0.16,0.223,0.16,0.11,0.1449,0.17,0.1145,0.0995,0.1,0.19,0.1825,0.195,0.2276,0.105,0.2136,0.1503,0.1174,0.145,0.1257,0.12,0.12,0.145,0.122,0.1493,0.115,0.1338,0.13,0.1388,0.1377,0.156,0.1747,0.1267,0.1203,0.0891
ST Length,,m,0.545,0.46,0.3925,0.559,0.47,0.5153,0.4826,0.31,0.3201,0.5612,0.31,0.555,0.5502,0.52,0.602,0.5,0.5405,0.5,0.52,0.4848,0.483,0.49,0.5058,0.5152,0.4802,0.5392,0.5148,0.5392,0.5806,0.5148,0.5122,0.5741,0.5652,0.5321,0.1572,0.158,0.1591,0.5152,0.3925,0.495,0.5148,0.5718,0.3764,0.5518,0.533,0.52,0.5675,0.4683,0.5676,0.5676,0.5676,0.5676,0.5676,0.5676,0.5417,0.5317,0.508,0.51,0.5689,0.6394,0.55,0.547,0.44,0.5325,0.74,0.74,0.31,0.745,0.622,0.57,0.457,0.5573,0.52,0.4841,0.555,0.63,0.5454,0.3,0.57,0.523,0.3309,0.5152,0.5152,0.5152,0.5152,0.5152,0.525,0.5,0.44,0.49,0.6703,0.6803,0.627,0.5,0.46,0.5769,0.59,0.5045,0.5045,0.5045,0.5483,0.5652,0.5045,0.504,0.5045,0.52,0.52,0.5873,0.305,0.305,0.7114,0.5691,0.5776,0.6278,0.533,0.5685,0.54,0.56,0.56,0.33,0.57,0.33,0.605,0.5772,0.47,0.3575,0.587,0.3575,0.5274,0.57,0.5668,0.54,0.6269,0.564,0.564,0.5674,0.3575,0.3575,0.3575,0.49,0.5,0.381,0.2999,0.426,0.426,0.3575,0.3575,0.3575,0.5,0.5,0.3575,0.49,0.559,0.48,0.5688,0.5592,0.53,0.68,0.6479,0.6479,0.56,0.535,0.6,0.594,0.5553,0.51,0.53,0.55,0.575,0.5318,0.48,0.5148,0.52,0.55,0.47,0.5,0.5601,0.499,0.57,0.6,0.47,0.55,0.5968,0.5139,0.5819,0.483,0.503,0.503,0.3575,0.5284,0.725,0.51,0.52,0.485,0.54,0.5968,0.55,0.56,0.655,0.6261,0.12
BB Length,,m,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.07,0.068,0.07,0.07,0.07,0.07,0.07,0.07,0.073,0.073,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.06,0.06,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.07,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.073,0.068,0.068,0.068,0.092,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.12,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.07,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073
Dropout Offset,,N/A,0.130000,0.135000,0.135000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.120000,0.130000,0.120000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.120000,0.120000,0.120000,0.120000,0.120000,0.120000,0.120000,0.120000,0.135000,0.130000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.135000,0.130000,0.135000,0.120000,0.120000,0.130000,0.130000,0.130000,0.120000,0.135000,0.130000,0.120000,0.130000,0.120000,0.120000,0.120000,0.120000,0.120000,0.120000,0.120000,0.130000,0.130000,0.120000,0.120000,0.130000,0.130000,0.135000,0.120000,0.135000,0.135000,0.135000,0.135000,0.130000,0.130000,0.135000,0.135000,0.135000,0.130000,0.130000,0.120000,0.135000,0.135000,0.130000,0.130000,0.120000,0.130000,0.130000,0.120000,0.120000,0.120000,0.120000,0.135000,0.120000,0.135000,0.120000,0.135000,0.135000,0.135000,0.130000,0.135000,0.130000,0.120000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.135000,0.130000,0.130000,0.135000,0.135000,0.130000,0.130000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.130000,0.135000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.256000,0.130000,0.130000,0.142000,0.120000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.135000,0.130000,0.130000,0.135000,0.135000,0.135000,0.135000,0.130000,0.120000,0.135000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.135000,0.142000
SSB OD,,N/A,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.000000,0.016000,0.000000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.016000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.000000,0.000000,0.022000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.000000,0.016000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.000000
