Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.41,0.425,0.43,0.434,0.434,0.405,0.422,0.39624,0.38104,0.37766,0.4,0.3851,0.405,0.415,0.3967,0.405,0.405,0.405,0.405,0.425,0.425,0.425,0.405,0.43,0.405,0.415,0.405,0.415,0.405,0.405,0.40877,0.405,0.405,0.405,0.325,0.399,0.405,0.43,0.43,0.45,0.405,0.39553,0.845,0.39347,0.442,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.40516,0.38,0.3948,0.39194,0.415,0.41,0.405,0.39,0.386,0.408,0.445,0.405,0.4,0.4,0.4,0.39733,0.432,0.405,0.42,0.39757,0.375,0.405,0.386,0.405,0.39412,0.365,0.40977,0.4,0.29,0.405,0.405,0.405,0.405,0.405,0.405,0.381,0.445,0.415,0.38474,0.38474,0.408,0.45,0.439,0.39123,0.425,0.425,0.425,0.425,0.425,0.39535,0.425,0.425,0.425,0.41,0.41,0.435,0.395,0.4,0.39,0.39,0.405,0.42,0.425,0.391,0.387,0.385,0.387,0.39,0.388,0.39,0.405,0.42,0.435,0.445,0.405,0.445,0.425,0.388,0.405,0.39,0.408,0.395,0.395,0.408,0.445,0.445,0.445,0.425,0.435,0.425,0.445,0.415,0.415,0.445,0.445,0.445,0.435,0.43,0.445,0.47646,0.47,0.43,0.405,0.47,0.42,0.39,0.4,0.4,0.40311,0.42,0.405,0.45,0.41,0.465,0.465,0.405,0.41,0.6,0.4,0.425,0.457,0.405,0.42,0.381,0.41,0.405,0.415,0.85,0.425,0.415,0.41,0.562,0.41,0.425,0.425,0.425,0.445,0.425,0.39635,0.395,0.43,0.451,0.425,0.41,0.405,0.40311,0.40284,0.43,0.38
BB Drop,,m,0.072,0.055,0.05,0.011,0.011,0.07,0.04,0.018,-0.008,0.033,0.03,0.051,0.07,0.06,0.07,0.06,0.067,0.06,0.06,0.047,0.04,0.07,0.07,0.07,0.04,0.07,0.07,0.07,0.07,0.07,0.0758,0.07,0.07,0.07,-0.04,-0.04,-0.04,0.07,0.05,0.07,0.07,0.07,0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.034,0.033,0.063,0.06,0.069,0.07,0.05,0.07,0.07,0.055,0.055,0.055,0.03,0.06,0.067,0.055,0.06446,0.07,0.045,0.072,0.054,0.067,0.06,0.015,0.1,0.057,0.02,0.07,0.07,0.07,0.07,0.07,0.052,0.055,0.07,0.067,0.05,0.05,0.067,0.075,0.054,0.052,0.07,0.055,0.055,0.055,0.069,0.047,0.055,0.055,0.055,0.072,0.073,0.063,0.055,0.055,0.055,0.047,0.07,0.07,0.025,0.071,0.054,0.048,0.048,0.01274,0.054,0.01274,0.047,0.07,0.035,0.005,0.069,0.005,0.06,0.054,0.069,0.057,0.067,0.05703,0.05703,0.07,0.005,0.005,0.005,0.07,0.07,0.05,0.005,0.073,0.073,0.005,0.005,0.005,0.01,0.02,0.005,0.0295,0.07,0,0.069,0.07,0.01931,0.05,0.07,0.07,0.05,0.07,0.069,0.06,0.072,0.085,0.085,0.07,0.072,-0.085,0.057,0.08,0.03,0.07,0.061,0.055,0.0523,0.07,0.06701,0.075,0.03,0.0745,0.066,0.0055,0.067,0.04,0.04,0.04,0.005,0.06,0.037,0.052,0.024,0.06,0.075,0.066,0.07,0.05,0.037,0.07,-0.069
Stack,,m,0.5656,0.5656,0.586,0.5656,0.5656,0.566,0.5656,0.5656,0.5,0.4745,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.47,0.6152,0.5656,0.545,0.5656,0.51,0.522,0.5656,0.522,0.5656,0.5656,0.4467,0.503,0.5656,0.504,0.5656,0.366,0.398,0.5656,0.586,0.533,0.5656,0.518,0.335,0.525,0.5656,0.528,0.5086,0.555,0.5086,0.5086,0.5086,0.5086,0.5086,0.5086,0.428,0.428,0.5656,0.5656,0.5656,0.52,0.529,0.515,0.5656,0.5656,0.571,0.571,0.5656,0.571,0.6,0.5656,0.579,0.53,0.4936,0.5205,0.5656,0.5656,0.52,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.4939,0.5656,0.535,0.5132,0.5132,0.593,0.594,0.5721,0.5656,0.5802,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.585,0.585,0.5656,0.48,0.51,0.574,0.54,0.5656,0.5656,0.6,0.5656,0.514,0.5656,0.5656,0.5656,0.514,0.5656,0.5656,0.5593,0.6259,0.5656,0.583,0.5656,0.5656,0.514,0.554,0.5216,0.593,0.5553,0.5553,0.555,0.5656,0.5656,0.5656,0.525,0.533,0.6106,0.5656,0.5468,0.5468,0.5656,0.5656,0.5656,0.643,0.643,0.5656,0.6274,0.621,0.5656,0.5656,0.621,0.5771,0.5656,0.55,0.55,0.57,0.6316,0.584,0.5621,0.61,0.6082,0.6082,0.5656,0.63,0.5656,0.5249,0.5656,0.658,0.53,0.63,0.4939,0.5656,0.6,0.5656,0.6,0.5656,0.627,0.5131,0.5251,0.5656,0.6152,0.6151,0.6151,0.5656,0.5656,0.5496,0.5656,0.655,0.556,0.5656,0.5131,0.5656,0.57,0.5496,0.556,0.39
SS E,,m,0.06,0.15,0.045,0.23,0.15,0.045,0.085,0.035,0.045,0.03,0.06,0.065,0.1,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.065,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.055,0.045,0.045,0.025,0.07,0.09,0.045,0.05,0.065,0.05,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.045,0.045,0.045,0.15,0.15,0.045,0.045,0.045,0.3,0.3,0.06,0.32,0.045,0.045,0.045,0.095,0.062,0.045,0.07,0.06,0.052,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.125,0.1,0.045,0.045,0.15,0.15,0.045,0.045,0.045,0.1,0.045,0.06,0.06,0.06,0.06,0.045,0.06,0.06,0.06,0.045,0.045,0.069,0.065,0.068,0.18,0.06,0.045,0.045,0.06,0.105,0.045,0.045,0.045,0.05,0.045,0.05,0.045,0.06,0.045,0.045,0.045,0.045,0.06,0.045,0.045,0.045,0.045,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.045,0.06,0.045,0.045,0.045,0.045,0.045,0.045,0.26,0.26,0.045,0.045,0.065,0.045,0.045,0.065,0.045,0.23,0.05,0.05,0.047,0.05,0.045,0.053,0.06,0.07,0.07,0.1,0.06,0.2,0.045,0.045,0.045,0.045,0.08,0.1,0.045,0.045,0.045,0.045,0.055,0.15,0.045,0.045,0.045,0.065,0.065,0.065,0.045,0.06,0.25,0.05,0.045,0.115,0.045,0.045,0.045,0.047,0.25,0.15,0.018
ST Angle,,deg,73.50017,74,69,73.5,73.5,74,74,73,74,78,71.5,75,74,74,74,74,73,74,73.5,75,73.00099,74,74,74,74,74,74,74,75,74,74,74,74,74,70,70,70,74,69,71.5,74,75,74,74,73.3,74,72,74,72,72,72,72,72,71.99727,76,74,75.38463,73.5,73.5,74,75,73.7,73.25,75.5,74.5,74.5,71.5,74.5,75.85954,75.5,76.86392,74,74.5,74.5,74,73,74,70.5,73,75.5,74,74,74,74,74,74,75,75.00038,73.25,74,80,80,73.5,73.00118,74,75,73.5,71.5,71.5,71.5,73,75.5,71.5,71.5,71.5,72.5,73,73.86458,69.5,70.5,74.5,75.5,74,72.5,73,76,76.25,75,75,73.137,76,73.137,74,73,69,71.5,74,71.5,75,76,74,75,72.5,76.85055,76.85055,73,71.5,71.5,71.5,73,74,73,71.5,75.5,75.5,71.5,71.5,71.5,75,74,71.5,73.5,73.5,75.5,73.5,73.5,72.72221,74,72.5,72.5,73,72.5,73.2,73.5,75,73.3,73,73,75,65.5,75,72,76,74,68.9,75,73.5,73,73.50104,65,72.5,73.5,73,80,73.5,73.00099,73.00244,73.00244,71.5,75,75,74,75,73,73,73,73.5,73,75,74,77.00538
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.042,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04395,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.044,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04395,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045
TT OD,,m,0.02855,0.0286,0.03225,0.0286,0.0286,0.0286,0.0286,0.0302,0.0286,0.0254,0.0385,0.0286,0.0286,0.0286,0.0286,0.0343,0.0286,0.0343,0.0343,0.0286,0.0349,0.0286,0.03055,0.0286,0.0286,0.0337,0.0286,0.0337,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03225,0.0304,0.0286,0.0286,0.0286,0.0286,0.03055,0.0286,0.0254,0.0286,0.0254,0.0254,0.0254,0.0254,0.0254,0.0254,0.0254,0.0254,0.0286,0.0286,0.0286,0.026,0.0286,0.0319,0.035,0.0286,0.0286,0.0286,0.04,0.0286,0.03545,0.0286,0.039,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0361,0.0286,0.02695,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0327,0.0305,0.035,0.0286,0.035,0.035,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03,0.03,0.0286,0.0286,0.0286,0.0286,0.0286,0.037,0.0286,0.0286,0.0286,0.03525,0.0286,0.03525,0.0286,0.0345,0.0286,0.0601,0.0286,0.0601,0.04028,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0601,0.0601,0.0601,0.0286,0.0286,0.0286,0.0601,0.0285,0.0285,0.0601,0.0601,0.0601,0.03525,0.03525,0.0601,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0276,0.0325,0.03125,0.0286,0.0286,0.0313,0.0313,0.035,0.0286,0.0286,0.036,0.0286,0.0385,0.0286,0.0286,0.038,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0349,0.0349,0.0349,0.0601,0.04028,0.0318,0.0286,0.0286,0.0275,0.0286,0.0286,0.0286,0.0276,0.0318,0.0286,0.0286
HT OD,,m,0.038,0.045,0.045,0.05,0.05,0.045,0.04,0.044,0.045,0.04,0.05,0.039,0.045,0.045,0.0413,0.045,0.045,0.045,0.045,0.041,0.0413,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.021,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.04,0.04,0.0413,0.045,0.045,0.045,0.062,0.045,0.045,0.045,0.044,0.044,0.052,0.044,0.05,0.045,0.045,0.045,0.0413,0.045,0.036,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.032,0.0413,0.045,0.058,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0413,0.045,0.045,0.052,0.045,0.045,0.045,0.045,0.045,0.055,0.047,0.0413,0.0413,0.065,0.047,0.065,0.045,0.05,0.053,0.055,0.045,0.055,0.0402,0.047,0.045,0.045,0.045,0.044,0.044,0.045,0.055,0.055,0.055,0.045,0.045,0.045,0.055,0.037,0.037,0.055,0.055,0.055,0.05,0.05,0.055,0.053,0.045,0.062,0.045,0.0413,0.045,0.045,0.05,0.05,0.05,0.045,0.045,0.058,0.046,0.045,0.045,0.045,0.046,0.041,0.05,0.045,0.059,0.045,0.045,0.045,0.045,0.0413,0.045,0.05,0.045,0.045,0.045,0.0413,0.045,0.0413,0.0413,0.0413,0.055,0.0402,0.045,0.05,0.053,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.05
DT OD,,m,0.03655,0.0365,0.04,0.04155,0.04155,0.0365,0.0365,0.045,0.02873,0.0365,0.0455,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04795,0.0365,0.0365,0.0365,0.0365,0.03625,0.0365,0.03625,0.0365,0.0365,0.0365,0.03825,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04703,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04048,0.03995,0.0365,0.04075,0.05,0.0485,0.05,0.04325,0.0365,0.0405,0.0365,0.0365,0.0365,0.0365,0.04125,0.0365,0.0415,0.0365,0.0365,0.0365,0.044,0.0373,0.0373,0.0373,0.0373,0.0365,0.05,0.03995,0.0365,0.045,0.045,0.0365,0.0365,0.0365,0.0365,0.03573,0.03695,0.03695,0.03695,0.0365,0.0365,0.03695,0.03695,0.03695,0.0365,0.0365,0.0365,0.04005,0.04003,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04453,0.0365,0.04453,0.0365,0.04875,0.0365,0.0615,0.0365,0.0615,0.04518,0.0365,0.0365,0.03873,0.0365,0.02475,0.02475,0.0365,0.0615,0.0615,0.0615,0.0365,0.0365,0.0365,0.0615,0.0365,0.0365,0.0615,0.0615,0.0615,0.047,0.047,0.0615,0.0365,0.03823,0.0365,0.0365,0.03823,0.0365,0.0425,0.0365,0.0365,0.0365,0.04198,0.04198,0.05,0.0365,0.04703,0.04703,0.04275,0.0365,0.0365,0.04578,0.0365,0.0365,0.0365,0.0365,0.05,0.0365,0.0365,0.0365,0.04703,0.0365,0.0365,0.0365,0.0365,0.0365,0.04795,0.04795,0.04795,0.0615,0.04518,0.0365,0.0365,0.0365,0.03748,0.0425,0.0365,0.0365,0.0365,0.0365,0.04,0.04
