,SSB_Include,CSB_Include,Material,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,Sim 1 Dropout X Disp.,Sim 1 Dropout Y Disp.,Sim 1 Bottom Bracket X Disp.,Sim 1 Bottom Bracket Y Disp.,Sim 2 Bottom Bracket Z Disp.,Sim 3 Bottom Bracket Y Disp.,Sim 3 Bottom Bracket X Rot.,Sim 1 Safety Factor,Sim 3 Safety Factor,Model Mass,batch
4114,1,1,Steel,0.435,0.035,0.5896,0.045,73.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0485,0.0488,0.0502,71.0,0.1601,0.5288,0.068,0.135,0.016,0.018,0.33,0.35,0.009,0.001019,0.00061,0.000997,0.007784,0.001431,0.0024460000000000003,0.0034159999999999998,0.660587,-0.00427,0.008508,-0.004631000000000001,0.004577,0.001267,-0.004897,0.0026857142857142826,1.185,1.0290000000000001,4.69,2_7
4115,1,1,Steel,0.44,0.065,0.6486,0.04,72.0,0.04,0.03025,0.039,0.03625,0.0216,0.0118,0.0286,0.01,0.051,0.0342,0.031,72.0,0.2,0.58,0.068,0.135,0.014,0.018,0.37,0.372,0.003,0.0031190000000000002,0.001516,0.005197,0.0009735,0.009719,0.009113,0.005289,0.664553,0.008159,-0.01401,0.00951,-0.007356999999999999,0.001216,-0.0029105,0.003178571428571429,0.5643,0.9305,9.97,2_7
4116,1,1,Steel,0.405,0.06,0.794,0.035,77.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.036,0.015,0.0478,0.0322,0.0343,71.5,0.1113,0.5372,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.0017980000000000001,0.001493,0.003807,0.0023190000000000003,0.00094439,0.0035770000000000003,0.008763,0.639207,0.007297,-0.01254,0.00847,-0.006599,0.0008224,-0.002341,0.0015714285714285724,0.6014,1.685,8.52,2_7
4117,1,1,Steel,0.42,0.04,0.5656,0.01855,73.0,0.0404,0.0286,0.03225,0.0365,0.0168,0.0105,0.02835,0.005,0.0303,0.0163,0.0277,72.0,0.1233,0.5413,0.068,0.12055,0.0162,0.0126,0.33,0.35,0.01855,0.008935,0.001576,0.00618,0.00095028,0.0006631,0.009445,0.00051259,0.610891,-0.0051990000000000005,0.009221,-0.0055439999999999994,0.0047729999999999995,0.0032049999999999995,-0.0044145,0.007250000000000001,0.8852,0.4616,5.46,2_7
4118,1,1,Steel,0.42,0.04,0.5656,0.01855,73.0,0.0404,0.0286,0.03225,0.0365,0.0168,0.0105,0.02835,0.005,0.0303,0.0163,0.0277,72.0,0.1233,0.5413,0.068,0.12055,0.0162,0.0126,0.33,0.35,0.01855,0.004599,0.0020570000000000002,0.005915,0.001129,0.001975,0.000891,0.002194,0.610891,-0.0037719999999999997,0.006814,-0.0040149999999999995,0.0035659999999999997,0.0018620000000000002,-0.0032735000000000004,0.004349999999999998,1.042,0.7818,4.78,2_7
4119,1,1,Aluminum,0.85,0.075,0.6,0.045,65.0,0.04,0.0286,0.05,0.04703,0.0335,0.013,0.0318,0.015,0.0381,0.0474,0.0327,63.5,0.2276,0.6,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.007833,0.000592,0.001495,0.003704,0.0035659999999999997,0.001366,0.008676999999999999,0.784017,0.021419999999999998,-0.07364,0.02561,-0.03578,0.003154,-0.011994999999999999,0.003928571428571429,0.427,1.271,4.04,3_5
4120,1,1,Steel,0.4144,0.038,0.5547,0.067,68.19754,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0586,0.0812,0.0421,73.5,0.12,0.59,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.00233,0.001392,0.001493,0.00057202,0.001182,0.0060810000000000005,0.00062085,0.6149640000000001,-0.01066,0.01844,-0.011290000000000001,0.009176,0.001898,-0.007346,0.005057142857142859,0.5038,0.5391,5.12,2_7
4121,1,1,Steel,0.42700000000000005,0.07433,0.542,0.06,75.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0481,0.04,0.0326,71.0,0.1119,0.53,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.000986,0.005502,0.0038729999999999997,0.006722,0.002882,0.004070000000000001,0.0065379999999999995,0.656586,0.008039,-0.0164,0.009676,-0.008364,0.0005268,-0.0028475,0.001392857142857145,0.5169,1.4909999999999999,9.02,2_7
4124,1,1,Titanium,0.40700000000000003,0.07200000000000001,0.591,0.12,73.5,0.04,0.0286,0.048,0.0405,0.027,0.013,0.0318,0.015,0.0537,0.0483,0.0294,73.5,0.193,0.5703,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.0017579999999999998,0.004197,0.0010710000000000001,0.005698,0.001284,0.007127,0.001622,0.659783,0.02647,-0.053020000000000005,0.03119,-0.03048,0.001027,-0.011224999999999999,0.0029285714285714206,0.6198,1.669,4.08,2_7
4125,1,1,Steel,0.405,0.01,0.51,0.045,72.5,0.04,0.0286,0.0413,0.0365,0.02335,0.013,0.0318,0.015,0.0448,0.0489,0.0291,72.5,0.1515,0.5149,0.068,0.135,0.016,0.018,0.33,0.35,0.009,0.0072959999999999995,0.001057,0.001274,0.004788000000000001,0.0018690000000000002,0.008311,0.008166,0.608067,-0.001983,0.004321,-0.0020469999999999998,0.002462,0.0006123,-0.0029284999999999997,0.0016214285714285727,1.864,1.44,8.73,2_7
4126,1,1,Steel,0.4,0.069,0.56,0.225,75.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0487,0.1692,0.0288,73.0,0.1512,0.64,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.000734,0.0018059999999999999,0.001286,0.00186,0.003418,0.004579,0.002611,0.648675,0.0145,-0.02915,0.01746,-0.01576,0.0009261000000000001,-0.0056815,0.002364285714285712,0.3705,1.028,6.16,2_7
4130,1,1,Steel,0.44799999999999995,0.065,0.6486,0.04,72.0,0.04,0.03015,0.037000000000000005,0.03625,0.021,0.011,0.0286,0.01,0.0452,0.0316,0.0334,72.0,0.2,0.58,0.068,0.135,0.014,0.018,0.37,0.372,0.004,0.001034,0.0008699999999999999,0.002653,0.001247,0.001019,0.00728,0.0017879999999999999,0.661665,0.0146,-0.02563,0.01706,-0.01346,0.0021260000000000003,-0.0052615000000000006,0.004250000000000006,0.2838,0.7839,5.38,2_7
4131,1,1,Titanium,0.415,0.068,0.578,0.045,73.5,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0357,0.0137,0.0197,73.0,0.1561,0.52,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.004061,0.004674,0.003786,0.0030670000000000003,0.002728,0.00221,0.00066992,0.648054,0.035230000000000004,-0.0664,0.041010000000000005,-0.037469999999999996,0.0020989999999999997,-0.01375,0.004857142857142857,0.5883,1.636,3.31,2_7
