Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.41,0.4153,0.4,0.415,0.465,0.465,0.415,0.415,0.475,0.415,0.435,0.6,0.426,0.5,0.425,0.425,0.39712,0.448,0.41,0.389,0.405,0.42,0.415,0.41,0.40504,0.42,0.42,0.405,0.425,0.4326,0.43,0.381,0.41,0.405,0.435,0.435,0.41,0.41,0.405,0.395,0.415,0.44,0.44,0.448,0.448,0.44,0.44,0.381,0.42,0.42,0.42,0.408,0.42,0.39,0.38,0.38,0.435,0.44,0.405,0.42,0.42,0.85,0.4144,0.427,0.407,0.405,0.4,0.448,0.415,0.415,0.43,0.405,0.448,0.415,0.425,0.425,0.415,0.44,0.44,0.45,0.45,0.445,0.40828,0.415,0.405,0.44,0.44,0.405,0.36,0.562,0.36,0.36,0.45,0.36,0.45,0.44,0.42,0.435,0.415,0.38072,0.42,0.44,0.44,0.45,0.45,0.44,0.44,0.405,0.425,0.355,0.42,0.425,0.44,0.44,0.44,0.408,0.44,0.408,0.4605,0.515,0.515,0.41,0.4311,0.405,0.43243,0.42003,0.41,0.43243,0.42,0.42,0.405,0.39,0.405,0.425,0.42,0.437,0.445,0.42,0.408,0.42,0.435,0.405,0.412,0.42,0.42,0.417,0.44,0.43,0.43,0.45,0.425,0.425,0.425,0.425,0.515,0.463,0.39635,0.395,0.39,0.465,0.465,0.43,0.4,0.451,0.47,0.425,0.425,0.465,0.465,0.465,0.395,0.45,0.41,0.41,0.42,0.43,0.43,0.422,0.425,0.405,0.43,0.435,0.435,0.405,0.435,0.435,0.435,0.41,0.42,0.435,0.435,0.40311,0.33655,0.33655,0.33655,0.41,0.425,0.40284,0.425,0.43,0.36565
BB Drop,,m,0.072,0.0345,0.07,0.066,0.085,0.085,0.066,0.066,0.035,0.07,0.065,-0.085,0.067,-0.057,0.07,0.08,0.047,0.065,0.07,0.053,0.07,0.061,0.072,0.07,0.07,0.07,0.07,0.07,0.065,0.059,0.07,0.055,0.0523,0.07,0.024,0.024,0.075,0.075,0.07,0.06,0.06701,0.065,0.065,0.065,0.065,0.065,0.065,0.055,0.066,0.066,0.066,0.07,0.069,0.06,0.047,0.04701,0.035,0.065,0.06,0.04,0.04,0.075,0.038,0.07433,0.072,0.01,0.069,0.065,0.068,0.07,0.07,0.052,0.065,0.072,0.073,0.073,0.0745,0.06,0.06,0.065,0.065,0.07001,0.07,0.072,0.07,0.065,0.065,0.07,0.045,0.0055,0.045,0.045,0.07,0.045,0.07,0.065,0.065,0.067,0.068,0.062,0.07,0.068,0.068,0.017,0.017,0.065,0.065,0.07,0.06,0.02,0.065,0.06,0.065,0.065,0.07,0.07,0.06,0.07,0.05,0.05,0.05,0.067,0.04,0.07,0.04,0.04,0.07,0.04,0.04,0.04,0.055,0.0475,0.066,0.065,0.04,0.055,0.06,0.04,0.072,0.072,0.07,0.07,0.066,0.047,0.047,0.072,0.07,0.06,0.06,0.07,0.055,0.055,0.055,0.055,0.05,0.055,0.037,0.052,0.05,0.065,0.065,0.07,0.07,0.06,0.0215,0.056,0.075,0.065,0.065,0.065,0.065,0.07,0.06798,0.06798,0.07,0.074,0.07,0.064,0.07,0.07,0.068,0.055,0.055,0.07,0.055,0.055,0.075,0.07,0.07,0.055,0.055,0.05,-0.0271,-0.0271,-0.0271,0.068,0.075,0.037,0.063,0.07,0.05
Stack,,m,0.5656,0.576,0.5656,0.5656,0.6082,0.6082,0.5656,0.5656,0.5152,0.5944,0.5995,0.5656,0.581,0.556,0.577,0.5656,0.5656,0.6486,0.5656,0.54,0.53,0.63,0.5866,0.5656,0.5656,0.56,0.56,0.62,0.6,0.622,0.5656,0.4939,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.6,0.476,0.5656,0.6486,0.6486,0.6486,0.6486,0.6486,0.6486,0.4939,0.5048,0.5048,0.5048,0.5771,0.545,0.5656,0.5656,0.5656,0.5896,0.6486,0.794,0.5656,0.5656,0.6,0.5547,0.542,0.591,0.51,0.56,0.6486,0.578,0.578,0.601,0.5445,0.6486,0.552,0.56,0.56,0.627,0.5619,0.5619,0.6486,0.6486,0.6444,0.5226,0.552,0.593,0.6486,0.6486,0.593,0.5152,0.5251,0.5152,0.5152,0.6,0.5152,0.6,0.6486,0.5656,0.608,0.578,0.5385,0.5656,0.66,0.66,0.48,0.48,0.6486,0.6486,0.5656,0.6245,0.5656,0.5656,0.6075,0.6486,0.6486,0.6101,0.593,0.6353,0.593,0.5656,0.5656,0.5656,0.5656,0.5967,0.56,0.5941,0.5941,0.585,0.5941,0.5813,0.5813,0.5656,0.6199,0.5656,0.6551,0.595,0.601,0.592,0.595,0.529,0.539,0.5656,0.5656,0.5665,0.5656,0.5656,0.577,0.5656,0.5267,0.5267,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5496,0.5656,0.5656,0.5656,0.5656,0.696,0.5656,0.556,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.583,0.583,0.553,0.626,0.578,0.566,0.5656,0.5656,0.575,0.5152,0.5152,0.5656,0.5152,0.5152,0.5656,0.573,0.545,0.5152,0.5152,0.57,0.5656,0.5656,0.5656,0.581,0.5656,0.5496,0.5656,0.556,0.5656
SS E,,m,0.06,0.03,0.19,0.045,0.07,0.07,0.045,0.045,0.04,0.04,0.13,0.2,0.035,0.045,0.0505,0.045,0.045,0.045,0.02,0.15,0.045,0.08,0.045,0.02,0.045,0.045,0.045,0.04,0.045,0.022,0.045,0.1,0.045,0.07,0.05,0.05,0.12,0.12,0.045,0.125,0.045,0.045,0.045,0.04,0.04,0.04,0.04,0.1,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.04,0.035,0.01855,0.01855,0.045,0.067,0.06,0.12,0.045,0.225,0.04,0.045,0.045,0.045,0.045,0.04,0.045,0.09,0.105,0.15,0.045,0.045,0.04,0.04,0.068,0.045,0.045,0.045,0.04,0.04,0.045,0.03,0.045,0.03,0.03,0.055,0.03,0.055,0.04,0.01855,0.045,0.045,0.24,0.025,0.12,0.12,0.045,0.045,0.04,0.04,0.045,0.11,0.133,0.035,0.1,0.04,0.04,0.045,0.045,0.09,0.045,0.01,0.01,0.01,0.045,0.12,0.045,0.08,0.08,0.045,0.08,0.09,0.11,0.022,0.04,0.055,0.05,0.095,0.1,0.045,0.08,0.03,0.045,0.045,0.045,0.065,0.04,0.04,0.0705,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.01,0.045,0.25,0.05,0.08,0.01855,0.01855,0.045,0.12,0.115,0.055,0.045,0.045,0.01855,0.01855,0.01855,0.13,0.045,0.06,0.06,0.11,0.045,0.045,0.045,0.045,0.045,0.045,0.03,0.03,0.016,0.03,0.03,0.045,0.045,0.11,0.03,0.03,0.047,0.045,0.045,0.045,0.045,0.045,0.25,0.025,0.15,0.045
ST Angle,,deg,73.50017,73,76,72.5,73.3,73,72.5,72.5,67,72.50034,74,65.5,73,66,74,72,74,72.5,74.5,75,74,68.9,73.001,74.5,74,73,73,74,74,74,74,75,73.5,73,73.35,73.35,73,73,73,75,73.50104,72,72,72,72,72,72,75,73,73,73,73,73,76,76,76.00206,73,72,77,73,73,65,68.19754,75,73.5,72.5,75,72,73.5,73.49928,73,73.5,72,73,72.5,72.5,73.5,73.501,73.501,72,72,73.0016,73.99975,73,74.5,72,72,74,71.5,80,71.5,71.5,73,71.5,73,72,73,72.5,73.5,74,72,73,73,71.5,71.5,72,72,74,72,69.78307,73.49915,72,72,72,73,74,75,74,69,69,69,73.5,74,74,74,74,73.2,74,74,74,72.5,75,72,75.5,74,74.5,73.8,74,74.5,74.5,73,74,73.5,74.5,74.5,72.2,73,75,75,74,71,71,71,71,69,71,75,74,74,71,71,75,77.99827,73,72,73,73,71,71,71,74,74,73.99747,73.99747,73.5,73,73,73.5,73,73.5,73.9,72,72,72,72,72,74,72.4,73.5,72,72,73,71,71,71,72,73,75,73.5,74,74
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.044,0.046,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0404,0.0404,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0408,0.04,0.0408,0.0408,0.04,0.0408,0.04,0.04,0.0404,0.04,0.04,0.05,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0463,0.0463,0.0463,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.0459,0.0381,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0463,0.04,0.04,0.04,0.04,0.038,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.038,0.038,0.038,0.0508,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0408,0.0408,0.04,0.0408,0.0408,0.04,0.04,0.04,0.0408,0.0408,0.04,0.04,0.04,0.04,0.038,0.04,0.04,0.0348,0.04,0.04
TT OD,,m,0.02855,0.0286,0.0275,0.0286,0.0313,0.0313,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.0286,0.0286,0.0286,0.0286,0.0309,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.038,0.0286,0.03005,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03025,0.03025,0.03015,0.03015,0.03025,0.03025,0.038,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03025,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.0286,0.0286,0.0286,0.0286,0.03015,0.0286,0.0286,0.0286,0.0286,0.02805,0.02805,0.03015,0.03015,0.0286,0.0286,0.0286,0.0286,0.03015,0.03015,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.0286,0.0286,0.0286,0.03,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.03015,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.03015,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03065,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0315,0.0254,0.0254,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0318,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0275,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0283,0.0286,0.0286,0.0283,0.0286,0.03105,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0276,0.0286,0.0286,0.0286,0.0286,0.0286,0.0318,0.0286,0.0286,0.0286
HT OD,,m,0.038,0.0413,0.056,0.045,0.045,0.045,0.045,0.045,0.035,0.045,0.05,0.041,0.05,0.0413,0.056,0.045,0.045,0.037,0.045,0.045,0.045,0.045,0.0413,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.038,0.038,0.045,0.045,0.0413,0.04,0.045,0.039,0.039,0.037,0.037,0.039,0.039,0.045,0.045,0.045,0.045,0.032,0.045,0.045,0.045,0.045,0.045,0.039,0.045,0.03225,0.03225,0.05,0.045,0.045,0.048,0.0413,0.045,0.037,0.045,0.045,0.04,0.032,0.037,0.038,0.0413,0.0413,0.045,0.036,0.036,0.037,0.037,0.066,0.045,0.038,0.044,0.039,0.039,0.044,0.03325,0.0413,0.03325,0.03325,0.038,0.03325,0.038,0.039,0.03225,0.045,0.045,0.052,0.0317,0.056,0.056,0.045,0.045,0.039,0.039,0.045,0.045,0.031,0.0317,0.045,0.039,0.039,0.045,0.044,0.045,0.044,0.0314,0.0314,0.0314,0.045,0.045,0.045,0.045,0.045,0.0349,0.045,0.045,0.045,0.0296,0.0317,0.035,0.045,0.045,0.0461,0.045,0.045,0.036,0.036,0.045,0.045,0.05,0.0317,0.0317,0.056,0.045,0.045,0.045,0.045,0.033,0.033,0.033,0.033,0.0314,0.033,0.045,0.05,0.045,0.033,0.033,0.0413,0.045,0.045,0.035,0.045,0.045,0.033,0.033,0.033,0.05,0.045,0.045,0.045,0.045,0.045,0.05,0.05,0.045,0.045,0.045,0.03425,0.03425,0.045,0.03425,0.03425,0.045,0.045,0.044,0.03425,0.03425,0.05,0.045,0.045,0.045,0.056,0.0316,0.045,0.036,0.045,0.045
DT OD,,m,0.03655,0.0365,0.0365,0.0365,0.04703,0.04703,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03625,0.0365,0.0365,0.0365,0.0365,0.04175,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.05,0.0365,0.03948,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.047,0.047,0.03625,0.03625,0.03625,0.03625,0.05,0.036,0.036,0.036,0.0365,0.036,0.0365,0.0365,0.0365,0.0365,0.03625,0.0365,0.0365,0.0365,0.04703,0.0365,0.0365,0.0405,0.0365,0.0365,0.03625,0.0365,0.0365,0.0365,0.0365,0.03625,0.0365,0.035,0.035,0.0365,0.0365,0.0365,0.03625,0.03625,0.0365,0.0365,0.0365,0.0365,0.03625,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.03623,0.0365,0.03623,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04828,0.05328,0.03625,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.03625,0.03625,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03925,0.034,0.034,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03748,0.0365,0.0365,0.0425,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04325,0.04075,0.0365,0.0365,0.0373,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03475,0.0365,0.0365,0.0365,0.04,0.0365
