Design Study 1
Scenarios/Iterations:, 50
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
DT Length,,N/A,0.636837,0.656007,0.631303,0.678137,0.594338,0.651822,0.590230,0.645654,0.587127,0.593796,0.576285,0.591584,0.659435,0.596165,0.632945,0.670601,0.751986,0.679554,0.709397,0.595873,0.857217,0.682080,0.639186,0.677453,0.701828,0.495510,0.486082,0.747410,0.680400,0.696834,0.495510,0.810142,0.748079,0.651833,0.625070,0.621341,0.552008,0.659974,0.711970,0.712289,0.747410,0.668309,0.655654,0.622814,0.668197,0.656976,0.669618,0.521821,0.361384,0.611212,0.633593
Min FS 1,Monitor Only,,9.112e-01,9.336e-01,1.139e+00,2.589e-01,1.768e+00,9.424e-01,2.701e+00,1.284e+00,1.127e+00,8.482e-01,7.149e-01,2.888e+00,6.769e-01,2.820e+00,5.182e-01,1.931e-01,5.900e-01,2.116e-01,6.912e-01,8.894e-01,9.294e-02,8.003e-01,Simulation Eccentric Stiffness (3) fails.,4.933e-01,2.715e-01,4.450e-01,2.803e-01,6.648e-01,8.314e-01,1.208e+00,2.887e-01,Rebuild Error,1.061e+00,5.280e-01,Rebuild Error,2.822e-01,1.267e+00,4.383e-01,7.750e-01,3.720e-01,3.853e-01,9.553e-01,5.676e-01,1.670e+00,3.101e-01,8.826e-01,3.776e-01,8.999e-01,9.007e-01,7.742e-01,9.750e-01
Max Stress 1,Monitor Only, N/m^2,5.048e+08,8.862e+08,7.263e+08,1.777e+09,4.680e+08,8.780e+08,3.063e+08,6.441e+08,4.083e+08,5.423e+08,6.434e+08,2.865e+08,1.222e+09,2.934e+08,8.878e+08,2.383e+09,7.797e+08,2.174e+09,6.655e+08,5.172e+08,4.950e+09,1.034e+09,Simulation Eccentric Stiffness (3) fails.,9.326e+08,1.694e+09,1.034e+09,1.641e+09,6.919e+08,9.952e+08,6.850e+08,1.594e+09,Rebuild Error,4.335e+08,1.567e+09,Rebuild Error,2.932e+09,3.631e+08,1.050e+09,1.068e+09,1.237e+09,1.194e+09,8.660e+08,8.104e+08,2.754e+08,1.483e+09,9.374e+08,2.191e+09,5.111e+08,5.107e+08,5.941e+08,8.486e+08
Min FS 3,Monitor Only,,7.187e-01,2.569e+00,3.319e+00,7.383e-01,2.168e+00,9.681e-01,3.686e+00,3.002e+00,2.010e+00,1.003e+00,4.890e-01,4.866e+00,1.674e+00,2.586e+00,1.382e+00,5.203e-01,1.227e+00,5.543e-01,1.642e+00,1.159e+00,2.395e-01,2.035e+00,Simulation Eccentric Stiffness (3) fails.,1.342e+00,7.323e-01,1.127e+00,7.521e-01,1.829e+00,1.483e+00,3.309e+00,7.436e-01,Rebuild Error,9.844e-01,1.011e+00,Rebuild Error,1.136e+00,2.890e+00,1.182e+00,2.039e+00,1.054e+00,8.744e-01,2.756e+00,1.672e+00,6.918e-01,8.168e-01,2.215e+00,1.178e+00,2.008e+00,1.463e+00,7.847e-01,1.523e+00
Max Stress 3,Monitor Only, N/m^2,6.400e+08,3.220e+08,2.493e+08,6.231e+08,3.816e+08,8.546e+08,2.244e+08,2.756e+08,2.289e+08,4.586e+08,9.408e+08,1.700e+08,4.944e+08,3.200e+08,3.328e+08,8.842e+08,3.750e+08,8.298e+08,2.802e+08,3.969e+08,1.921e+09,4.067e+08,Simulation Eccentric Stiffness (3) fails.,3.427e+08,6.282e+08,4.081e+08,6.117e+08,2.514e+08,5.581e+08,2.501e+08,6.186e+08,Rebuild Error,4.673e+08,8.184e+08,Rebuild Error,7.281e+08,1.592e+08,3.892e+08,4.059e+08,4.366e+08,5.261e+08,3.003e+08,2.752e+08,6.650e+08,5.632e+08,3.736e+08,7.026e+08,2.291e+08,3.143e+08,5.862e+08,5.432e+08
Mass,Monitor Only, kg,3.86,3.48,3.56,4.13,2.5,1.98,3.92,4.55,4.92,4.25,7.42,3.33,2.52,6.53,9.24,3.62,8.69,4.23,7.83,3.86,4.5,3.37,Simulation Eccentric Stiffness (3) fails.,7.44,4.42,7.44,5.39,9.41,3.92,5.35,5.9,Rebuild Error,9.47,1.86,Rebuild Error,2.65,5.41,7.42,4.72,6.22,6.77,2.81,8.65,6.53,6.29,3.19,2.94,5.61,4.75,3.21,2.52
Dropout X Displacement,Monitor Only, m,-6.907e-03,1.842e-02,1.140e-02,2.969e-02,-9.529e-03,-2.987e-02,-4.785e-03,-5.167e-03,-3.429e-03,-6.564e-03,-1.996e-03,-3.772e-03,2.743e-02,-4.711e-03,8.327e-03,3.367e-02,7.582e-03,2.584e-02,6.314e-03,-6.484e-03,1.055e-01,2.268e-02,Simulation Eccentric Stiffness (3) fails.,9.113e-03,2.314e-02,1.339e-02,2.059e-02,7.596e-03,1.873e-02,1.380e-02,1.629e-02,Rebuild Error,-3.501e-03,3.854e-02,Rebuild Error,5.650e-02,-1.837e-03,1.034e-02,2.168e-02,1.575e-02,1.455e-02,1.891e-02,7.173e-03,-2.339e-03,1.963e-02,1.763e-02,7.149e-02,-1.543e-03,-2.531e-03,-6.410e-03,-1.425e-02
Dropout Y Displacement,Monitor Only, m,1.266e-02,-3.574e-02,-2.029e-02,-5.462e-02,1.247e-02,5.098e-02,6.799e-03,1.074e-02,4.417e-03,8.765e-03,2.504e-03,6.449e-03,-5.668e-02,8.527e-03,-1.616e-02,-7.288e-02,-1.722e-02,-6.821e-02,-1.619e-02,8.928e-03,-3.643e-01,-4.324e-02,Simulation Eccentric Stiffness (3) fails.,-1.873e-02,-5.074e-02,-2.914e-02,-4.522e-02,-1.710e-02,-3.806e-02,-2.843e-02,-3.392e-02,Rebuild Error,9.240e-03,-7.551e-02,Rebuild Error,-1.778e-01,1.849e-03,-2.185e-02,-4.815e-02,-3.328e-02,-3.253e-02,-3.639e-02,-1.261e-02,4.423e-03,-4.158e-02,-3.963e-02,-1.166e-01,2.682e-03,4.043e-03,1.046e-02,2.644e-02
BB X Displacement,Monitor Only, m,-7.509e-03,2.204e-02,1.354e-02,3.472e-02,-9.443e-03,-2.919e-02,-4.809e-03,-5.043e-03,-3.363e-03,-6.444e-03,-1.843e-03,-3.783e-03,3.338e-02,-4.993e-03,9.995e-03,4.007e-02,9.306e-03,3.511e-02,7.766e-03,-6.470e-03,1.264e-01,2.698e-02,Simulation Eccentric Stiffness (3) fails.,1.148e-02,3.027e-02,1.668e-02,2.574e-02,9.173e-03,2.266e-02,1.641e-02,1.960e-02,Rebuild Error,-3.978e-03,4.692e-02,Rebuild Error,8.203e-02,-1.793e-03,1.277e-02,2.690e-02,1.840e-02,1.767e-02,2.218e-02,8.469e-03,-2.707e-03,2.285e-02,2.129e-02,8.141e-02,-1.536e-03,-2.495e-03,-7.070e-03,-1.569e-02
BB Y Displacement,Monitor Only, m,7.375e-03,-1.914e-02,-9.833e-03,-2.880e-02,5.799e-03,2.584e-02,3.095e-03,4.690e-03,1.848e-03,4.212e-03,1.249e-03,2.757e-03,-3.045e-02,4.539e-03,-8.501e-03,-4.193e-02,-9.553e-03,-3.357e-02,-9.637e-03,4.019e-03,-1.804e-01,-2.212e-02,Simulation Eccentric Stiffness (3) fails.,-9.699e-03,-2.789e-02,-1.680e-02,-2.591e-02,-9.303e-03,-2.116e-02,-1.631e-02,-1.925e-02,Rebuild Error,4.901e-03,-4.005e-02,Rebuild Error,-5.468e-02,6.982e-04,-1.160e-02,-2.843e-02,-1.779e-02,-1.787e-02,-1.808e-02,-6.189e-03,2.441e-03,-2.353e-02,-2.172e-02,-5.385e-02,1.314e-03,1.983e-03,5.440e-03,1.295e-02
BB Z Displacement,Monitor Only, m,2.104e-03,2.199e-03,1.099e-03,1.309e-03,2.021e-03,3.064e-03,1.272e-03,7.375e-04,7.240e-04,8.069e-04,7.191e-04,7.263e-04,3.071e-03,6.273e-04,6.620e-04,2.133e-03,1.236e-03,2.993e-03,6.562e-04,1.273e-03,6.634e-03,2.197e-03,Simulation Eccentric Stiffness (3) fails.,6.086e-04,1.213e-03,1.091e-03,1.105e-03,7.122e-04,1.669e-03,1.272e-03,1.904e-03,Rebuild Error,1.420e-03,4.177e-03,Rebuild Error,1.536e-03,4.519e-04,6.259e-04,1.872e-03,9.247e-04,1.055e-03,2.111e-03,4.468e-04,7.361e-04,9.308e-04,2.140e-03,2.201e-03,6.137e-04,8.590e-04,1.303e-03,1.932e-03
BBR Y Displacement,Monitor Only, m,-9.409e-03,-7.098e-03,-3.519e-03,-1.045e-02,-5.117e-03,-2.791e-02,-2.505e-03,-4.624e-03,-1.218e-03,-3.451e-03,-1.122e-03,-1.860e-03,-1.140e-02,-4.561e-03,-3.143e-03,-1.597e-02,-3.646e-03,-1.183e-02,-3.764e-03,-3.269e-03,-6.169e-02,-8.039e-03,Simulation Eccentric Stiffness (3) fails.,-3.586e-03,-1.056e-02,-6.464e-03,-9.829e-03,-3.465e-03,-8.059e-03,-6.315e-03,-7.412e-03,Rebuild Error,-5.162e-03,-1.493e-02,Rebuild Error,-1.584e-02,-4.563e-04,-4.266e-03,-1.121e-02,-6.328e-03,-6.656e-03,-6.525e-03,-2.121e-03,-2.713e-03,-8.791e-03,-8.194e-03,-1.755e-02,-1.349e-03,-2.128e-03,-4.946e-03,-1.199e-02
BBL Y Displacement,Monitor Only, m,-8.644e-03,-6.433e-03,-3.171e-03,-9.964e-03,-4.250e-03,-2.671e-02,-2.013e-03,-4.326e-03,-9.471e-04,-3.092e-03,-5.174e-04,-1.527e-03,-1.053e-02,-4.281e-03,-2.897e-03,-1.522e-02,-3.405e-03,-1.108e-02,-3.558e-03,-2.763e-03,-6.042e-02,-7.298e-03,Simulation Eccentric Stiffness (3) fails.,-3.351e-03,-1.013e-02,-6.039e-03,-9.390e-03,-3.268e-03,-7.293e-03,-5.797e-03,-6.877e-03,Rebuild Error,-4.866e-03,-1.346e-02,Rebuild Error,-1.504e-02,-2.720e-04,-4.015e-03,-1.056e-02,-5.996e-03,-6.387e-03,-5.898e-03,-1.950e-03,-2.281e-03,-8.409e-03,-7.569e-03,-1.674e-02,-1.091e-03,-1.738e-03,-4.448e-03,-1.125e-02
