Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS OD,,N/A,0.023000,0.025500,0.023000,0.024000,0.023350,0.023350,0.024000,0.024000,0.023350,0.024000,0.017000,0.023350,0.023350,0.035000,0.023350,0.023350,0.023350,0.023350,0.017350,0.023350,0.017350,0.025000,0.023350,0.022000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.027000,0.023350,0.023350,0.028500,0.027000,0.023350,0.028500,0.022850,0.023350,0.022000,0.023350,0.027500,0.023500,0.017350,0.028350,0.023350,0.027000,0.023350,0.023350,0.023000,0.023350,0.045000,0.029850,0.028350,0.023500,0.028350,0.023350,0.023350,0.028500,0.023350,0.027000,0.028000,0.023350,0.023350,0.023350,0.033350,0.023350,0.023350,0.023350,0.023350,0.034495,0.023350,0.018000,0.023350,0.019850,0.025000,0.023350,0.023350,0.023350,0.026500,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.033350,0.023350,0.019850,0.028500,0.023350,0.023350,0.027000,0.027000,0.033350,0.023350,0.023350,0.022000,0.023350,0.023350,0.023350,0.025000,0.023350,0.018500,0.023350,0.023350,0.020000,0.023350,0.023350,0.023350,0.023350,0.021350,0.023350,0.023350,0.023350,0.017250,0.017250,0.027850,0.023350,0.023350,0.023350,0.023350,0.023350
SS OD,,N/A,0.016500,0.015000,0.016500,0.017250,0.013000,0.013000,0.017000,0.017000,0.013000,0.017000,0.012000,0.013000,0.013000,0.019000,0.013000,0.013000,0.013000,0.013000,0.010500,0.013000,0.010500,0.020000,0.017500,0.013000,0.021500,0.013000,0.021500,0.013000,0.015000,0.013000,0.020000,0.013000,0.013000,0.013000,0.014000,0.013000,0.013000,0.015000,0.013000,0.016000,0.013000,0.019000,0.013000,0.010500,0.012000,0.013000,0.020000,0.015000,0.013000,0.016500,0.013000,0.019000,0.018000,0.018500,0.025000,0.018500,0.013000,0.013000,0.012000,0.013000,0.013500,0.017750,0.013000,0.013000,0.013000,0.018000,0.013000,0.013000,0.013000,0.013000,0.017000,0.013000,0.015000,0.013000,0.015000,0.019000,0.015000,0.013000,0.015000,0.018500,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.018000,0.015000,0.015000,0.023500,0.013000,0.013000,0.020000,0.020000,0.018000,0.013000,0.013000,0.017000,0.013000,0.013000,0.013000,0.013000,0.013000,0.011500,0.013000,0.013000,0.016500,0.013000,0.018500,0.013000,0.013000,0.013000,0.013000,0.013000,0.016500,0.012300,0.012300,0.016500,0.013000,0.021500,0.013000,0.013000,0.015000
ST OD,,N/A,0.030200,0.034200,0.030200,0.034200,0.031800,0.031800,0.030400,0.030400,0.034900,0.030400,0.028600,0.056000,0.037000,0.031800,0.031800,0.031800,0.035000,0.045800,0.028600,0.035000,0.028600,0.031800,0.056000,0.028900,0.031800,0.034900,0.031800,0.031800,0.031800,0.031800,0.045000,0.031800,0.028600,0.050000,0.031800,0.031800,0.050000,0.028600,0.031800,0.031800,0.031800,0.031800,0.030000,0.028600,0.031800,0.028000,0.050000,0.031800,0.055000,0.030200,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.034900,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.056000,0.031800,0.026000,0.031800,0.031800,0.031800,0.034800,0.031800,0.031800,0.035000,0.031800,0.031800,0.031800,0.034900,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.050000,0.050000,0.031800,0.028600,0.028600,0.031800,0.031800,0.031800,0.031800,0.030000,0.031800,0.028000,0.028600,0.031800,0.031800,0.027200,0.030000,0.031800,0.031800,0.035800,0.027200,0.031800,0.031800,0.028600,0.028600,0.031800,0.028600,0.031800,0.031800,0.031800,0.031800
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.02,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.048000,0.059200,0.048000,0.060000,0.049900,0.047900,0.060000,0.060000,0.048400,0.060000,0.030700,0.021700,0.054800,0.062200,0.049500,0.049900,0.044800,0.063800,0.044000,0.044800,0.044000,0.051300,0.021700,0.043100,0.048000,0.047700,0.048000,0.049900,0.043100,0.049900,0.068600,0.049900,0.040900,0.055800,0.055600,0.062400,0.055800,0.034700,0.049900,0.054000,0.049600,0.035300,0.040000,0.035300,0.046900,0.041000,0.073900,0.044400,0.022000,0.060500,0.050100,0.049900,0.045700,0.045500,0.052500,0.045500,0.049300,0.049900,0.051900,0.048300,0.060000,0.048000,0.049900,0.048300,0.049000,0.049000,0.049900,0.065900,0.049300,0.048000,0.021700,0.055500,0.033800,0.050800,0.031900,0.057600,0.046400,0.050600,0.036900,0.070000,0.049100,0.049900,0.105300,0.046900,0.061000,0.049900,0.043500,0.048600,0.036000,0.030800,0.047000,0.045600,0.047900,0.058400,0.058400,0.048200,0.042400,0.044900,0.055000,0.060000,0.075000,0.070000,0.110500,0.048500,0.038700,0.044900,0.056800,0.044600,0.050500,0.046200,0.055000,0.051400,0.050800,0.038600,0.051600,0.050000,0.042200,0.041100,0.056700,0.041800,0.048000,0.043100,0.049100,0.036000
ST UX,,N/A,0.062000,0.048900,0.062000,0.062000,0.049100,0.046900,0.062000,0.062000,0.050400,0.062000,0.019500,0.043300,0.055500,0.069900,0.037100,0.049100,0.027300,0.062300,0.300000,0.027300,0.035000,0.028700,0.043300,0.021900,0.045000,0.038500,0.045000,0.045000,0.024400,0.049000,0.048700,0.045000,0.026500,0.032600,0.055800,0.071000,0.032600,0.023900,0.049700,0.040100,0.032600,0.025000,0.025000,0.014100,0.034500,0.025600,0.045800,0.032200,0.016500,0.065000,0.048400,0.048600,0.044200,0.031600,0.050000,0.031600,0.047600,0.045000,0.036000,0.025600,0.040000,0.062000,0.049000,0.025600,0.066900,0.041600,0.045000,0.047000,0.048600,0.044100,0.043300,0.022600,0.021600,0.048800,0.025500,0.039800,0.051200,0.037200,0.033700,0.062000,0.048200,0.049200,0.046100,0.031800,0.240000,0.049000,0.038900,0.050100,0.034700,0.026800,0.020400,0.037400,0.047100,0.054500,0.054500,0.050400,0.201600,0.201600,0.052500,0.075000,0.040000,0.050000,0.050000,0.273200,0.049900,0.201600,0.052000,0.035000,0.049200,0.057900,0.065300,0.052100,0.023500,0.046300,0.052200,0.030000,0.120700,0.120700,0.032800,0.024000,0.045000,0.039100,0.049100,0.034700
HT UX,,N/A,0.023500,0.032000,0.023500,0.023500,0.030600,0.036000,0.023500,0.023500,0.035600,0.023500,0.025200,0.022700,0.030900,0.085500,0.025800,0.030600,0.049000,0.050500,0.030000,0.049000,0.167000,0.040000,0.022700,0.030300,0.024300,0.033500,0.024300,0.043300,0.025300,0.034000,0.061500,0.043300,0.032800,0.030600,0.022500,0.035300,0.030600,0.033200,0.033000,0.021200,0.027100,0.022900,0.035000,0.028500,0.032500,0.040100,0.058800,0.022200,0.023500,0.020000,0.036000,0.034000,0.028100,0.030200,0.031700,0.030200,0.032900,0.070000,0.028700,0.033000,0.035000,0.023500,0.034000,0.033000,0.039500,0.021600,0.065000,0.082400,0.030800,0.038000,0.022700,0.049100,0.025400,0.034400,0.023400,0.021100,0.038600,0.038200,0.018100,0.027000,0.036300,0.034100,0.033700,0.033000,0.026000,0.034000,0.034000,0.026200,0.017300,0.023500,0.027500,0.052700,0.037200,0.035600,0.035600,0.026300,0.028900,0.028900,0.023100,0.040000,0.060000,0.045000,0.155500,0.037300,0.032500,0.028900,0.029600,0.025100,0.033500,0.029600,0.039600,0.029900,0.046600,0.022700,0.029700,0.025700,0.031500,0.029900,0.025700,0.021500,0.024300,0.030300,0.033900,0.017300
HT Angle,,deg,70.5,71.5,70.5,70,73,73,70.5,71,73,70,72.5,73.5,73,70,72,73,77,73,74,75,72,73,73.5,76,71.5,73,71.5,73,72.5,73,77.5,73,73.5,73,71,63,73,72,73,70.5,72.5,74.5,74,72,68.5,73,77.5,75.5,73,72,71.5,75,69.5,70,73,70,73,74,74,73,71.25,68,73,73,71.5,69,74,73,73,73,73.5,73.75,73,73,72.5,73,70,72,71.5,70,71.5,67,78.5,73,71,73,70,71,71.5,72.5,71.5,71.5,73,77.5,77.5,70,73,73,70.5,73,73,75,75,73,73,73,70,78,74.5,68.5,75,71,71,74,71,71,72,71,71,76,71.5,70.5,73,69
HT Length,,m,0.15,0.17,0.15,0.145,0.145,0.1798,0.165,0.135,0.2204,0.125,0.1442,0.1324,0.145,0.145,0.1025,0.145,0.1446,0.145,0.1238,0.2685,0.2673,0.1507,0.1324,0.186,0.105,0.1098,0.105,0.23,0.11,0.145,0.18,0.2614,0.1808,0.1511,0.1173,0.0853,0.1504,0.1481,0.125,0.12,0.213,0.11,0.1561,0.1213,0.115,0.1201,0.2,0.0898,0.1383,0.11,0.11,0.0411,0.115,0.115,0.106,0.115,0.1106,0.3,0.1273,0.15,0.1557,0.135,0.145,0.15,0.145,0.1248,0.3,0.249,0.1525,0.1761,0.096,0.1599,0.1099,0.145,0.0963,0.1193,0.12,0.1299,0.105,0.1383,0.125,0.1593,0.0956,0.124,0.14,0.145,0.1166,0.125,0.0977,0.1003,0.11,0.201,0.1787,0.122,0.122,0.125,0.1554,0.17,0.124,0.23,0.23,0.15,0.1774,0.2224,0.1239,0.17,0.17,0.1145,0.145,0.1202,0.15,0.1,0.1206,0.1,0.1,0.1536,0.1186,0.1223,0.1257,0.18,0.105,0.1083,0.145,0.0977
ST Length,,N/A,0.505000,0.570000,0.505000,0.480000,0.515100,0.573900,0.520000,0.520000,0.585400,0.520000,0.547500,0.590300,0.521500,0.619900,0.432100,0.515100,0.612300,0.528300,0.500000,0.612300,0.420000,0.585000,0.590300,0.611900,0.305000,0.558500,0.305000,0.680000,0.244400,0.515000,0.568700,0.680000,0.570000,0.532600,0.510000,0.537000,0.532600,0.593900,0.474700,0.320000,0.605000,0.170000,0.545000,0.534100,0.300500,0.545600,0.585800,0.157200,0.576500,0.485000,0.518400,0.514600,0.300200,0.301600,0.510000,0.301600,0.520000,0.640000,0.476000,0.540000,0.600000,0.480000,0.515000,0.540000,0.612900,0.341400,0.630000,0.647000,0.515000,0.614100,0.550000,0.575000,0.451600,0.514800,0.205500,0.290000,0.533000,0.557200,0.293700,0.520000,0.520000,0.515200,0.428000,0.556800,0.450000,0.515000,0.460000,0.306100,0.294700,0.206800,0.220400,0.597400,0.597100,0.584500,0.584500,0.306400,0.730000,0.730000,0.482600,0.667000,0.632000,0.300000,0.350000,0.900000,0.549900,0.730000,0.532000,0.185000,0.589200,0.467900,0.300000,0.432000,0.533500,0.248000,0.432000,0.590000,0.590700,0.590700,0.321800,0.614000,0.305000,0.479100,0.515100,0.294700
BB Length,,m,0.1,0.073,0.1,0.1,0.068,0.068,0.1,0.1,0.068,0.1,0.068,0.068,0.068,0.08,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.1,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.1,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.17,0.068,0.068,0.068,0.064,0.068,0.068,0.1,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.07,0.068,0.068,0.068,0.068,0.068,0.068,0.1,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
Dropout Offset,,N/A,0.135000,0.135000,0.135000,0.135000,0.130000,0.130000,0.135000,0.135000,0.130000,0.135000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.135000,0.130000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.130000,0.130000,0.130000,0.135000,0.130000,0.135000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.130000,0.130000,0.135000,0.135000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.135000,0.130000,0.130000,0.130000,0.135000,0.135000,0.130000,0.120000,0.135000,0.130000,0.130000,0.130000,0.135000,0.130000,0.135000,0.135000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.120000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.135000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000
SSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Material,,N/A,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
