Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS OD,,N/A,0.035000,0.019500,0.020000,0.020000,0.020000,0.026000,0.020850,0.020850,0.023350,0.025000,0.023350,0.026000,0.017750,0.023350,0.018000,0.020000,0.002350,0.022000,0.021000,0.035000,0.023350,0.023350,0.035000,0.017750,0.023350,0.023350,0.019500,0.023350,0.018000,0.028350,0.036350,0.018000,0.019500,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.022700,0.022500,0.023350,0.036350,0.040000,0.027500,0.026000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.018000,0.025700,0.017350,0.018000,0.020000,0.017350,0.023350,0.023350,0.016500,0.016500,0.026000,0.016500,0.016500,0.017350,0.043350,0.023350,0.023850,0.017350,0.018750,0.023350,0.043350,0.023850,0.023350,0.023350,0.023350,0.023350,0.043350,0.023350,0.023350,0.023350,0.023350,0.015000,0.023350,0.023350,0.024850,0.023350,0.031000,0.031000,0.035000,0.024850,0.027500,0.023350,0.035000,0.023350,0.030000,0.022250
SS OD,,N/A,0.019000,0.012500,0.016500,0.016500,0.016500,0.018000,0.012500,0.012500,0.013000,0.016500,0.013000,0.013000,0.010500,0.013000,0.015000,0.020000,0.007500,0.016500,0.012500,0.019000,0.013000,0.013000,0.019000,0.010500,0.013000,0.013000,0.013000,0.013000,0.015000,0.018000,0.016500,0.035000,0.013000,0.013000,0.015000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.014425,0.018000,0.013000,0.016500,0.026500,0.016500,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.015000,0.018000,0.010500,0.015000,0.015425,0.013000,0.013000,0.013000,0.014000,0.054000,0.017500,0.011500,0.011500,0.013000,0.020000,0.013000,0.013000,0.010500,0.013000,0.013000,0.020000,0.013000,0.013000,0.013000,0.013000,0.013000,0.020000,0.013000,0.013000,0.013000,0.013000,0.010000,0.013000,0.014000,0.016500,0.013000,0.016500,0.016500,0.017500,0.016500,0.017500,0.013000,0.017500,0.013000,0.016500,0.013000
ST OD,,N/A,0.031800,0.028600,0.031800,0.031800,0.031800,0.031800,0.028600,0.028600,0.031800,0.031800,0.031800,0.031800,0.028600,0.031800,0.026800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.028600,0.031800,0.028600,0.028600,0.031800,0.026800,0.041800,0.038000,0.026800,0.028600,0.028600,0.028600,0.031800,0.031800,0.031800,0.031800,0.028000,0.031800,0.031800,0.028600,0.031800,0.031800,0.038000,0.050000,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.029000,0.034900,0.028600,0.029000,0.025400,0.034900,0.028000,0.028600,0.034900,0.034900,0.038600,0.034900,0.034900,0.034900,0.031800,0.031800,0.034900,0.028600,0.028600,0.031800,0.031800,0.034900,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.034900,0.031800,0.031800,0.031800,0.034900,0.028000,0.035000,0.029000
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.057200,0.117600,0.054700,0.054700,0.054700,0.054700,0.045000,0.035000,0.049100,0.040000,0.035000,0.035000,0.046000,0.048500,0.058800,0.060000,0.050500,0.050700,0.049100,0.057200,0.049800,0.049800,0.057200,0.046000,0.034600,0.039700,0.046600,0.049900,0.026200,0.072900,0.041200,0.062400,0.046600,0.042400,0.048000,0.047400,0.047400,0.043000,0.049900,0.038400,0.059900,0.052200,0.055000,0.035000,0.049600,0.041200,0.051500,0.040000,0.045000,0.044700,0.048500,0.048500,0.047500,0.047500,0.046800,0.037000,0.040500,0.030600,0.037000,0.025000,0.051800,0.039000,0.031100,0.042600,0.051500,0.044000,0.052500,0.049000,0.041000,0.074300,0.047800,0.040900,0.044000,0.035700,0.047700,0.074300,0.041700,0.047800,0.049900,0.049900,0.045200,0.074300,0.049900,0.048700,0.048700,0.046200,0.033800,0.047700,0.035000,0.044600,0.049300,0.035000,0.035000,0.045000,0.044600,0.047400,0.036800,0.045000,0.031000,0.048000,0.029100
ST UX,,N/A,0.047800,0.015600,0.040400,0.040400,0.040400,0.040400,0.040000,0.040000,0.048400,0.053900,0.020000,0.050000,0.025600,0.020000,0.034000,0.040000,0.050800,0.044800,0.047000,0.047800,0.047200,0.047300,0.047800,0.025600,0.070600,0.010300,0.037400,0.047000,0.127900,0.057700,0.070000,0.035700,0.037400,0.032400,0.040000,0.047800,0.047800,0.052200,0.047400,0.035300,0.048400,0.032700,0.567000,0.025000,0.028300,0.090000,0.054700,0.100000,0.025000,0.037500,0.047400,0.047400,0.046800,0.046800,0.047800,0.022800,0.040200,0.030000,0.022800,0.005000,0.049300,0.042500,0.014400,0.048500,0.041500,0.055000,0.048100,0.048100,0.049200,0.051300,0.058900,0.049200,0.310000,0.029300,0.040000,0.051300,0.049100,0.046600,0.049000,0.049000,0.047200,0.051300,0.049000,0.048400,0.048400,0.031700,0.065100,0.046400,0.020500,0.040700,0.046600,0.101200,0.101200,0.056600,0.032700,0.046100,0.035100,0.056600,0.021700,0.037300,0.012900
HT UX,,N/A,0.028700,0.041000,0.019100,0.019100,0.019100,0.019100,0.020000,0.027000,0.035100,0.027100,0.038200,0.065000,0.040000,0.030000,0.025700,0.030000,0.080500,0.016900,0.037100,0.028700,0.036800,0.037000,0.028700,0.040000,0.037800,0.043300,0.030300,0.037500,0.001800,0.044800,0.015000,0.023600,0.030300,0.037000,0.033000,0.036700,0.036700,0.033000,0.037100,0.029400,0.036500,0.047300,0.013000,0.030000,0.032700,0.015000,0.038700,0.035000,0.030000,0.052900,0.036500,0.036500,0.037900,0.037900,0.038500,0.032200,0.033600,0.023100,0.032200,0.010000,0.033100,0.042700,0.048500,0.030700,0.038700,0.037000,0.034200,0.020000,0.028100,0.037000,0.034300,0.028100,0.030000,0.032600,0.040700,0.037000,0.028400,0.038500,0.034000,0.034000,0.034600,0.037000,0.034000,0.035000,0.035000,0.031200,-0.009000,0.034300,0.030000,0.020400,0.037700,0.022600,0.022600,0.035000,0.020400,0.055600,0.023500,0.035000,0.032800,0.041700,0.022600
HT Angle,,deg,73,72,72,72,72,72,71,69.5,74,72,73,62.5,74,74.5,70.44,70,74.56374,71.5,73,73,72.5,72.5,73,74,50,72.5,74,73,70.94,74,66,70.44,74,73,72,73,73,67.55061,73,72,73,43.5,68,72.5,73,70,75,75,74,73,75,75,73,73,73,73.00195,73,75,73.00195,69,73,72,71.5,72.5,72,70,73.5,72.5,73,73,73,73,50,75,74,73,72.5,74,73,73,80.5,73,73,74.5,73,73.5,72.5,74,73,73.5,74.5,69,67,67,73.5,71.5,75,67,74,74,72.19463
HT Length,,m,0.0985,0.2667,0.1,0.1,0.1,0.1,0.11,0.11,0.148,0.1,0.17,0.15,0.1753,0.1469,0.11,0.1658,0.15,0.1,0.13,0.0985,0.135,0.1427,0.0985,0.1753,0.145,0.2169,0.1807,0.15,0.11,0.145,0.1,0.11,0.1807,0.1316,0.1433,0.21,0.21,0.1151,0.145,0.0845,0.145,0.0888,0.14,0.1381,0.16,0.1107,0.12,0.11,0.1026,0.1533,0.1289,0.1289,0.1428,0.1428,0.1685,0.1104,0.191,0.1074,0.1104,0.1562,0.1496,0.1526,0.0945,0.1649,0.1248,0.1453,0.1688,0.1468,0.1453,0.145,0.1666,0.1465,0.1273,0.1496,0.1468,0.145,0.1061,0.15,0.145,0.145,0.145,0.145,0.145,0.1337,0.1644,0.1509,0.0144,0.11,0.08,0.115,0.1447,0.1,0.1,0.12,0.115,0.1,0.1103,0.12,0.1192,0.1628,0.1505
ST Length,,N/A,0.520000,0.505600,0.290400,0.290400,0.290400,0.280400,0.435000,0.436000,0.525000,0.353900,0.580000,0.425000,0.630000,0.577000,0.310000,0.380000,0.610800,0.304800,0.547000,0.520000,0.558200,0.568300,0.520000,0.630000,0.443000,0.565300,0.607400,0.587000,0.310000,0.333700,0.350000,0.310000,0.607400,0.572400,0.560000,0.627800,0.627800,0.432000,0.572400,0.450300,0.514400,0.507700,0.567000,0.530000,0.585000,0.400000,0.400000,0.700000,0.605000,0.587500,0.567400,0.567400,0.586800,0.586800,0.647800,0.552800,0.582200,0.530000,0.552800,0.535000,0.539300,0.592500,0.494400,0.573500,0.541500,0.510000,0.573100,0.588100,0.539200,0.407300,0.570000,0.539200,0.550000,0.569300,0.665000,0.407300,0.499100,0.515000,0.515000,0.515000,0.447200,0.407300,0.515000,0.514400,0.568400,0.601700,0.415000,0.566400,0.580500,0.278000,0.586600,0.330000,0.330000,0.400000,0.270000,0.546100,0.222250,0.400000,0.620000,0.620000,0.585000
