Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
BB Length,,m,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.17,0.1,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.17,0.068,0.068,0.17,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.05,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.17,0.068,0.068,0.17,0.068,0.068,0.068,0.068,0.068,0.068,0.1,0.068,0.06,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.073,0.073,0.068,0.068,0.068,0.073,0.068,0.068,0.068
Dropout Offset,,N/A,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.135000,0.130000,0.120000,0.135000,0.130000,0.130000,0.135000,0.170000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.135000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.120000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.120000,0.135000,0.130000,0.135000,0.120000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.135000,0.120000,0.120000,0.110000,0.130000,0.130000,0.130000,0.130000,0.110000,0.120000,0.110000,0.130000,0.120000,0.120000,0.135000
SSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.000000,0.000000,0.000000,0.016000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000,0.018000,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Material,,N/A,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, normalized at 870C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
SS Z,,N/A,0.009000,0.028000,0.009000,0.009000,0.009000,0.009000,0.014000,0.014000,0.009000,0.009000,0.009000,0.009000,0.006000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.006000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.012000,0.009000,0.009000,0.012300,0.009000,0.009000,0.009000,0.009000,0.007000,0.009000,0.009000,0.030000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.010600,0.009000,0.030000,0.009000,0.007000,0.007000,0.009000,0.009000,0.011200,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.010600,0.025000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.008000,0.009000,0.009000,0.007000,0.008000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.003124,0.005611,0.002551,0.001471,0.008922,0.001000,0.001068,0.003663,0.006336,0.000984,0.001154,0.007217,0.004167,0.000687,0.009261,0.001000,0.003014,0.001425,0.001265,0.007747,0.001675,0.007076,0.003124,0.000889,0.002131,0.001000,0.000523,0.000874,0.001226,0.003924,0.004382,0.002549,0.003509,0.003542,0.002254,0.001000,0.004219,0.002210,0.003195,0.005833,0.001455,0.000531,0.004058,0.009776,0.000945,0.008244,0.004029,0.001962,0.006782,0.009445,0.004549,0.004268,0.003850,0.000727,0.001000,0.009740,0.005006,0.004851,0.002223,0.004623,0.005624,0.000887,0.001911,0.008671,0.001000,0.001064,0.000702,0.009804,0.002972,0.003610,0.000642,0.003440,0.001089,0.004070,0.001000,0.009812,0.005335,0.001028,0.003629,0.000547,0.003133,0.003545,0.000881,0.002167,0.001000,0.004460,0.007524,0.000748,0.002700,0.000529,0.002495,0.001044,0.000721,0.000530,0.001000,0.007960,0.008551,0.001072,0.007793,0.001979,0.001972
CS Thickness,,N/A,0.001737,0.002452,0.000747,0.003723,0.003076,0.001200,0.008754,0.002386,0.000582,0.003839,0.002330,0.002615,0.000947,0.006747,0.001850,0.001200,0.004182,0.008844,0.002053,0.001128,0.001550,0.001172,0.001737,0.000749,0.001935,0.001200,0.003089,0.008172,0.001809,0.003212,0.000643,0.006922,0.003509,0.000733,0.002667,0.001200,0.001455,0.005906,0.002650,0.000598,0.001309,0.006872,0.004746,0.000669,0.000745,0.000690,0.001078,0.002432,0.001970,0.001037,0.000909,0.003186,0.003440,0.000558,0.001200,0.008766,0.006927,0.001494,0.003720,0.006331,0.001124,0.001352,0.005470,0.001011,0.001200,0.000945,0.006336,0.003817,0.000915,0.000747,0.001445,0.009020,0.005872,0.005227,0.001200,0.006420,0.003642,0.002679,0.000611,0.008974,0.006811,0.001386,0.006572,0.002308,0.001200,0.000543,0.005980,0.000554,0.001180,0.001429,0.003973,0.007091,0.000538,0.000860,0.001200,0.004133,0.001008,0.001911,0.001022,0.009047,0.004121
TT Thickness,,N/A,0.003941,0.004626,0.001635,0.001405,0.001506,0.000900,0.000967,0.001373,0.002210,0.000755,0.009268,0.002592,0.002020,0.005546,0.005382,0.000900,0.003233,0.001529,0.000587,0.000649,0.001643,0.002636,0.003941,0.002803,0.006669,0.000900,0.000532,0.002282,0.004963,0.000702,0.001051,0.001883,0.000714,0.003476,0.001627,0.000900,0.000712,0.004784,0.002413,0.000521,0.001356,0.000876,0.003197,0.000568,0.000653,0.000614,0.004240,0.001164,0.001437,0.003814,0.002989,0.003005,0.001575,0.002878,0.000900,0.001213,0.006591,0.002192,0.001565,0.001202,0.003663,0.006189,0.002411,0.005782,0.000900,0.000841,0.006486,0.001445,0.000768,0.001477,0.002687,0.002041,0.000682,0.007668,0.000900,0.000718,0.001826,0.000658,0.004300,0.007708,0.006892,0.007029,0.002481,0.003558,0.000900,0.001630,0.003170,0.001247,0.009173,0.002851,0.000661,0.002194,0.001882,0.005740,0.000900,0.001780,0.001084,0.002324,0.004247,0.003230,0.003378
BB Thickness,,m,0.001064,0.0032,0.002817,0.002461,0.00071655,0.002,0.004325,0.001653,0.002262,0.00346,0.007507,0.007217,0.00097635,0.006495,0.00181,0.002,0.006998,0.003309,0.001766,0.003496,0.002338,0.003212,0.001064,0.00064069,0.001757,0.002,0.001326,0.001048,0.00084287,0.00341,0.004812,0.001523,0.003195,0.004944,0.00069946,0.002,0.006777,0.004674,0.001659,0.00077488,0.004941,0.003292,0.008142,0.00089825,0.00201,0.002681,0.001665,0.00066455,0.001086,0.004467,0.001171,0.005178,0.00099655,0.00091282,0.002,0.001489,0.002838,0.001248,0.00072287,0.008495,0.00131,0.00080786,0.002002,0.00072128,0.002,0.001956,0.00179,0.004887,0.004556,0.00052665,0.00108,0.001165,0.001313,0.003537,0.002,0.009869,0.001516,0.009274,0.00365,0.006207,0.003936,0.009985,0.007629,0.001725,0.002,0.001321,0.002126,0.006792,0.004312,0.009571,0.00251,0.00071341,0.00391,0.004753,0.002,0.003428,0.005355,0.007307,0.0005407,0.008446,0.004194
HT Thickness,,m,0.001387,0.003423,0.003478,0.001883,0.008974,0.0011,0.001741,0.001207,0.005636,0.002726,0.008844,0.004055,0.00813,0.0043,0.004234,0.0011,0.002441,0.005162,0.003346,0.002553,0.00777,0.00825,0.001387,0.00277,0.005949,0.0011,0.007879,0.003979,0.008526,0.001763,0.001679,0.001013,0.004869,0.003674,0.001499,0.0011,0.00094889,0.002371,0.00099146,0.001991,0.001364,0.005748,0.0006549,0.00081439,0.001402,0.001027,0.001886,0.002824,0.002632,0.00066116,0.00143,0.003319,0.002123,0.004112,0.0011,0.002935,0.00065156,0.004916,0.00058557,0.007702,0.001032,0.005132,0.00197,0.003873,0.0011,0.008608,0.001921,0.007328,0.008238,0.00634,0.003761,0.00161,0.003195,0.004973,0.0011,0.003927,0.001181,0.003259,0.002162,0.009241,0.003101,0.009898,0.001901,0.00076586,0.0011,0.00097421,0.004774,0.003901,0.006787,0.004319,0.003144,0.002051,0.001723,0.008012,0.0011,0.002146,0.003266,0.00051372,0.00052281,0.005204,0.00096006
ST Thickness,,m,0.002447,0.0005916,0.00088455,0.006861,0.001429,0.0009,0.004708,0.007024,0.00084658,0.002274,0.00089235,0.00078802,0.007107,0.00053558,0.00634,0.0009,0.001392,0.00065826,0.002397,0.00074269,0.006713,0.002186,0.002447,0.005121,0.002051,0.0009,0.002716,0.005587,0.001113,0.004795,0.00095726,0.00344,0.00092424,0.003174,0.005273,0.0009,0.003022,0.003368,0.00069793,0.001004,0.00050441,0.005715,0.001956,0.001387,0.004467,0.007685,0.001789,0.009153,0.00777,0.00077885,0.001125,0.004552,0.00074487,0.00085217,0.0009,0.00092154,0.003089,0.00208,0.00067385,0.002933,0.003047,0.00092966,0.008458,0.00091282,0.0009,0.00083367,0.005254,0.0008865,0.009876,0.008954,0.005189,0.005219,0.003944,0.002598,0.0009,0.004905,0.002369,0.001091,0.00096429,0.002901,0.006912,0.001814,0.006055,0.001537,0.0009,0.001148,0.00074705,0.001034,0.001319,0.002066,0.001402,0.00098136,0.001626,0.00253,0.0009,0.00053952,0.002299,0.00065299,0.003078,0.004444,0.00094889
DT Thickness,,m,0.00078171,0.003545,0.00054747,0.006821,0.002256,0.0009,0.003904,0.002494,0.0006245,0.003249,0.00078457,0.001382,0.002142,0.00234,0.00166,0.0009,0.007596,0.00080315,0.008532,0.005273,0.001737,0.00168,0.00078171,0.00055108,0.001255,0.0009,0.00511,0.0008008,0.008831,0.008458,0.00055229,0.00277,0.009712,0.003674,0.002056,0.0009,0.00477,0.001352,0.00093511,0.001122,0.002952,0.005615,0.005446,0.008262,0.004848,0.001039,0.008837,0.00361,0.001591,0.003403,0.001119,0.001006,0.003723,0.006491,0.0009,0.001734,0.006533,0.001295,0.008148,0.003907,0.00090749,0.001203,0.001403,0.008889,0.0009,0.00098784,0.00078918,0.00097921,0.004698,0.00094129,0.001167,0.0009735,0.0008126,0.001439,0.0009,0.002088,0.00217,0.004576,0.004262,0.003933,0.008384,0.007651,0.007217,0.00271,0.0009,0.001556,0.00053519,0.003553,0.001319,0.003005,0.001386,0.0005096,0.00075973,0.006415,0.0009,0.00065826,0.00308,0.00914,0.001916,0.002376,0.00081499
DT Length,,N/A,0.653875,0.626024,0.652783,0.652783,0.652783,0.652380,0.691754,0.654352,0.636837,0.646219,0.636953,0.902395,0.702280,0.684807,0.679293,0.733015,0.633986,0.625186,0.625965,0.653875,0.653018,0.653396,0.653875,0.702280,0.888015,0.678427,0.658445,0.653575,0.650234,0.710825,0.549142,0.681182,0.658445,0.652584,0.639639,0.681825,0.681825,0.657299,0.653639,0.577511,0.657115,0.600809,1.173389,0.634337,0.656952,0.468020,0.652568,0.668891,0.637774,0.653240,0.695236,0.695236,0.681605,0.681605,0.718170,0.693830,0.662127,0.599105,0.693830,0.618247,0.652422,0.647115,0.628251,0.636717,0.632626,0.640683,0.661566,0.643804,0.648553,0.699801,0.680171,0.645691,0.459238,0.638777,0.692058,0.699801,0.632028,0.636419,0.653639,0.653639,0.587084,0.708879,0.653639,0.664316,0.650376,0.659435,0.625558,0.634920,0.600224,0.601523,0.636956,0.614519,0.624861,0.667153,0.601523,0.646653,0.517521,0.667153,0.583320,0.653421,0.656860
Dropout X Displacement,Monitor Only, m,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,Rebuild Error,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Simulation Eccentric Stiffness (3) fails.,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
Dropout Y Displacement,Monitor Only, m,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,Rebuild Error,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Simulation Eccentric Stiffness (3) fails.,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
