, CS Length, BB Drop, Stack, SS E, ST Angle, BB OD, TT OD, HT OD, DT OD, CS OD, SS OD, ST OD, CS F, HT LX, ST UX, HT UX, HT Angle, HT Length, ST Length, BB Length, Dropout Offset, SSB OD, CSB OD, Material, SSB Offset, CSB Offset, SS Z, SS Thickness, CS Thickness, TT Thickness, BB Thickness, HT Thickness, ST Thickness, DT Thickness, DT Length
10,0.44299999999999995,0.040999999999999995,0.5656,0.055,73.0,0.04,0.0327,0.04,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.0681,0.0742,0.0259,72.0,0.105,0.457,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.008,0.0024057385629052195,0.0053940711517290255,0.0012492464335147092,0.008172086214642767,0.0016640284782398489,0.0025063167079435607,0.0018706056370555886,0.6739015050364934
12,0.444,0.0575,0.5656,0.055,73.0,0.04,0.03015,0.05,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.05,0.0709,0.0242,71.0,0.1054,0.457,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.008,0.0008628298760952751,0.0016860799791488948,0.006727322105003753,0.009840383994193307,0.0005262648982944276,0.0008603093389484793,0.002437619114711008,0.6737233493814868
16,0.425,0.02,0.5656,0.045,72.0,0.03,0.0277,0.04,0.0365,0.023350000000000003,0.0185,0.03,0.015,0.04,0.05,0.04,67.9999999999999,0.136,0.48,0.1,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.0112,0.004572264273770565,0.0005021989611482943,0.0019346099427674246,0.00730158694800967,0.009754397165798923,0.002569422451580361,0.005065241110715148,0.6582061294403003
37,0.4069,0.06999999999999901,0.5656,0.03,74.0,0.04,0.0277,0.038,0.0365,0.023350000000000003,0.013000000000000001,0.035,0.015,0.0494,0.0856,0.0361,74.0,0.1179,0.6156,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.0015153172500776985,0.002127579863974754,0.0006525125678446247,0.00613508103468029,0.004218825418548721,0.001000201031863291,0.0007552934807892246,0.6432086377161369
42,0.395,0.06,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.027999999999999997,0.015,0.0349,0.015,0.03,0.035,0.03,73.0,0.1236,0.57,0.068,0.12,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.0005571599326632545,0.005207991006032555,0.0007207541347403677,0.0007421514042488844,0.008664503507170634,0.0021028278633100322,0.001363842536472871,0.6298876707052952
65,0.405,0.07,0.5656,0.045,74.0,0.04,0.0291,0.037000000000000005,0.0365,0.021,0.016649999999999998,0.0318,0.015,0.046700000000000005,0.0475,0.0328,73.0,0.1277,0.5825,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.007634717150796852,0.007065187937140586,0.0006984396219587075,0.004980747603862464,0.0006704113359183829,0.0009468141233141,0.001990586948477055,0.6542008022461495
78,0.39,0.055,0.5656,0.045,74.5,0.04,0.0286,0.045,0.0365,0.027999999999999997,0.015,0.0349,0.015,0.04,0.035,0.03,74.0,0.157,0.58,0.068,0.12,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.007581854161458266,0.0025873372450822838,0.00560111946897883,0.004211118555697121,0.00666609953116453,0.0036194882666003322,0.002126801971590306,0.6346794211513124
79,0.39,0.057999999999999996,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.027999999999999997,0.015,0.0349,0.015,0.04,0.035,0.04,73.0,0.1347,0.57,0.068,0.12,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.00187883241529492,0.0017772472029941927,0.000723923955419901,0.004791372302939865,0.007718936464158104,0.001398182289782914,0.0025099855301674674,0.6335971862538295
111,0.41,0.069,0.5656,0.045,73.0,0.04,0.0327,0.04,0.0365,0.025,0.02,0.0318,0.015,0.0513,0.0287,0.04,73.0,0.1507,0.585,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.00837784854946845,0.00725898981394138,0.0075846272765347856,0.0005514841021247396,0.0044404394596289755,0.0008729860881368232,0.0032374863497188523,0.6643421379448645
129,0.39899999999999997,0.07,0.5656,0.045,74.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.0497,0.033,73.0,0.125,0.4747,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0007547412762415956,0.0020496821702228754,0.003006954690257672,0.0009537643171526547,0.008721725025828526,0.002154198177230929,0.0025228687525180107,0.6536386402787728
141,0.43,0.07,0.5656,0.045,74.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0501,0.0484,0.036000000000000004,71.5,0.11,0.5184,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.002307508322371189,0.0072962486661097845,0.0032068503990493576,0.0008634611633938612,0.0025675439145631204,0.0005197621150005815,0.0036903238620406187,0.6583081495403621
149,0.41198999999999997,0.07,0.5656,0.08,72.0,0.04,0.03,0.045,0.0365,0.0285,0.012,0.0318,0.015,0.0519,0.036000000000000004,0.0287,74.0,0.1273,0.47600000000000003,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.01,0.00934926880558158,0.004268484437903682,0.008513741490588289,0.0021028278633100322,0.003358069341865441,0.0050578372954608,0.0005804534498313395,0.6274966227903812
160,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0493,0.0486,0.0308,73.0,0.1525,0.515,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0016922570922575893,0.0039012581273202367,0.0017759478352481226,0.0006332364063331858,0.006663662251066582,0.0017655870344283808,0.003078159933263616,0.6533098002623892
163,0.41,0.071,0.5656,0.045,73.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0555,0.0226,0.049100000000000005,73.75,0.1599,0.575,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.005399992072197682,0.002328700865025336,0.0006279326733766298,0.004570592548248777,0.002142413996796513,0.0007814221725637075,0.004048043934521407,0.6613951845749583
175,0.42,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0349,0.015,0.0469,0.0318,0.033,73.0,0.124,0.5568,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.0016042758309607337,0.0012584166651908692,0.0041636492503344495,0.0011031899360027305,0.000545068204374667,0.0013900253563828362,0.003938527951810015,0.6457971993630364
178,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0008982455195910828,0.001964552934404938,0.0016676835978889325,0.0006472840475391277,0.0010291413663636394,0.002548833917161992,0.0033951125339844674,0.6536386402787728
208,0.444,0.055,0.5656,0.045,73.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0514,0.0521,0.0299,71.0,0.1,0.43200000000000005,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.002724245591441572,0.0023604235481439646,0.0005514841021247396,0.0075846272765347856,0.003053494934445588,0.0026846864523447944,0.0010527413886150323,0.7160585108807965
211,0.444,0.06,0.5656,0.045,73.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0516,0.0522,0.0297,71.0,0.1,0.43200000000000005,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.008328972553002665,0.0031075664674431428,0.001173090642385145,0.003607595353215122,0.0008989027186557419,0.0028631584802119373,0.000763066901251008,0.721017488299558
218,0.405,0.077,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0431,0.0391,0.0303,70.5,0.1083,0.4791,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0034628230474944184,0.0010223893727244694,0.0006928430925958519,0.00556233716533555,0.0008090462665761541,0.0034125389251547463,0.000998739047429528,0.6338033029858372
249,0.425,0.075,0.5656,0.045,73.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0506,0.0338,0.038700000000000005,72.0,0.15009999999999998,0.5038,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.006962593386477362,0.0037392275803739385,0.0008361167053058183,0.0017916031462992539,0.0025939688724233912,0.001339131958042166,0.0006832817801262211,0.6619156472414207
263,0.425,0.073,0.5656,0.045,73.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0489,0.0478,0.046200000000000005,72.5,0.1611,0.5589999999999999,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0032827892093971953,0.0015960834736606392,0.0006953813886449531,0.0072324928937389345,0.0032493471864628843,0.0017785475214193902,0.0055016479474719795,0.6616535934228094
269,0.40316,0.07,0.5656,0.045,72.1,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0508,0.0461,0.0389,78.5,0.145,0.767,0.068,0.12,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0012419583852874313,0.007269615742846573,0.0030939594740873122,0.008029892239375204,0.0011509940519261312,0.003417534302877313,0.0014375862137301762,0.6948789493001127
285,0.425,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0496,0.0497,0.033,72.5,0.145,0.4897,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.009768675947482531,0.002892625879681811,0.0050726557638982595,0.0007799946867315923,0.0027603469592497017,0.0005363680434072163,0.0008565423323271656,0.6506323919599682
303,0.42262,0.037000000000000005,0.5656,0.045,69.6,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0594,0.0356,0.023600000000000003,75.5,0.11,0.31,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0005661973485913027,0.0013342438298669973,0.0006787989030561112,0.0019121029302692442,0.0006650393945097093,0.0077642326527265,0.002805121183155605,0.6172747824104918
322,0.456,0.055,0.5656,0.045,73.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0605,0.0298,0.0431,71.5,0.2316,0.5598,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0011459542342484598,0.0005661973485913027,0.0035035833017543552,0.0007834250427555898,0.0010651330141995263,0.005811862981879628,0.0025026532484025642,0.7113762870282603
327,0.55,0.06,0.5656,0.045,60.0,0.04,0.0627,0.06,0.0365,0.06,0.0065,0.14,0.015,0.0664,0.0384,0.0611,60.0,0.2131,0.4584,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0008137939040805635,0.0014824311730560345,0.005139877974726767,0.0020753258995166207,0.004375959236999218,0.001637467920315326,0.0014396905959229776,0.717806297161361
362,0.413,0.07,0.5656,0.045,75.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.0486,0.0356,72.0,0.126,0.5147,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0007831386044484483,0.002527485911406101,0.0014079308412459474,0.003255293889884334,0.0007215452863194278,0.004682248275331676,0.007352495829236838,0.6416320769075304
373,0.435,0.07300000000000012,0.5656,0.045,73.50000000000001,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0507,0.0482,0.0357,72.00000000000001,0.115,0.5182,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0009351148306509977,0.0043823648985218564,0.0006281623440517046,0.0007754442323605303,0.004085221847561412,0.0008318470113652568,0.0005270352607743188,0.6511482971469821
374,0.435,0.073,0.5656,0.045,73.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0507,0.0484,0.0354,72.0,0.12,0.5182,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.009733018117164751,0.000941290451756706,0.0015342754992734304,0.002750271081615897,0.0005946334388140647,0.0032636375629035864,0.009978082655164856,0.6511482971469819
407,0.375,0.045,0.5656,0.06,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.015,0.0318,0.015,0.045700000000000005,0.0398,0.0309,71.0,0.1384,0.4498,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.0112,0.0008072730519749409,0.003340921103790584,0.006605434118627979,0.0023552501264578,0.0014177473625697939,0.002002268091624,0.004209578873398961,0.5773323379537489
412,0.435,0.073,0.5656,0.045,73.49999999999999,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0514,0.0485,0.0351,72.0,0.115,0.5182,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.001256577249396357,0.0012132289006131574,0.007441761587679663,0.005087517647533558,0.0005379394962748726,0.0012061509770736685,0.0019261389334058715,0.6573841653710585
473,0.41700000000000004,0.055,0.5656,0.053,72.0,0.0508,0.0286,0.036000000000000004,0.0365,0.023350000000000003,0.0145,0.0286,0.015,0.055,0.06,0.025,71.0,0.0901,0.45,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0030849212615715266,0.00683644267233216,0.0016398648953975044,0.0059407926597866536,0.001297672498076909,0.003157972767401027,0.0009914611173906986,0.7090939698759195
484,0.445,0.065,0.5656,0.045,73.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0505,0.0519,0.0304,70.5,0.0946,0.43,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0041911465365973895,0.0012465084170279685,0.006248289744378952,0.003020179043334788,0.0016652459604711688,0.0014053588623604714,0.00518139600141197,0.6724345479994399
562,0.405,0.07,0.5656,0.045,75.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0502,0.0458,0.0413,73.5,0.1,0.6058,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.3,0.009000000000000001,0.0012483330937610347,0.008445521700728409,0.0013100695312057472,0.003663432033832161,0.0006568218465060656,0.0016458726951858395,0.001490040177248415,0.6566383941899053
570,0.40504,0.07,0.5656,0.065,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0494,0.049,0.0339,73.0,0.145,0.515,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.3,0.009000000000000001,0.0006857850474048469,0.000789175860969064,0.0011210842347755014,0.00858879170805454,0.0014167108296711097,0.0035293017426575,0.000505885408191653,0.6533645801617829
600,0.435,0.07,0.5656,0.06,72.0,0.04,0.0369,0.05,0.0429,0.023350000000000003,0.015,0.035,0.015,0.0489,0.037000000000000005,0.0422,72.0,0.2,0.54,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.3,0.0123,0.0029373965957889907,0.0039529571206163286,0.008863195817333053,0.008670842869267585,0.009369804930150792,0.0026321912783759693,0.000681285746891569,0.6932265540820185
603,0.43799999999999994,0.075,0.5656,0.06,72.0,0.04,0.0369,0.05,0.0429,0.023350000000000003,0.015,0.035,0.015,0.0492,0.0371,0.042,72.0,0.2,0.54,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.3,0.0123,0.0036580772297108,0.002157351557696486,0.006791590119566511,0.0012465084170279685,0.0034755094264944013,0.0010975564121714883,0.0005732810866191028,0.6967427713422674
