, CS Length, BB Drop, Stack, SS E, ST Angle, BB OD, TT OD, HT OD, DT OD, CS OD, SS OD, ST OD, CS F, HT LX, ST UX, HT UX, HT Angle, HT Length, ST Length, BB Length, Dropout Offset, SSB OD, CSB OD, Material, SSB Offset, CSB Offset, SS Z, SS Thickness, CS Thickness, TT Thickness, BB Thickness, HT Thickness, ST Thickness, DT Thickness, DT Length
1800,0.379,-0.003,0.5656,0.045,69.5,0.04,0.0286,0.045,0.0365,0.02485,0.0165,0.0318,0.015,0.0484,0.032299999999999995,0.0242,69.0,0.1365,0.3433,0.068,0.135,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.001329373544442062,0.003631420386541415,0.0033068868868342035,0.001268581687968336,0.0005129643741501096,0.004142387256808944,0.0010975564121714883,0.5655699771811783
1804,0.4005,0.07,0.5656,0.045,73.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.039200000000000006,0.046700000000000005,0.0285,73.0,0.1185,0.5767,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.00970458559020385,0.009521787905512426,0.0038784983606191406,0.004837145640403802,0.0011964862055644306,0.0021605095541757705,0.0027785766529534713,0.6379796546652984
1808,0.4005,0.07,0.5656,0.045,73.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0393,0.046700000000000005,0.0285,73.0,0.1084,0.5667000000000001,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.003808226364130972,0.003990720840240332,0.0037201329285855094,0.002171598990605734,0.0008318470113652568,0.007164052668337121,0.0037639219302093773,0.6376478750202961
1812,0.41,0.07,0.5656,0.045,73.7,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0388,0.046700000000000005,0.0285,73.0,0.129,0.5867,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0005641306028940367,0.007702018604933554,0.003861515714559453,0.0007170735485946692,0.0005583837616086063,0.005009975578949928,0.004589015195394213,0.6426164550239516
1815,0.38,0.05,0.5656,0.07,75.5,0.04,0.037000000000000005,0.05,0.0365,0.0275,0.0155,0.0318,0.015,0.045,0.045,0.04,75.0,0.1258,0.54,0.068,0.12,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0006943649562145311,0.0027907966171682765,0.0027262387788447363,0.0015387706247059455,0.0015320328632176944,0.004575609559372953,0.000707695258000963,0.6288914610076722
1825,0.47,0.06,0.5656,0.125,67.5,0.04,0.0254,0.0508,0.0365,0.0254,0.0254,0.0254,0.0254,0.05,0.04,0.0529,67.5,0.15,0.56,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.3,0.0127,0.007855624009639009,0.004466496803671621,0.0005881455476193257,0.0014651847523682875,0.00175143955571985,0.0008989027186557419,0.000772048821633812,0.6477836215008403
1831,0.39,0.047,0.5656,0.08,75.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0413,0.031100000000000006,0.0301,75.0,0.1007,0.5711,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0066880752065325184,0.0006689419722753121,0.0009094835375034932,0.003472968437912542,0.0013578707265287848,0.0027402319831665908,0.00674703183555817,0.6226536634506552
1832,0.39,0.047,0.5656,0.08,75.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0413,0.031100000000000006,0.0301,75.0,0.1007,0.5711,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0011121010948720693,0.0018474915302142585,0.00434089509746509,0.0024789709365165024,0.0012088003464767252,0.001319686241560673,0.0033851945797080253,0.6226536634506552
1836,0.408,0.069,0.5656,0.045,73.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.015,0.0272,0.015,0.0343,0.0378,0.0283,73.0,0.1545,0.5778,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.001406387089620958,0.0005247275497834919,0.0032851910538270693,0.004777375532303756,0.009335603067369571,0.0012329080870513475,0.0010104950213716587,0.6429663295051667
1842,0.36977,0.04,0.5656,0.155,76.0,0.04,0.037000000000000005,0.05,0.0365,0.0275,0.0155,0.0318,0.015,0.04,0.035,0.04,74.0,0.13,0.59,0.068,0.12,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0005890064928658537,0.0011342803114532632,0.0013678383268472516,0.0013678383268472516,0.002289018480622281,0.0013678383268472516,0.0015020761687924186,0.6140811732882122
